,INTERSECT
468,False
298,False
253,False
795,False
3099,False
2798,False
1631,False
1169,False
1914,True
624,False
896,True
2946,False
860,False
1456,True
1525,True
2251,False
3203,True
3277,False
1072,False
2326,False
1082,False
1258,False
2757,False
2263,False
1553,True
3452,False
495,False
3242,False
2617,False
3253,False
32,False
2333,False
3745,False
1774,False
220,True
3232,False
3295,True
582,False
1792,False
2890,False
738,False
2915,False
39,False
463,False
1548,False
193,False
3243,True
562,False
376,False
552,False
3221,False
199,False
385,False
988,False
2026,False
363,False
1221,False
1303,False
3634,False
1839,False
3177,True
10,False
389,False
3753,False
2538,True
3720,False
3079,False
3412,False
448,False
168,False
3477,False
360,False
284,True
643,False
2323,False
3266,False
762,False
1380,False
2575,False
2510,False
2147,False
217,True
2704,False
2897,True
797,False
965,True
3545,False
791,False
2604,False
2646,False
309,False
1850,False
1516,True
1020,False
899,False
2002,False
3061,True
3418,True
608,True
3,False
48,False
2742,False
2106,False
1799,False
2967,False
3316,False
2271,True
2170,False
2707,False
3154,False
323,False
2551,False
1737,False
450,True
1283,False
1940,False
2623,False
1270,True
1058,False
749,False
1017,False
1773,False
2970,True
992,False
3280,False
2101,False
1265,False
2162,False
205,False
1160,False
2938,True
3222,False
2306,False
342,False
1644,True
873,False
3670,True
3240,True
782,False
2203,True
1050,False
1506,False
2973,False
3029,False
1728,True
1410,False
496,False
1128,True
1066,False
2369,False
1579,False
1362,False
514,True
1835,True
542,False
2267,True
3187,True
2040,False
2233,False
2046,False
3364,False
1402,False
3139,False
1787,False
589,False
826,False
54,False
2361,False
654,False
2027,False
2240,False
783,False
1015,False
2781,False
583,False
1137,True
1709,False
2457,False
1925,False
1698,True
2589,False
2366,True
2397,True
2049,False
2098,False
3026,False
1333,False
2234,False
1568,False
3698,False
1422,False
3485,False
134,True
902,False
2530,False
2242,False
3025,False
3274,True
1656,False
1750,False
3123,False
274,False
1795,False
1205,True
2791,False
467,False
1447,True
346,False
3732,False
398,True
682,False
