,PC,explained variance,cumulative variance
0,PC1,0.2197506294306374,0.2197506294306374
1,PC2,0.11029573900859278,0.3300463684392302
2,PC3,0.09030825146177951,0.4203546199010097
3,PC4,0.08422073379946331,0.504575353700473
4,PC5,0.06788899140179051,0.5724643451022635
5,PC6,0.057553371311980246,0.6300177164142438
6,PC7,0.048608616409790445,0.6786263328240342
7,PC8,0.04020041119134256,0.7188267440153767
8,PC9,0.03368861970982059,0.7525153637251973
9,PC10,0.031955840770781695,0.7844712044959791
10,PC11,0.02885888695927394,0.813330091455253
11,PC12,0.024833155856898118,0.8381632473121512
12,PC13,0.022687503253402456,0.8608507505655536
13,PC14,0.021264932617408267,0.8821156831829619
14,PC15,0.019990958137916896,0.9021066413208787
15,PC16,0.01760843782497648,0.9197150791458552
16,PC17,0.016460607270118274,0.9361756864159734
17,PC18,0.014162827685342279,0.9503385141013156
18,PC19,0.013468316643875886,0.9638068307451916
19,PC20,0.009734179192723869,0.9735410099379155
20,PC21,0.009378518903222386,0.9829195288411379
21,PC22,0.007890776930390378,0.9908103057715283
22,PC23,0.006533272581250361,0.9973435783527786
23,PC24,0.001589225630314503,0.9989328039830931
24,PC25,0.0010671960169068122,1.0
25,PC26,0.0,1.0
26,PC27,0.0,1.0
