u1,a1,d1,u2,a2,d2,recall_0,recall_1
64,relu,0.3,16,relu,0.1,0.550624133148405,0.6425339366515838
64,relu,0.3,16,relu,0.05,0.608876560332871,0.6923076923076923
64,relu,0.3,16,relu,0.0,0.5742024965325936,0.7104072398190046
64,relu,0.3,16,linear,0.1,0.5631067961165048,0.7058823529411765
64,relu,0.3,16,linear,0.05,0.6199722607489597,0.6742081447963801
64,relu,0.3,16,linear,0.0,0.5922330097087378,0.6742081447963801
64,relu,0.3,16,tanh,0.1,0.6407766990291263,0.6470588235294118
64,relu,0.3,16,tanh,0.05,0.6227461858529819,0.6877828054298643
64,relu,0.3,16,tanh,0.0,0.624133148404993,0.6877828054298643
64,relu,0.3,16,sigmoid,0.1,0.5423023578363384,0.7285067873303167
64,relu,0.3,16,sigmoid,0.05,0.5714285714285714,0.6199095022624435
64,relu,0.3,16,sigmoid,0.0,0.0,1.0
64,relu,0.3,8,relu,0.1,0.6837725381414702,0.6108597285067874
64,relu,0.3,8,relu,0.05,0.5450762829403606,0.4841628959276018
64,relu,0.3,8,relu,0.0,0.4188626907073509,0.7375565610859729
64,relu,0.3,8,linear,0.1,0.6449375866851595,0.6018099547511312
64,relu,0.3,8,linear,0.05,0.6407766990291263,0.6334841628959276
64,relu,0.3,8,linear,0.0,0.6213592233009708,0.6742081447963801
64,relu,0.3,8,tanh,0.1,0.5187239944521498,0.6425339366515838
64,relu,0.3,8,tanh,0.05,0.6074895977808599,0.6153846153846154
64,relu,0.3,8,tanh,0.0,0.4854368932038835,0.665158371040724
64,relu,0.3,8,sigmoid,0.1,0.130374479889043,0.9004524886877828
64,relu,0.3,8,sigmoid,0.05,0.59500693481276,0.669683257918552
64,relu,0.3,8,sigmoid,0.0,0.0,1.0
64,relu,0.3,4,relu,0.1,0.22330097087378642,0.832579185520362
64,relu,0.3,4,relu,0.05,0.6380027739251041,0.6470588235294118
64,relu,0.3,4,relu,0.0,0.5339805825242718,0.4434389140271493
64,relu,0.3,4,linear,0.1,0.5464632454923717,0.6380090497737556
64,relu,0.3,4,linear,0.05,0.5450762829403606,0.6380090497737556
64,relu,0.3,4,linear,0.0,0.6879334257975035,0.6380090497737556
64,relu,0.3,4,tanh,0.1,0.5866851595006934,0.6968325791855203
64,relu,0.3,4,tanh,0.05,0.6213592233009708,0.665158371040724
64,relu,0.3,4,tanh,0.0,0.6560332871012483,0.6334841628959276
64,relu,0.3,4,sigmoid,0.1,0.9972260748959778,0.004524886877828055
64,relu,0.3,4,sigmoid,0.05,0.6227461858529819,0.6515837104072398
64,relu,0.3,4,sigmoid,0.0,0.6255201109570042,0.6742081447963801
64,relu,0.2,16,relu,0.1,0.6338418862690708,0.6561085972850679
64,relu,0.2,16,relu,0.05,0.5603328710124826,0.6470588235294118
64,relu,0.2,16,relu,0.0,0.2884882108183079,0.8416289592760181
64,relu,0.2,16,linear,0.1,0.6130374479889042,0.5610859728506787
64,relu,0.2,16,linear,0.05,0.4618585298196949,0.6108597285067874
64,relu,0.2,16,linear,0.0,0.6615811373092927,0.6425339366515838
64,relu,0.2,16,tanh,0.1,0.5436893203883495,0.6606334841628959
64,relu,0.2,16,tanh,0.05,0.5977808599167822,0.6199095022624435
64,relu,0.2,16,tanh,0.0,0.5811373092926491,0.6606334841628959
64,relu,0.2,16,sigmoid,0.1,0.6532593619972261,0.6425339366515838
64,relu,0.2,16,sigmoid,0.05,0.6546463245492372,0.6470588235294118
64,relu,0.2,16,sigmoid,0.0,0.624133148404993,0.6606334841628959
64,relu,0.2,8,relu,0.1,0.6255201109570042,0.6425339366515838
64,relu,0.2,8,relu,0.05,0.6601941747572816,0.669683257918552
64,relu,0.2,8,relu,0.0,0.23717059639389737,0.8054298642533937
64,relu,0.2,8,linear,0.1,0.37309292649098474,0.7330316742081447
64,relu,0.2,8,linear,0.05,0.5034674063800277,0.6968325791855203
64,relu,0.2,8,linear,0.0,0.6546463245492372,0.6561085972850679
64,relu,0.2,8,tanh,0.1,0.565880721220527,0.6787330316742082
64,relu,0.2,8,tanh,0.05,0.5755894590846047,0.669683257918552
64,relu,0.2,8,tanh,0.0,0.478502080443828,0.6153846153846154
64,relu,0.2,8,sigmoid,0.1,0.6393897364771152,0.6470588235294118
64,relu,0.2,8,sigmoid,0.05,0.6532593619972261,0.6470588235294118
64,relu,0.2,8,sigmoid,0.0,0.6296809986130375,0.6470588235294118
64,relu,0.2,4,relu,0.1,0.6047156726768377,0.6877828054298643
64,relu,0.2,4,relu,0.05,0.34535367545076284,0.8054298642533937
64,relu,0.2,4,relu,0.0,0.6269070735090153,0.6515837104072398
64,relu,0.2,4,linear,0.1,0.6532593619972261,0.6425339366515838
64,relu,0.2,4,linear,0.05,0.5492371705963939,0.6244343891402715
64,relu,0.2,4,linear,0.0,0.6740638002773925,0.6334841628959276
64,relu,0.2,4,tanh,0.1,0.5839112343966713,0.6923076923076923
64,relu,0.2,4,tanh,0.05,0.6074895977808599,0.6108597285067874
64,relu,0.2,4,tanh,0.0,0.6504854368932039,0.6515837104072398
64,relu,0.2,4,sigmoid,0.1,0.6504854368932039,0.6561085972850679
64,relu,0.2,4,sigmoid,0.05,0.6005547850208044,0.6561085972850679
64,relu,0.2,4,sigmoid,0.0,0.6574202496532594,0.6515837104072398
64,relu,0.1,16,relu,0.1,0.13869625520110956,0.9004524886877828
64,relu,0.1,16,relu,0.05,0.5298196948682385,0.7194570135746606
64,relu,0.1,16,relu,0.0,0.6546463245492372,0.6470588235294118
64,relu,0.1,16,linear,0.1,0.6588072122052705,0.6425339366515838
64,relu,0.1,16,linear,0.05,0.5062413314840499,0.7058823529411765
64,relu,0.1,16,linear,0.0,0.6421636615811374,0.6470588235294118
64,relu,0.1,16,tanh,0.1,0.6796116504854369,0.6380090497737556
64,relu,0.1,16,tanh,0.05,0.6629680998613038,0.6380090497737556
64,relu,0.1,16,tanh,0.0,0.42857142857142855,0.6787330316742082
64,relu,0.1,16,sigmoid,0.1,0.6463245492371706,0.665158371040724
64,relu,0.1,16,sigmoid,0.05,0.6130374479889042,0.6787330316742082
64,relu,0.1,16,sigmoid,0.0,0.6421636615811374,0.6515837104072398
64,relu,0.1,8,relu,0.1,0.6615811373092927,0.6244343891402715
64,relu,0.1,8,relu,0.05,0.21081830790568654,0.8778280542986425
64,relu,0.1,8,relu,0.0,0.5173370319001387,0.6742081447963801
64,relu,0.1,8,linear,0.1,0.680998613037448,0.6606334841628959
64,relu,0.1,8,linear,0.05,0.6560332871012483,0.6561085972850679
64,relu,0.1,8,linear,0.0,0.5922330097087378,0.6289592760180995
64,relu,0.1,8,tanh,0.1,0.5603328710124826,0.6968325791855203
64,relu,0.1,8,tanh,0.05,0.6144244105409153,0.665158371040724
64,relu,0.1,8,tanh,0.0,0.6782246879334258,0.6470588235294118
64,relu,0.1,8,sigmoid,0.1,0.6199722607489597,0.6742081447963801
64,relu,0.1,8,sigmoid,0.05,0.6671289875173371,0.6425339366515838
64,relu,0.1,8,sigmoid,0.0,0.0,1.0
64,relu,0.1,4,relu,0.1,0.07073509015256588,0.9773755656108597
64,relu,0.1,4,relu,0.05,0.44798890429958393,0.7285067873303167
64,relu,0.1,4,relu,0.0,0.5034674063800277,0.751131221719457
64,relu,0.1,4,linear,0.1,0.6116504854368932,0.6968325791855203
64,relu,0.1,4,linear,0.05,0.5520110957004161,0.6515837104072398
64,relu,0.1,4,linear,0.0,0.6352288488210819,0.6334841628959276
64,relu,0.1,4,tanh,0.1,0.4854368932038835,0.7013574660633484
64,relu,0.1,4,tanh,0.05,0.6560332871012483,0.6244343891402715
