u1,a1,d1,u2,a2,d2,recall_0,recall_1
64,relu,0.3,16,relu,0.1,0.599476439790576,0.7359550561797753
64,relu,0.3,16,relu,0.05,0.5117801047120419,0.797752808988764
64,relu,0.3,16,relu,0.0,0.5274869109947644,0.7415730337078652
64,relu,0.3,16,linear,0.1,0.6544502617801047,0.6966292134831461
64,relu,0.3,16,linear,0.05,0.6727748691099477,0.702247191011236
64,relu,0.3,16,linear,0.0,0.5536649214659686,0.7247191011235955
64,relu,0.3,16,tanh,0.1,0.68717277486911,0.6966292134831461
64,relu,0.3,16,tanh,0.05,0.6308900523560209,0.7134831460674157
64,relu,0.3,16,tanh,0.0,0.637434554973822,0.7078651685393258
64,relu,0.3,16,sigmoid,0.1,0.6596858638743456,0.7078651685393258
64,relu,0.3,16,sigmoid,0.05,0.6361256544502618,0.7078651685393258
64,relu,0.3,16,sigmoid,0.0,0.1793193717277487,0.8651685393258427
64,relu,0.3,8,relu,0.1,0.680628272251309,0.7247191011235955
64,relu,0.3,8,relu,0.05,0.5458115183246073,0.7584269662921348
64,relu,0.3,8,relu,0.0,0.6400523560209425,0.6853932584269663
64,relu,0.3,8,linear,0.1,0.5327225130890052,0.7584269662921348
64,relu,0.3,8,linear,0.05,0.6740837696335078,0.702247191011236
64,relu,0.3,8,linear,0.0,0.5602094240837696,0.7134831460674157
64,relu,0.3,8,tanh,0.1,0.6910994764397905,0.6910112359550562
64,relu,0.3,8,tanh,0.05,0.6361256544502618,0.6741573033707865
64,relu,0.3,8,tanh,0.0,0.4319371727748691,0.7696629213483146
64,relu,0.3,8,sigmoid,0.1,0.5117801047120419,0.7584269662921348
64,relu,0.3,8,sigmoid,0.05,0.6361256544502618,0.7191011235955056
64,relu,0.3,8,sigmoid,0.0,0.0,1.0
64,relu,0.3,4,relu,0.1,0.6557591623036649,0.7415730337078652
64,relu,0.3,4,relu,0.05,0.5039267015706806,0.7921348314606742
64,relu,0.3,4,relu,0.0,0.6335078534031413,0.7191011235955056
64,relu,0.3,4,linear,0.1,0.6007853403141361,0.7134831460674157
64,relu,0.3,4,linear,0.05,0.6845549738219895,0.6910112359550562
64,relu,0.3,4,linear,0.0,0.6099476439790575,0.7191011235955056
64,relu,0.3,4,tanh,0.1,0.5654450261780105,0.7078651685393258
64,relu,0.3,4,tanh,0.05,0.587696335078534,0.6910112359550562
64,relu,0.3,4,tanh,0.0,0.7120418848167539,0.6797752808988764
64,relu,0.3,4,sigmoid,0.1,0.25392670157068065,0.797752808988764
64,relu,0.3,4,sigmoid,0.05,1.0,0.0
64,relu,0.3,4,sigmoid,0.0,0.6649214659685864,0.6910112359550562
64,relu,0.2,16,relu,0.1,0.637434554973822,0.7359550561797753
64,relu,0.2,16,relu,0.05,0.6400523560209425,0.7303370786516854
64,relu,0.2,16,relu,0.0,0.6531413612565445,0.7134831460674157
64,relu,0.2,16,linear,0.1,0.6727748691099477,0.7078651685393258
64,relu,0.2,16,linear,0.05,0.48429319371727747,0.7696629213483146
64,relu,0.2,16,linear,0.0,0.4790575916230366,0.702247191011236
64,relu,0.2,16,tanh,0.1,0.675392670157068,0.6910112359550562
64,relu,0.2,16,tanh,0.05,0.6649214659685864,0.7191011235955056
64,relu,0.2,16,tanh,0.0,0.6492146596858639,0.6966292134831461
64,relu,0.2,16,sigmoid,0.1,0.1531413612565445,0.9662921348314607
64,relu,0.2,16,sigmoid,0.05,0.0,1.0
64,relu,0.2,16,sigmoid,0.0,0.6662303664921466,0.7247191011235955
64,relu,0.2,8,relu,0.1,0.6400523560209425,0.7303370786516854
64,relu,0.2,8,relu,0.05,0.2801047120418848,0.8539325842696629
64,relu,0.2,8,relu,0.0,0.6570680628272252,0.702247191011236
64,relu,0.2,8,linear,0.1,0.6976439790575916,0.6966292134831461
64,relu,0.2,8,linear,0.05,0.6897905759162304,0.6966292134831461
64,relu,0.2,8,linear,0.0,0.612565445026178,0.7134831460674157
64,relu,0.2,8,tanh,0.1,0.4895287958115183,0.8146067415730337
64,relu,0.2,8,tanh,0.05,0.6609947643979057,0.6966292134831461
64,relu,0.2,8,tanh,0.0,0.7094240837696335,0.7134831460674157
64,relu,0.2,8,sigmoid,0.1,0.668848167539267,0.7191011235955056
64,relu,0.2,8,sigmoid,0.05,0.0,1.0
64,relu,0.2,8,sigmoid,0.0,0.6714659685863874,0.702247191011236
64,relu,0.2,4,relu,0.1,0.6793193717277487,0.7134831460674157
64,relu,0.2,4,relu,0.05,0.6282722513089005,0.6741573033707865
64,relu,0.2,4,relu,0.0,0.650523560209424,0.7303370786516854
64,relu,0.2,4,linear,0.1,0.675392670157068,0.6966292134831461
64,relu,0.2,4,linear,0.05,0.6910994764397905,0.702247191011236
64,relu,0.2,4,linear,0.0,0.5890052356020943,0.7303370786516854
64,relu,0.2,4,tanh,0.1,0.6570680628272252,0.7078651685393258
64,relu,0.2,4,tanh,0.05,0.612565445026178,0.7528089887640449
64,relu,0.2,4,tanh,0.0,0.6924083769633508,0.6853932584269663
64,relu,0.2,4,sigmoid,0.1,0.6531413612565445,0.6797752808988764
64,relu,0.2,4,sigmoid,0.05,0.7028795811518325,0.6797752808988764
64,relu,0.2,4,sigmoid,0.0,0.5039267015706806,0.7865168539325843
64,relu,0.1,16,relu,0.1,0.556282722513089,0.7359550561797753
64,relu,0.1,16,relu,0.05,0.650523560209424,0.6797752808988764
64,relu,0.1,16,relu,0.0,0.47643979057591623,0.7808988764044944
64,relu,0.1,16,linear,0.1,0.6465968586387435,0.6685393258426966
64,relu,0.1,16,linear,0.05,0.569371727748691,0.702247191011236
64,relu,0.1,16,linear,0.0,0.7094240837696335,0.6853932584269663
64,relu,0.1,16,tanh,0.1,0.6976439790575916,0.6966292134831461
64,relu,0.1,16,tanh,0.05,0.6662303664921466,0.6910112359550562
64,relu,0.1,16,tanh,0.0,0.5863874345549738,0.7359550561797753
64,relu,0.1,16,sigmoid,0.1,0.5981675392670157,0.6853932584269663
64,relu,0.1,16,sigmoid,0.05,0.0,1.0
