,feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27
0,PAÍS,0.02200477471012045,-0.13042199002714122,-0.06587047553251564,0.28978622661946196,-0.11977415646520478,0.1716039771399853,-0.17639820821588645,0.03163312347943881,0.012242421854950357,-0.042182185912241134,0.042161947126689255,0.15573479845604113,0.8077397541574107,-0.35970315634238686,-0.033825132889931345,-0.0424762410584512,0.020426691623828985,0.00833455408520534,-0.028424071563160392,0.05144027790994862,0.035681389698807346,0.011912707389373037,0.008840654887359401,-0.009824640722672662,-0.003354046245995609,0.0,0.0
1,ETNIA.BN,0.019722734923715957,-0.21418497504984457,-0.1576541685461475,0.5913945132099814,-0.2994853676214503,0.45411079986477654,-0.25598944260743806,0.07847315160741267,-0.13435308008718327,0.09128650047463391,-0.02046346996332023,0.021134712829150203,-0.367295051455473,0.18305364986455724,-0.05176896845591587,0.020219184359539958,-0.08380765897974929,-0.003282822068964797,0.029027851193566497,-0.06263186369280133,-0.02249104137629699,-0.019985156415959607,0.003337249610919909,0.007995015770898868,-0.00201264785191421,4.697971676184303e-16,1.509741558345445e-16
2,EDAD,0.00780477803788825,-0.09554804613954059,0.09373529889017154,-0.07896763871968432,0.45427477496663254,0.25776689261999713,-0.5116822756151586,-0.39837765041071466,0.020286904204946825,-0.3644535463680892,-0.11992699351942511,-0.3059600582571656,0.04566210419771329,0.15893145215376098,0.040104292574367144,-0.06399623765076715,0.05720376762822457,-0.010155469967093744,-0.04067019137993372,0.04949718885737388,0.011504709856384444,-0.022453269153236,0.0065286385898723764,0.0027675564937742238,0.0028795198430311758,-6.1859272080548e-17,-8.498402385317736e-16
3,FUGAS.BN,0.004917404767243065,-0.17259675982014652,0.0713682068734046,0.08216031111474142,0.3054714800510234,0.32972954545699346,0.5379569072459354,0.4573358315230821,-0.18313116340745747,-0.3696419544020936,0.02816855664443183,-0.26594721982215114,0.08889446092665963,0.06583250788084334,-0.018484855818177732,0.035779675628694926,-0.025704894384669556,0.02737021347264586,0.007396959117982705,-0.021185298445117826,-0.006480952464111122,0.015533005713854754,-0.0005057466735364482,-0.0011236344299873,0.002130561985426726,2.2050071455987035e-16,1.8831568327099066e-15
4,ABUSOSUBS1,-0.021092338752417967,-0.0853505620855011,0.0916642642351991,-0.09718130934682316,0.4497409204504401,0.2353531400108724,-0.035616387644833734,0.032383782045345734,0.04336597982404436,0.18191661976595655,-0.0009536711711214329,0.5635458520653238,-0.0673106999602042,-0.11030755791931092,0.024662873877458066,0.013466080900148546,-0.07152204366842928,-0.0321938692261899,0.05897788880950265,-0.5722164822303099,-0.05808821891563096,0.03640729319328697,-0.049556322572612874,-0.012217066952454189,-0.005888658557480998,-1.0330706030217548e-17,-1.1083334694065204e-15
5,ABUSOSUBS2,0.01713984941797371,-0.068552546969087,0.032465296613879785,-0.03364646727845704,0.2815087997850672,0.17565394215131966,0.014974698149860041,0.04554506323808382,-6.053135576823232e-05,0.1018835434683924,0.015080537750267851,0.41480793189055704,-0.1651132847725412,-0.11514011678563457,-0.02714112181237015,0.0497257533477469,-0.0303698124728443,-0.008736214650093756,0.08664054364469011,0.7991077300982791,0.04783035570448994,-0.04158717141537777,0.05321441179202982,0.008955389647954063,-0.0032782079820352994,4.709819776280046e-16,7.755385266965205e-16
6,CONVIVEN.1,-0.013533727613509624,0.15666125143036333,0.05890756208007803,-0.010277538311191195,0.0002879237391061474,-0.0026098724139926627,-0.021012784820945898,-0.10872981241716034,-0.3752573271134855,-0.026922416496534797,0.6759294516318585,0.20366299787222708,0.1703990584326934,0.49348747744195326,0.008617574624338943,-0.07441131812827353,0.07028751049440793,-0.014127680785916818,0.015984905803618325,0.006173907107949208,0.1849298059791851,0.0386594162719779,-0.006918223985418377,0.01316177081343798,0.0006050567353966147,6.039453333973484e-17,-1.3780157570170012e-15
7,CONVIVEN.2,-0.006460816620265945,0.5461520615288874,0.1849606396849248,-0.2918964939306458,-0.3091386404415415,0.589144024607092,0.062081872850274854,0.025356494241184465,0.1407785098274313,0.025824683484837824,-0.23080452056928222,0.06326301854932968,0.12519861730767776,0.17702048395300962,0.012360314734971633,-0.06590000259574465,0.007344172416119178,-0.025964281562840058,-0.0073961592262851185,0.032218654000597556,-0.06308771563340473,-0.003613151570746674,0.00454987497901347,-0.0027081069934870366,-0.0008616974618557384,1.81148054803776e-17,2.8906761150212874e-16
8,CONVIVEN.3,-0.004966723107344395,-0.12265964763067652,-0.03644699957696299,0.1356147990917972,0.12172532518688059,-0.25011196451955164,0.04627150853538324,0.0872312495310867,-0.07999483475143018,0.16116315796796774,-0.5136530220331474,0.17827209146181108,0.2782947224001703,0.6094555361190394,-0.017279343107396778,-0.14511288896644173,0.09075014666362088,0.008361288057699267,0.033545646548897905,0.06620424026733442,-0.25224684360562494,-0.04814513175238715,-0.0058901197426435925,0.007423046479795024,0.001824553244490781,1.1989728412523484e-16,2.8932972072042777e-16
9,CONVIVEN.4,0.006222139492590239,-0.013151398547031115,-0.005645387988175147,0.029682998024631757,0.026549539309187357,-0.022598154102578788,0.025976237279985367,0.049384094325170616,0.038637300212521535,0.0641670822595233,-0.3002387784989301,0.0184942907776497,0.012101615908086066,0.08788887458688018,-0.01856940238836166,-0.01639296977028366,0.005573588472525692,-0.03724895358965451,0.007069629050604841,-0.05705028881127697,0.931268954583154,0.12685222157087006,0.04309364944181674,0.002733111924779115,-0.005004380080379005,7.225882217661473e-16,1.3086012883526736e-15
