,neuron_1,neuron_2,neuron_3,neuron_4,neuron_5,neuron_6,neuron_7,neuron_8,neuron_9,neuron_10,neuron_11,neuron_12,neuron_13,neuron_14,neuron_15,neuron_16,neuron_17,neuron_18,neuron_19,neuron_20,neuron_21,neuron_22,neuron_23,neuron_24,neuron_25,neuron_26,neuron_27,neuron_28,neuron_29,neuron_30,neuron_31,neuron_32,neuron_33,neuron_34,neuron_35,neuron_36,neuron_37,neuron_38,neuron_39,neuron_40,neuron_41,neuron_42,neuron_43,neuron_44,neuron_45,neuron_46,neuron_47,neuron_48,neuron_49,neuron_50,neuron_51,neuron_52,neuron_53,neuron_54,neuron_55,neuron_56,neuron_57,neuron_58,neuron_59,neuron_60,neuron_61,neuron_62,neuron_63,neuron_64,importance
PAÍS,-0.014714869862220472,0.04681603781088541,0.14061682680121118,-0.09760536676343158,-0.08408412380951562,-0.19477022446630785,-0.1682653776949789,0.06150177101780712,-0.08121166652929337,-0.21256235427134865,0.2394359849369078,-0.23823250823783673,-0.10025006594121261,0.22558460659235963,-0.06973854977233636,0.20563363005873475,0.14406963526062058,0.19750457169910823,-0.13433717992862054,0.002126007634117174,-0.08029259856202793,-0.10333230777829482,0.16295983082411414,0.038401225566304355,-0.003708738946633658,-0.21534715575514637,0.010603613567365666,0.005706363842855336,-0.3615987127775225,0.12097724549126314,-0.1569132152572287,0.04469861620951331,0.24176355961325638,-0.07058929541808408,-0.030017673845899956,-0.08421969671566397,-0.21635709477033307,-0.13504394170335526,-0.27696826897298915,0.19831307132995063,0.2306594607577611,0.052112698240100314,-0.08301873029988067,0.08722773028245388,-0.05744032550753347,0.02099769697970247,0.0700412276298469,-0.15070175623720253,0.011492190295090922,0.05696810243147305,-0.10017798373494424,-0.06546230662574687,-0.039777667340302525,0.09296568355527617,0.10945486939879179,0.2820776930940454,0.13868262988069466,0.09858990257772515,0.07385867844265998,0.05040397289412364,0.08153064702122992,-0.25296919485690034,0.211069880274494,-0.2882594474858013,4.02032094868099
ETNIA.BN,-0.3117554512471471,-0.15750325343625332,-0.055947053585976673,-0.20603755868985194,0.039988671324028106,-0.04975755778200411,0.14559308996514006,0.010567976548390534,-0.10803570009281616,-0.0872315962442113,0.0044058782315484595,-0.10824321923849374,-0.2951971116163593,0.2942224063226555,0.2899645018451977,0.07491123861591775,0.08438599383556232,0.20254421180788873,-0.05228639155596632,-0.0577012568631655,-0.061497652918848206,0.08435054613843684,-0.19937705931771751,-0.10874022311211942,-0.010948928471653407,0.1651692203495084,0.08548948520449831,-0.03889227942924615,-0.14546616587541197,-0.017205023624103307,0.02587266000853599,0.03881522533217446,0.10002379399747911,0.08777427565014649,0.31697930997774565,-0.0638431777674268,-0.09205408323618491,-0.2435355589305132,-0.23025084170370963,-0.3237184971490942,0.12765565172870594,-0.16261498102232722,-0.13664193460047835,-0.13044350567177837,-0.020191386014091723,-0.09983659024136414,-0.034356062585845795,0.012193271831600808,-0.017492132038557425,0.1206386113629941,0.2518346023587483,0.07884846091915314,-0.1662571312622628,-0.12840481178293361,-0.12001427946523492,-0.025124487725194617,0.04061790675358506,-0.01855291442672902,0.1641138036369715,0.0050066521580538785,0.02550426408618156,-0.1732165694460496,-0.24663757892164276,0.07040911907847079,3.781864994285053
EDAD,-0.03457989902180519,0.014761296662205528,-0.10649491567445077,0.07050226794821549,0.013283299055659527,0.07249205146132184,-0.17026804414376745,0.0006411752734543079,0.1973488175547638,-0.176756196438122,0.11032677425766745,-0.06704619769223405,0.03599029160937064,0.2039390903867424,0.13773248314177444,-0.14557924276490114,-0.10604674604863429,-0.10812119837546784,-0.011379010935080019,-0.025967861006806627,-0.08980975120793616,0.18219225386850185,0.04264823893823603,-0.21286797257330467,-0.13297707171600806,-0.015947748585721382,0.29852527492176667,0.3222446924702446,-0.1752368302970209,0.25342575613369406,-0.27181699580288915,0.14636305541795985,0.12065279660641498,0.24149332569585477,-0.0016420795951991192,-0.024447891174599532,0.10560297149979873,0.07698569498201298,-0.03276282390466421,-0.08280524551991676,0.19143087555434826,0.10601470680107201,0.20948298518532646,-0.11001646996313498,0.11069123534499478,0.15303737239231016,-0.33850843166734673,-0.094793386775494,0.19047570437409783,0.14597852595554162,-0.19310504384129043,-0.014409435047766492,0.017275791424038338,-0.07077208083304871,-0.02273072695564123,0.03344936826515871,0.1030835507261953,-0.04496178785261462,-0.25294425692721256,0.126362749561358,-0.12442975688132499,0.13949353649863241,0.1642979298046237,0.18433945728742232,3.948760516920744
FUGAS.BN,-0.10667065413520765,0.04107256569343223,-0.04633997393114123,-0.11688918602350387,0.149531680092928,-0.06232055713950596,0.04386478107319503,-0.48725556415727106,-0.20254549106080674,0.12665108351330018,0.004540414867222428,-0.15201555373928693,-0.10810515537915315,0.2052022388639156,-0.024062581150516082,0.23496754603943792,0.2772567024011369,0.09637712572172345,0.033306568302501754,0.1055654138431834,-0.06076514115573259,-0.14535519866993324,-0.17898050503681814,0.09952873375634866,0.1970961449273756,0.051375005491220246,0.09093062062952274,-0.06261743859398365,-0.06288931840534515,0.08100706930023535,0.20132675132858954,0.06768694534455777,-0.014566959945873195,-0.27323569056236147,-0.08374518718198898,0.3277050553986399,-0.06447504199927212,0.12386942006415416,-0.009995330951018894,0.26847167768596647,0.01034492873349662,-0.06450551294394678,0.11833357465192437,-0.15491609794706,0.2308961775722603,0.05307347499195082,0.0534600457217275,0.12978049309461837,-0.19687887131578505,0.33974327291359485,-0.005597111967440259,0.1471287559737344,0.052049872848761586,-0.34183290819407386,-0.047135307613064996,-0.03872748481540056,-0.008971173110369678,0.13497493185057577,-0.14310450601169514,0.16118865497968732,0.06588282685735547,-0.13309422044575878,-0.06596336481836518,-0.11920080029418642,4.012270162868081
ABUSOSUBS1,-0.38216198463911377,-0.05663652070167812,0.11927901770558139,0.22488708395552445,0.09932472879962738,0.2548595432725325,0.1373171552047963,-0.22576509550870957,0.343089566448932,-0.013319421044497936,0.23497864885248113,-0.02367563053455608,0.13149772263913642,-0.08352890750073105,-0.2777604908335782,-0.03898506019693632,-0.005119023624559308,-0.22046639618004282,-0.04434233258638446,-0.1254337802180928,-0.26204861068428537,-0.26814448316052214,-0.2000553543419655,0.03636668288128856,-0.057769807216639164,0.26145371680263674,-0.008920072621945264,-0.02736205030297721,0.016557102603076773,0.06450427395334504,-0.18236171024161443,-0.006714100394331385,0.14359999409122126,-0.036937275130795505,0.12745534316048954,0.13003105795318493,-0.48279497027961704,0.07499784569509797,-0.12823020084737827,0.13428308230295447,0.11955716737643178,-0.40754061658461876,0.23056809052531899,-0.126512117287399,0.2655478267746223,-0.006241309591361529,-0.22481127677874144,0.1128602061810334,0.12548828837692041,0.03231584876040028,0.11501570330657448,0.12495528119862231,0.02183877748187493,-0.2725512567851536,-0.24113848301633892,0.28543695735837155,0.14469570628495623,-0.14275297116038982,0.0980471047467256,0.17504401764466976,0.05935055593483088,-0.11756373328011462,0.026421317911483184,0.27306937830615247,4.7913830058162015
ABUSOSUBS2,-0.09166781187159534,-0.07539708615575887,0.2748304867962248,0.10141022659339584,-0.2386983003495085,-0.12347463771749441,-0.04428625876738624,0.08608089988842642,-0.03112550123628374,0.13987178026287453,-0.17334848869017017,-0.28836766022841376,-0.15517252848087518,-0.2760923827271231,-0.051929969745351766,0.13517511932495282,0.02693128278110278,-0.029726744582267928,0.14822324287244015,-0.13751699062332148,-0.08366127618926629,0.08419586215158864,0.015334865011656179,-0.19729487001147075,0.07240435512920568,-0.053934425746458146,-0.04735367171245533,0.049163909590158886,-0.1393652583938981,0.007477753557747635,0.06485283842601108,-0.31796043687690123,-0.17627247493311296,-0.19331426699737683,-0.03249643474778274,0.3631082316272359,-0.02306745137844446,0.27801804414734416,0.18238386361891365,0.29643585843500647,-0.06737295302979007,-0.07275975193935956,0.22625263104008536,-0.17157375806987982,-0.07578299893001933,0.05108399083841189,-0.018684147180691155,0.08939032803255297,0.23611315759439172,0.2696602451494987,-0.22262349426878147,-0.03132556685327762,0.11796723432173829,0.1726049037514555,0.01899996618904227,-0.0011841569447074546,-0.12234691924661233,0.1981344902435802,-0.0676403927537885,0.1467890199990199,-0.12036275761227583,-0.1425734486075124,0.2784937950339298,-0.11235661337305985,4.231762524357851
CONVIVEN.1,-0.10685961814867431,-0.13967080837798634,-0.14557233656189883,0.02164979963213179,0.20810616546840105,-0.2795465041283886,-0.044096328146523096,0.17592296363760085,0.04051135859068986,-0.03418143047071058,0.145743634295851,0.03394521224734574,-0.025046778176243012,-0.05513831593354169,-0.16395896747039282,-0.22710695582917573,0.022021561476890626,0.13876028004118557,-0.004400075535861345,0.10600690154437603,-0.19869874253846026,-0.15642439506451647,-0.12914076689296217,-0.03772742440583795,0.07992595436404017,0.2576004471485996,0.3307660694927141,0.01539195759872268,-0.17882565879935816,0.22851927771267763,-0.13000449591677224,0.36628670340746994,0.20244192332788477,0.03136767493638144,-0.11163494076833376,-0.18523420686247805,0.1116446688890995,-0.10754943657620761,0.06878632755247377,0.018188610358924783,0.32913631894076867,0.1049633670998472,-0.0016508565446339866,0.02239292788892425,0.09099945818890283,0.08334331558371176,-0.1909643118112021,-0.2554887473840362,0.1574525763740931,-0.0014129954131763287,0.2319156040114699,-0.13525319869830957,0.21983776982180664,-0.1497623985751241,0.10324778254212919,-0.13390630176752674,-0.022768616277446637,0.3642805970537336,0.25478597575362927,-0.0073862401452054515,0.08770320811029528,0.07262726376645603,-0.1068883832981034,-0.04120627884408707,4.178116342839328
CONVIVEN.2,0.10803090917889908,0.11231202452373129,-0.12788971538735894,0.08930158018261443,0.17419132798842657,0.11792087521217413,0.26039820412626036,-0.11765516694504578,-0.10848156679291308,0.17520285050005183,0.03115472473100462,-0.05328735566851823,0.02292039897160275,0.052365735084980825,0.0014896328846596637,-0.14221447518546107,0.08876029625859366,-0.28045465478069004,-0.05328514897360892,0.49843598351124035,0.0048230833018924986,-0.2184805441177721,-0.033689193445965014,0.2116498116946512,0.2303869064855134,0.08327605986681719,-0.11361368743754394,0.2776084601115724,-0.02159490854632034,0.05653024063860049,-0.14547884610839587,0.11994051742437468,0.12963767204379692,0.006590093082409341,0.19453392453845428,-0.16697746539097458,-0.10236200857684942,-0.1376778534118937,0.24375928045862671,-0.024417027229035274,-0.09926076144111909,0.009230186490936253,0.2618898033570842,0.171849213510863,0.06164391015544057,-0.03227759689711873,-0.04489594837474869,-0.1204274639901793,0.06277432225303758,0.014262897141463803,0.18809983197353108,0.2752370148657442,0.04704432920315698,-0.007138453597878532,0.02652166697461979,-0.26704175358343707,-0.15649363888103612,0.08380161787909521,-0.18535386698047482,-0.046837316385208785,-0.06757012404306686,-0.2263753488555007,-0.023031152654070696,0.25093249522715244,3.992897516606934
CONVIVEN.3,-0.07112417075068705,0.11595626791895086,-0.01431863373812243,0.11445512416305229,-0.048741486026623454,-0.12852952765135736,-0.04101572053245198,-0.1610815034103653,-0.15533192834487325,-0.021281682463768766,-0.3428859050199242,-0.161923337205878,0.18980390591917723,0.1201154964569536,-0.006640336935119005,0.004393405555788625,-0.21368813030072872,-0.05406603557959336,-0.001343040669293589,0.07591643188510372,0.028850439928528714,-0.03139438371073384,0.03573240318756355,0.2250884677688194,0.05255075455338906,0.004238434493907983,-0.12355809057825433,0.019144093613313515,0.04256039317484876,-0.07812881163118238,0.0457425162462339,-0.10494713916993126,0.03101635358958503,0.3998790053124194,0.010743398747463556,-0.27876459644939106,-0.03600176289775023,0.35758774328224563,-0.24998411181533906,0.054025673050514,0.07665806188570956,-0.05394823649142427,0.09980683332013185,0.17404366237014784,-0.02542772047430704,-0.1895740332490265,-0.00851703973859739,0.08765294754922356,0.07595797580290957,0.25270873255327364,-0.2668654176384698,0.05516479859538185,0.19971753926592967,-0.14095980359263538,0.35482111849536097,0.24360306067822818,-0.07748594494026514,-0.013120636956598337,0.0906331581684173,0.24262853037020146,0.0014132049940576996,-0.05192052912608135,0.023619534456852758,0.1887515471670888,3.6776680261503008
CONVIVEN.4,-0.0639108147201493,-0.1949913502629141,-0.2141589631459973,-0.17698809907619653,0.012106502024678677,-0.03358847852521829,0.22452288358419734,-0.35732460471980587,0.2098656066123733,-0.076094063056246,-0.16307891402884356,-0.1691979747437452,-0.09041599905863118,0.058911789186885145,-0.0890239204796041,0.07457817992253488,0.031118403973264316,-0.1445191856419002,-0.19390189619517434,-0.25478132435604617,-0.17592603936401002,0.027728258126062468,-0.08410188940105602,-0.10191547588418286,-0.13562398227622993,-0.006485891246273665,0.05112847458990104,0.28901020291611706,-0.07601053382830736,0.11105992293034442,-0.0301651284133807,0.13223851135632164,0.056211538271397625,-0.14231349167162105,0.2879546187831509,-0.3201005408712461,-0.04329573203457395,-0.1112535103076635,-0.29080331306642637,0.10390749429210147,0.0419035267812209,-0.06294517717820891,0.06522152695116545,0.22677707563090233,-0.30008442344028996,-0.16425778863981094,0.23484276400756235,-0.049290360087216566,0.24776998603946934,-0.014495552296679244,0.20194206767999842,0.050117298048119735,0.08148282487379947,-0.2572522658521206,0.005845934272399695,0.05231803311422749,0.10579935441389593,0.04830364331417898,-0.13251684013288026,0.12260756160170942,-0.24042097471257365,-0.2078858379427212,-0.09336676692874447,-0.02422463801369904,4.283767332313163
