,INTERSECT
0,False
1,True
2,False
3,False
4,False
5,False
6,False
7,False
8,True
9,False
10,False
11,False
12,False
13,False
14,True
15,True
16,True
17,False
18,True
19,False
20,False
21,False
22,True
23,False
24,False
25,True
26,False
27,False
28,False
29,False
30,False
31,True
32,False
33,False
34,False
35,True
36,False
37,False
38,False
39,False
40,False
41,False
42,False
43,True
44,False
45,False
46,False
47,False
48,False
49,False
50,False
51,False
52,False
53,False
54,False
55,False
56,False
57,True
58,False
59,True
60,False
61,True
62,False
63,False
64,False
65,True
66,False
67,False
68,False
69,False
70,True
71,False
72,False
73,False
74,False
75,True
76,False
77,False
78,False
79,True
80,True
81,False
82,False
83,False
84,False
85,True
86,False
87,False
88,False
89,False
90,False
91,True
92,False
93,True
94,False
95,False
96,False
97,False
98,True
99,False
100,True
101,False
102,False
103,False
104,True
105,True
106,False
107,False
108,True
109,True
110,False
111,True
112,False
113,False
114,False
115,False
116,False
117,False
118,False
119,True
120,False
121,False
122,False
123,False
124,False
125,False
126,False
127,False
128,True
129,False
130,False
131,False
132,False
133,False
134,True
135,False
136,False
137,False
138,False
139,False
140,False
141,False
142,False
143,True
144,False
145,False
146,False
147,True
148,False
149,False
150,False
151,False
152,True
153,True
154,False
155,False
156,False
157,True
158,False
159,False
160,False
161,False
162,False
163,False
164,False
165,False
166,False
167,False
168,False
169,False
170,False
171,False
172,False
173,True
174,False
175,False
176,False
177,False
178,False
179,False
180,False
181,True
182,False
183,False
184,False
185,True
186,False
187,False
188,False
189,False
190,False
191,False
192,True
193,False
194,False
195,False
196,False
197,False
198,False
199,False
200,False
201,True
202,False
203,False
204,False
205,False
206,False
207,False
208,False
209,False
210,False
211,True
212,False
213,False
214,False
215,False
216,False
217,True
218,False
219,True
220,True
221,False
222,True
223,False
224,False
225,False
226,False
227,False
228,False
229,False
230,False
231,False
232,False
233,False
234,False
235,False
236,False
237,True
238,False
239,False
240,False
241,True
242,True
243,False
244,False
245,True
246,False
247,True
248,True
249,False
250,False
251,True
252,False
253,False
254,False
255,False
256,False
257,False
258,False
259,False
260,False
261,True
262,True
263,True
264,True
265,True
266,False
267,True
268,False
269,False
270,True
271,True
272,True
273,False
274,False
275,False
276,False
277,True
278,True
279,False
280,False
281,False
282,False
283,False
284,True
285,False
286,True
287,False
288,False
289,True
290,False
291,True
292,False
293,False
294,True
295,False
296,False
297,False
298,False
299,False
300,False
301,False
302,True
303,False
304,False
305,False
306,False
307,False
308,False
309,False
310,False
311,False
312,False
313,False
314,True
315,False
316,False
317,False
318,False
319,False
320,False
321,False
322,False
323,False
324,False
325,False
326,False
327,False
328,False
329,False
330,False
331,True
332,False
333,False
334,False
335,False
336,False
337,False
338,False
339,True
340,True
341,False
342,False
343,True
344,True
345,False
346,False
347,False
348,False
349,True
350,True
351,True
352,True
353,False
354,True
355,False
356,False
357,False
358,False
359,False
360,False
361,False
362,True
363,False
364,True
365,True
366,False
367,True
368,False
369,True
370,True
371,True
372,False
373,False
374,True
375,False
376,False
377,False
378,False
379,True
380,True
381,False
382,True
383,False
384,False
385,False
386,False
387,False
388,True
389,False
390,False
391,False
392,False
393,False
394,False
395,False
396,True
397,True
398,True
399,False
400,False
401,False
402,False
403,False
404,False
405,True
406,False
407,True
408,False
409,False
410,False
411,True
412,False
413,True
414,False
415,False
416,False
417,False
418,False
419,False
420,True
421,False
422,False
423,True
424,True
425,False
426,False
427,False
428,True
429,False
430,True
431,False
432,False
433,False
434,False
435,False
436,True
437,False
438,False
439,False
440,True
441,False
442,False
443,True
444,True
445,False
446,False
447,False
448,False
449,False
450,True
451,False
452,True
453,True
454,False
455,False
456,False
457,False
458,True
459,True
460,False
461,True
462,False
463,False
464,False
465,False
466,True
467,False
468,False
469,False
470,False
471,False
472,False
473,True
474,False
475,False
476,False
477,False
478,False
479,False
480,False
481,False
482,False
483,False
484,False
485,False
486,False
487,False
488,True
489,False
490,False
491,False
492,True
493,False
494,False
495,False
496,False
497,False
498,False
499,False
500,False
501,False
502,False
503,False
504,False
505,False
506,False
507,False
508,False
509,True
510,True
511,False
512,False
513,False
514,True
515,True
516,False
517,False
518,False
519,False
520,False
521,False
522,False
523,True
524,False
525,False
526,False
527,False
528,False
529,False
530,False
531,False
532,False
533,False
534,False
535,False
536,False
537,False
538,False
539,False
540,True
541,True
