PC,Explained_Variance,Cumulative_Variance
PC1,0.2191432019421942,0.2191432019421942
PC2,0.10958742302074288,0.3287306249629371
PC3,0.09202721179118632,0.4207578367541234
PC4,0.08542071941405276,0.5061785561681762
PC5,0.06806914469442275,0.5742477008625989
PC6,0.0584078584332468,0.6326555592958457
PC7,0.0486875321076055,0.6813430914034512
PC8,0.040632174929331175,0.7219752663327823
PC9,0.03325518989399547,0.7552304562267778
PC10,0.03109476210658803,0.7863252183333658
PC11,0.027858117493100104,0.8141833358264658
PC12,0.024786379635617476,0.8389697154620833
PC13,0.022992863066961713,0.861962578529045
PC14,0.020618232743437555,0.8825808112724826
PC15,0.01977660757373244,0.902357418846215
PC16,0.017483187190234117,0.9198406060364491
PC17,0.016626057151770762,0.9364666631882199
PC18,0.01398559337084129,0.9504522565590612
PC19,0.013404569690904823,0.963856826249966
PC20,0.00978984106513017,0.9736466673150962
PC21,0.009250447119773056,0.9828971144348693
PC22,0.007980374474601553,0.9908774889094708
PC23,0.006436415786986208,0.997313904696457
PC24,0.0016268958883323525,0.9989408005847893
PC25,0.0010591994152073234,0.9999999999999966
PC26,3.140055144918838e-15,0.9999999999999997
PC27,0.0,0.9999999999999997
