PC,explained variance,cumulative variance
PC1,0.22036727840950515,0.22036727840950515
PC2,0.11066746254007609,0.33103474094958124
PC3,0.08995069217065887,0.4209854331202401
PC4,0.08497248802561183,0.5059579211458519
PC5,0.06835982173094263,0.5743177428767945
PC6,0.05792716537054275,0.6322449082473373
PC7,0.048091259918477514,0.6803361681658148
PC8,0.040404836538530574,0.7207410047043453
PC9,0.033402838109608604,0.754143842813954
PC10,0.031571001307612694,0.7857148441215667
PC11,0.029484055983792966,0.8151989001053597
PC12,0.024607550948622377,0.839806451053982
PC13,0.02284027141145775,0.8626467224654397
PC14,0.02075914305539429,0.883405865520834
PC15,0.01949591822454285,0.9029017837453769
PC16,0.017635852094942187,0.9205376358403191
PC17,0.015964415776920173,0.9365020516172393
PC18,0.014259306006494426,0.9507613576237337
PC19,0.013596661379374759,0.9643580190031085
PC20,0.009831246949920802,0.9741892659530292
PC21,0.008882358636468461,0.9830716245894977
PC22,0.007650014902588947,0.9907216394920867
PC23,0.006630712052703297,0.99735235154479
PC24,0.0015876609493856058,0.9989400124941755
PC25,0.0010599875058243835,0.9999999999999999
PC26,0.0,0.9999999999999999
PC27,0.0,0.9999999999999999
