,mean
PAÍS,0.9093805309734513
ETNIA.BN,0.20106194690265486
EDAD,0.47705014749262564
FUGAS.BN,0.1352212389380531
ABUSOSUBS1,0.3149026548672566
ABUSOSUBS2,0.28884955752212393
CONVIVEN.1,0.9192920353982301
CONVIVEN.2,0.759646017699115
CONVIVEN.3,0.07610619469026549
CONVIVEN.4,0.028672566371681415
CONVIVEN_H,0.6311504424778761
CONVIVEN_0,0.09380530973451327
AUTOEFIC.MEAN,0.6460063126863447
AUTOEFIC.VAR,0.20071852998661147
IMPULS.MEAN,0.46278628762759877
IMPULS.MEDIAN,0.4511219709855294
IMPULS.VAR,0.3651664636952061
APOYO.MEAN,0.7616336762661682
APOYO.MEDIAN,0.8197397176608241
APOYO.VAR,0.2706539033946773
MORAL.MEAN,0.7439404662585714
MORAL.VAR,0.16489759517052022
PORNO.T,0.30123893805309737
GENERO.BN0,0.4838938053097345
ORIENTSEX.BN0,0.8661946902654867
GENERO.BN1,0.5161061946902655
ORIENTSEX.BN1,0.13380530973451327
