score_bin,n,min_score,max_score,mean_predicted_score,observed_prevalence,predicted_positive_rate,calibration_error_mean_minus_obs
"(0.337, 0.424]",95,0.337506,0.42386493,0.40278908115789475,0.05263157894736842,0.0,0.35015750221052633
"(0.424, 0.447]",94,0.4239072,0.44673303,0.43630300553191487,0.05319148936170213,0.0,0.3831115161702127
"(0.447, 0.464]",94,0.44709924,0.46384576,0.45630088308510636,0.05319148936170213,0.0,0.4031093937234042
"(0.464, 0.481]",94,0.46384904,0.48094368,0.4723578146808511,0.10638297872340426,0.0,0.36597483595744684
"(0.481, 0.503]",94,0.48119947,0.5024661,0.4922287768085106,0.1276595744680851,0.13829787234042554,0.36456920234042556
"(0.503, 0.523]",94,0.50254494,0.52323234,0.5129498909574468,0.18085106382978725,1.0,0.3320988271276596
"(0.523, 0.546]",94,0.523371,0.54621845,0.5357154290425532,0.1595744680851064,1.0,0.3761409609574468
"(0.546, 0.577]",94,0.5465927,0.57666254,0.5588109542553191,0.2872340425531915,1.0,0.2715769117021276
"(0.577, 0.614]",94,0.5768573,0.6140183,0.5943635997872341,0.35106382978723405,1.0,0.24329977000000003
"(0.614, 0.774]",95,0.6142974,0.77434886,0.6541664784210527,0.5157894736842106,1.0,0.1383770047368421
