Outcome,Subgroup variable,Subgroup,n,prevalence,recall,specificity,ppv,npv,fpr,fnr,balanced_accuracy,f1,accuracy,TP,FP,TN,FN,stability_note
Victim–perpetrator overlap,Sex/gender,Male,435,17.7,66.2,67.0,30.2,90.2,33.0,33.8,66.6,41.5,66.9,51,118,240,26,
Victim–perpetrator overlap,Sex/gender,Female,507,19.9,92.1,45.3,29.5,95.8,54.7,7.9,68.7,44.7,54.6,93,222,184,8,
Victim–perpetrator overlap,Age group,14–15,505,20.0,82.2,61.6,34.9,93.3,38.4,17.8,71.9,49.0,65.7,83,155,249,18,
Victim–perpetrator overlap,Age group,16–17,437,17.6,79.2,48.6,24.8,91.6,51.4,20.8,63.9,37.8,54.0,61,185,175,16,
Victim–perpetrator overlap,Country/origin,Spain-born,849,18.0,79.1,58.8,29.7,92.7,41.2,20.9,68.9,43.1,62.4,121,287,409,32,
Victim–perpetrator overlap,Country/origin,Non-Spain-born,93,26.9,92.0,22.1,30.3,88.2,77.9,8.0,57.0,45.5,40.9,23,53,15,2,small n
Victim–perpetrator overlap,Ethnic minority background,No ethnic minority,758,17.9,77.2,61.9,30.7,92.5,38.1,22.8,69.6,43.9,64.6,105,237,385,31,
Victim–perpetrator overlap,Ethnic minority background,Ethnic minority,184,22.8,92.9,27.5,27.5,92.9,72.5,7.1,60.2,42.4,42.4,39,103,39,3,
Victim–perpetrator overlap,Sexual orientation,Heterosexual,815,17.9,78.1,62.5,31.2,92.9,37.5,21.9,70.3,44.6,65.3,114,251,418,32,
Victim–perpetrator overlap,Sexual orientation,Non-heterosexual,127,25.2,93.8,6.3,25.2,75.0,93.7,6.2,50.0,39.7,28.3,30,89,6,2,
