,neuron_1,neuron_2,neuron_3,neuron_4,neuron_5,neuron_6,neuron_7,neuron_8,neuron_9,neuron_10,neuron_11,neuron_12,neuron_13,neuron_14,neuron_15,neuron_16,neuron_17,neuron_18,neuron_19,neuron_20,neuron_21,neuron_22,neuron_23,neuron_24,neuron_25,neuron_26,neuron_27,neuron_28,neuron_29,neuron_30,neuron_31,neuron_32,neuron_33,neuron_34,neuron_35,neuron_36,neuron_37,neuron_38,neuron_39,neuron_40,neuron_41,neuron_42,neuron_43,neuron_44,neuron_45,neuron_46,neuron_47,neuron_48,neuron_49,neuron_50,neuron_51,neuron_52,neuron_53,neuron_54,neuron_55,neuron_56,neuron_57,neuron_58,neuron_59,neuron_60,neuron_61,neuron_62,neuron_63,neuron_64,importance
PC1,-0.032074463,-0.24640808,0.06422783,-0.22678432,-0.16794094,-0.04457852,0.1634471,-0.095654555,-0.24039401,-0.24126412,-0.17431942,-0.11255438,-0.17511472,0.02543564,0.1593483,-0.0040970836,-0.22431998,-0.14853998,-0.05394739,0.026350886,-0.26999688,-0.20970912,0.14062351,-0.17562771,0.13554922,-0.07799615,0.21300405,-0.2449417,0.120260864,-0.175684,0.024526052,0.0885678,0.23821601,-0.21627006,0.071962856,-0.16259378,-0.084829845,0.16521426,-0.26074034,0.085121475,-0.13869241,0.20796311,-0.17903185,0.0084149325,0.059911415,0.1431571,0.061312154,-0.015896752,-0.2438285,0.0016245459,-0.115002334,-0.15568623,0.17278571,-0.19524506,-0.09942545,-0.10944343,0.06936002,0.123950236,0.21358415,-0.043176945,0.23291053,-0.2576259,-0.21684688,-0.1951732,9.048286
PC2,-0.23211175,-0.28050902,-0.20904735,0.09875017,-0.033035617,0.037210777,-0.158338,0.16958678,0.011430509,0.12850472,0.20773417,0.06427801,-0.092218876,0.176584,-0.030013569,0.026065694,-0.061731387,-0.049337912,0.2040912,-0.21799561,-0.22490236,-0.09021215,0.20899545,-0.09539124,0.2708456,-0.09540086,0.07117724,0.20364442,0.107241996,-0.2448356,0.08930901,0.11367334,-0.22305095,-0.19071871,-0.12214639,0.13796094,0.036517393,-0.07091186,0.20063692,0.06438872,0.020844003,-0.112382166,-0.1258239,-0.21164912,0.10235131,-0.24013776,0.1291451,-0.1633313,-0.08922094,0.1230988,0.08462481,0.21512319,-0.10399755,-0.24569523,0.26566136,-0.08434499,0.1892722,0.09068622,0.22279598,-0.1660034,0.27171612,-0.2042937,0.13621984,0.23978803,9.188744
PC3,0.058537193,-0.14733222,-0.08893595,-0.25124198,-0.19830617,0.06420468,-0.013343764,0.21325694,0.09799594,-0.07042818,-0.012379129,-0.2575252,0.070597135,0.18556276,0.16410433,-0.247465,0.036610372,-0.22861037,-0.01303869,0.17244886,-0.20831497,0.034821577,0.13597134,-0.24697395,0.19415495,0.13049418,0.044618487,-0.20276235,-0.120803945,0.23371397,-0.25906974,0.03539824,0.13258134,-0.13171005,-0.1285667,-0.15206146,-0.0771827,0.0044296966,0.12720059,-0.1379282,-0.076640874,0.035206236,0.008221523,0.2724481,-0.22886083,-0.122835696,0.038923863,0.07783025,-0.17690024,0.023477565,0.090219215,0.0168021,-0.035011783,-0.07479766,0.12871715,-0.07339066,0.053231128,-0.21337014,-0.034423586,-0.015224118,-0.15246749,-0.23141408,0.019389333,0.12211431,7.6526012
PC4,-0.09610492,0.18841998,0.060015112,-0.27647802,0.04917002,-0.23548883,0.16430114,0.024604294,-0.23151198,0.24774829,-0.16670805,0.13116844,-0.11296465,-0.24017671,-0.23217723,-0.08151075,0.15629561,0.21074972,-0.093186334,0.11088288,-0.13774244,-0.24849878,0.09432052,0.24791649,-0.17791964,-0.2581228,0.09857621,-0.111632854,-0.1500814,-0.14505762,-0.19618888,-0.1415671,0.22177123,0.0057438314,0.2531223,-0.011234955,0.2120172,0.018872224,0.2772184,0.20279567,0.20694017,-0.20563187,0.12209015,0.23875704,-0.05023501,0.26559246,-0.091220565,-0.23721677,-0.15304136,0.04996033,0.04681506,-0.042334948,0.05480643,-0.045776643,0.13475557,-0.12353386,-0.16344635,-0.09711433,0.088221714,-0.17013717,-0.17482828,0.07852906,0.09401504,-0.05980908,9.314873
PC5,-0.11528021,0.1985873,-0.049383882,-0.09841513,-0.097393915,-0.14902222,0.16192065,-0.09208267,0.1561121,-0.004894772,0.04532551,0.025520701,0.0076390645,0.04516916,-0.13237543,-0.16644673,-0.24688776,-0.2421349,0.02481123,-0.15574294,0.08229751,-0.17859595,-0.15657333,0.18880033,-0.23950545,-0.18905313,-0.04064525,-0.0856626,0.15227717,-0.14518748,-0.1181417,0.22288695,0.029512981,-0.24120346,0.09305586,0.18777516,0.06484716,0.21394713,-0.010587063,-0.15990646,-0.23189834,-0.10412603,-0.056833234,0.19586296,-0.2573575,0.23941746,-0.0044079823,0.25350115,0.16879079,0.1736262,0.14411488,0.12223112,0.19756311,-0.061190087,-0.23966871,0.24533616,0.17318465,-0.11351542,-0.13412139,0.088853136,0.23380175,0.2235027,-0.047341216,0.2113053,8.9371605
PC6,-0.25994396,0.22896151,0.06816721,-0.16004065,0.12936847,0.06619602,-0.004687121,-0.10835034,-0.240928,-0.0996541,-0.080529206,0.10391335,-0.054179434,-0.20917009,0.120837405,-0.02613124,0.05558391,0.0049889563,-0.25749347,0.027201029,0.22726014,0.22523168,0.24150261,0.17316145,-0.15763898,-0.12484336,-0.0379149,-0.107403636,0.2219642,0.21247159,-0.09294665,-0.26394656,0.025407895,0.20748484,-0.13594297,0.12640227,-0.16296011,0.24545392,-0.1127609,0.138832,0.21825485,0.10581662,-0.09748592,-0.14288154,0.25008032,-0.0103603145,0.0043280083,-0.106003314,-0.053828977,-0.15515818,0.058600184,0.16745882,0.24776287,-0.10361945,0.19602045,-0.009313138,-0.05831526,0.04584634,0.18708827,-0.26660135,0.09972016,-0.22006358,-0.06929277,0.11858362,8.54034
PC7,-0.01564464,-0.052091625,0.13320646,-0.27349618,-0.14715338,0.1121651,-0.14311926,-0.13533309,0.10480889,0.061963934,0.07974458,-0.25605765,-0.08132935,0.16517738,0.19286002,-0.27976364,-0.11834884,-0.23016651,-0.123623215,-0.27938044,0.26000777,-0.012787574,0.0450754,-0.22799215,0.08653498,0.20802274,-0.16003777,-0.24013042,0.20510846,0.23637833,-0.012911076,-0.04299254,0.11343024,0.13117899,-0.19038457,-0.0574515,0.22725838,0.032981016,0.22038585,0.21057858,-0.121699594,-0.19940577,-0.23604546,0.2514328,-0.13178258,-0.12900162,-0.013376565,0.202798,-0.0032659455,0.028237792,0.021089759,-0.0030207408,-0.196237,0.1210006,0.23786098,0.11108235,-0.041263763,-0.21878546,-0.004070415,-0.20397736,-0.1321571,-0.091722704,-0.107154936,0.12901762,8.84255
PC8,0.054351445,0.13651787,0.1456092,-0.26283693,-0.1580621,0.043701917,-0.23085998,-0.15079357,0.2142932,-0.03490052,-0.18353696,-0.22557983,-0.022353137,-0.2142055,0.26858085,0.07771577,0.0016827991,-0.18649611,0.16727175,0.12212095,-0.10939491,-0.07619056,0.06871046,-0.1868506,-0.13289097,-0.21854997,0.14888349,-0.0070061977,0.11321861,0.04820175,0.09043047,0.17263761,-0.17087734,0.22700049,0.18558589,0.04617708,-0.03281945,0.25001445,-0.09250121,-0.16146345,0.032395765,-0.13521971,0.17597204,-0.26020613,0.14241998,0.20329681,-0.0426776,-0.23661087,-0.09688203,-0.21357429,-0.21179247,0.23102288,0.1504969,0.19484815,-0.06527569,-0.099177524,0.20028003,-0.13419215,0.24680972,0.18188968,0.008251157,0.110063605,0.23712657,-0.034809977,9.086166
PC9,0.24801505,0.18503928,0.0010784663,0.17881674,-0.11121613,-0.027689975,0.089628674,0.08712728,-0.093258835,-0.16842449,0.07522274,-0.18660067,-0.22637303,-0.07759122,-0.10945111,0.17788789,-0.23489816,-0.031225575,-0.2502813,-0.07541396,0.1354142,-0.25446555,-0.21553065,-0.0027403394,-0.24404517,0.12804307,-0.1020475,-0.08415788,-0.001655642,-0.04189215,0.25152126,0.15804343,0.14501582,-0.090297505,0.09213886,-0.09240147,0.17819954,-0.09658434,-0.13475975,-0.18979967,0.11660246,0.1892392,0.10545216,0.25487193,-0.06796467,0.113129154,-0.027807996,-0.23500651,-0.02279095,-0.016293285,-0.13060032,0.04973394,-0.027925707,-0.048760056,-0.16869117,-0.124679185,-0.17150052,0.20885842,-0.05644659,-0.050659608,-0.024586031,-0.25059083,-0.05628163,-0.051933344,7.8443995
PC10,-0.16912161,-0.06728758,0.048601337,-0.1356973,0.23206687,0.11637149,-0.09784235,0.12560266,-0.2636604,-0.26677635,-0.10798426,0.0044067977,0.24340902,0.07218103,-0.07738835,-0.23651622,-0.17853604,0.17203699,-0.28119954,0.09718694,-0.2168718,0.23791806,-0.09436153,0.22333577,-0.09727209,0.1669291,0.011034863,-0.20391211,0.022885598,-0.017076261,-0.23504725,0.23977818,-0.22591469,0.05566974,0.069424756,-0.19842876,-0.22689213,0.14564137,-0.057100512,0.01492796,-0.12040794,-0.16728106,-0.14564332,0.08408662,0.061954953,-0.12115719,-0.23921256,-0.05937048,0.257287,0.011123208,0.08960774,0.2519783,-0.22640334,0.12561746,0.1491849,-0.14487611,-0.16236548,0.2310082,-0.1906031,-0.04076442,0.03817983,0.18904543,-0.07523295,0.12686749,9.063555
