score_bin,n,positives,mean_predicted_score,observed_prevalence,min_score,max_score
"(0.439, 0.479]",95,6,0.4643626575789474,0.06315789473684211,0.4399148,0.47869232
"(0.479, 0.491]",94,8,0.4847886963829787,0.0851063829787234,0.478888,0.49072376
"(0.491, 0.502]",94,12,0.49654382308510636,0.1276595744680851,0.4907538,0.50159895
"(0.502, 0.513]",94,20,0.5074515157446808,0.2127659574468085,0.5016103,0.5133832
"(0.513, 0.525]",94,11,0.5193990321276596,0.11702127659574468,0.51343596,0.52462363
"(0.525, 0.536]",94,27,0.5306885027659575,0.2872340425531915,0.52473634,0.5358386
"(0.536, 0.548]",94,23,0.5423611710638298,0.24468085106382978,0.53595185,0.54797447
"(0.548, 0.57]",94,36,0.5587512317021277,0.3829787234042553,0.5485539,0.5700161
"(0.57, 0.593]",94,34,0.5796945911702128,0.3617021276595745,0.5700583,0.5928062
"(0.593, 0.684]",95,44,0.6164555505263158,0.4631578947368421,0.59336036,0.68442285
