outcome,subgroup_variable,subgroup,n,positives,negatives,prevalence_pct,recall_pct,specificity_pct,ppv_pct,npv_pct,fpr_pct,fnr_pct,balanced_accuracy_pct,f1_pct,accuracy_pct,TP,FP,TN,FN,predicted_positive,predicted_negative,stability_note
Perpetration,Sex/gender,Female,473,99,374,20.9,83.8,38.2,26.4,89.9,61.8,16.2,61.0,40.2,47.8,83,231,143,16,314,159,
Perpetration,Sex/gender,Male,469,122,347,26.0,95.1,29.4,32.1,94.4,70.6,4.9,62.2,48.0,46.5,116,245,102,6,361,108,
Perpetration,Age group,14-15,498,120,378,24.1,90.0,45.2,34.3,93.4,54.8,10.0,67.6,49.7,56.0,108,207,171,12,315,183,
Perpetration,Age group,16-17,444,101,343,22.7,90.1,21.6,25.3,88.1,78.4,9.9,55.8,39.5,37.2,91,269,74,10,360,84,
Perpetration,Country/origin,Non-Spain-born,77,20,57,26.0,100.0,8.8,27.8,100.0,91.2,0.0,54.4,43.5,32.5,20,52,5,0,72,5,
Perpetration,Country/origin,Spain-born,865,201,664,23.2,89.1,36.1,29.7,91.6,63.9,10.9,62.6,44.5,48.4,179,424,240,22,603,262,
Perpetration,Ethnic minority background,No,756,161,595,21.3,87.0,40.2,28.2,91.9,59.8,13.0,63.6,42.6,50.1,140,356,239,21,496,260,
Perpetration,Ethnic minority background,Yes,186,60,126,32.3,98.3,4.8,33.0,85.7,95.2,1.7,51.5,49.4,34.9,59,120,6,1,179,7,
Perpetration,Sexual orientation,Heterosexual,824,195,629,23.7,90.8,32.8,29.5,92.0,67.2,9.2,61.8,44.5,46.5,177,423,206,18,600,224,
Perpetration,Sexual orientation,Non-heterosexual,118,26,92,22.0,84.6,42.4,29.3,90.7,57.6,15.4,63.5,43.6,51.7,22,53,39,4,75,43,
