idx,y_victim,pred_victim,score_victim,EDAD,GENERO.BN0,GENERO.BN1,PAÍS,ETNIA.BN,ORIENTSEX.BN0,ORIENTSEX.BN1
3001,1,0,0.25101214574898784,15.0,False,True,True,False,True,False
1694,0,0,0.25101214574898784,16.0,False,True,True,False,True,False
677,0,0,0.25101214574898784,15.0,True,False,True,False,True,False
840,0,1,0.5456885456885456,16.0,True,False,True,False,True,False
1903,0,1,0.5456885456885456,15.0,True,False,True,False,True,False
1172,1,1,0.5456885456885456,15.0,False,True,True,False,True,False
1190,1,1,0.5456885456885456,15.0,False,True,True,False,False,True
942,1,1,0.5456885456885456,17.0,True,False,True,False,True,False
1579,1,1,0.5456885456885456,16.0,True,False,True,False,True,False
1290,0,1,0.5456885456885456,15.0,True,False,True,True,True,False
1251,1,1,0.5456885456885456,14.0,False,True,True,False,False,True
1429,1,1,0.5456885456885456,14.0,True,False,True,True,True,False
1945,1,1,0.5456885456885456,17.0,True,False,True,True,True,False
315,0,1,0.5456885456885456,17.0,True,False,True,False,True,False
3169,0,0,0.25101214574898784,15.0,False,True,True,False,True,False
2055,1,1,0.5456885456885456,15.0,False,True,True,False,False,True
1410,1,1,0.5456885456885456,15.0,True,False,True,False,True,False
3137,0,1,0.5456885456885456,17.0,False,True,True,False,True,False
1904,0,1,0.5456885456885456,14.0,True,False,True,False,True,False
3034,1,1,0.5456885456885456,14.0,True,False,True,False,True,False
3583,0,0,0.25101214574898784,14.0,False,True,True,False,True,False
1707,1,1,0.5456885456885456,16.0,True,False,True,False,True,False
3152,0,0,0.25101214574898784,14.0,True,False,True,False,True,False
1670,1,1,0.5456885456885456,14.0,False,True,True,False,True,False
2347,1,1,0.5456885456885456,14.0,True,False,True,False,True,False
3733,0,0,0.25101214574898784,14.0,True,False,True,False,True,False
555,1,1,0.5456885456885456,16.0,False,True,True,False,True,False
1337,0,1,0.5456885456885456,16.0,True,False,True,False,True,False
2940,0,1,0.5456885456885456,14.0,True,False,True,False,True,False
2774,0,0,0.25101214574898784,14.0,True,False,True,False,True,False
297,0,1,0.5456885456885456,16.0,True,False,False,True,True,False
3541,1,1,0.5456885456885456,14.0,False,True,True,False,True,False
1846,1,1,0.5456885456885456,17.0,False,True,True,False,True,False
2879,0,1,0.5456885456885456,15.0,True,False,True,False,True,False
3457,0,1,0.5456885456885456,16.0,True,False,False,False,True,False
3317,1,1,0.5456885456885456,17.0,False,True,True,False,True,False
1486,0,1,0.5456885456885456,16.0,True,False,True,False,True,False
1388,0,1,0.5456885456885456,16.0,False,True,True,False,True,False
1142,0,1,0.5456885456885456,16.0,True,False,True,False,True,False
650,1,1,0.5456885456885456,16.0,True,False,False,True,True,False
998,1,1,0.5456885456885456,16.0,False,True,True,False,True,False
972,0,1,0.5456885456885456,15.0,True,False,True,False,True,False
3349,1,0,0.25101214574898784,15.0,False,True,True,False,True,False
2077,0,0,0.25101214574898784,16.0,False,True,True,False,True,False
351,1,1,0.5456885456885456,14.0,False,True,True,True,True,False
3462,0,1,0.5456885456885456,17.0,True,False,False,False,True,False
748,1,1,0.5456885456885456,15.0,True,False,True,False,False,True
2178,1,1,0.5456885456885456,14.0,False,True,True,True,True,False
1239,1,1,0.5456885456885456,14.0,True,False,True,False,True,False
2918,0,0,0.25101214574898784,15.0,False,True,True,False,True,False
2736,0,1,0.5456885456885456,17.0,True,False,True,False,True,False
2115,0,1,0.5456885456885456,15.0,True,False,True,False,True,False
1925,0,1,0.5456885456885456,14.0,False,True,True,False,True,False
1679,0,1,0.5456885456885456,15.0,True,False,True,False,True,False
1702,1,0,0.25101214574898784,15.0,True,False,True,False,True,False
3101,0,0,0.25101214574898784,16.0,False,True,True,False,True,False
956,1,1,0.5456885456885456,14.0,True,False,True,False,True,False
3553,0,0,0.25101214574898784,15.0,False,True,True,False,True,False
1600,0,0,0.25101214574898784,17.0,False,True,True,False,True,False
197,1,1,0.5456885456885456,17.0,True,False,True,False,True,False
600,1,1,0.5456885456885456,16.0,True,False,True,True,False,True
866,1,1,0.5456885456885456,15.0,False,True,True,False,True,False
3,0,1,0.5456885456885456,16.0,True,False,True,False,True,False
1698,1,1,0.5456885456885456,15.0,False,True,True,False,False,True
1420,1,1,0.5456885456885456,15.0,True,False,True,True,True,False
1626,0,0,0.25101214574898784,14.0,False,True,True,False,True,False
2371,0,1,0.5456885456885456,16.0,False,True,True,False,True,False
1162,1,1,0.5456885456885456,15.0,False,True,True,True,True,False
