Outcome,Subgroup variable,Subgroup,n,prevalence_pct,recall_pct,specificity_pct,ppv_pct,npv_pct,fpr_pct,fnr_pct,balanced_accuracy_pct,f1_pct,accuracy_pct,TP,FP,TN,FN
Victimization,Sex/gender,Male,438,43.15068493150685,90.47619047619048,19.67871485943775,46.091644204851754,73.13432835820896,80.32128514056225,9.523809523809524,55.077452667814114,61.07142857142857,50.22831050228311,171,200,49,18
Victimization,Sex/gender,Female,504,54.76190476190476,90.57971014492753,30.263157894736842,61.12469437652812,72.63157894736842,69.73684210526316,9.420289855072463,60.42143401983219,72.99270072992701,63.29365079365079,250,159,69,26
Victimization,Age group,14–15,495,47.27272727272727,86.75213675213675,35.24904214559387,54.56989247311828,74.79674796747967,64.75095785440612,13.247863247863247,61.00058944886531,66.996699669967,59.5959595959596,203,169,92,31
Victimization,Age group,16–17,447,51.67785234899329,94.37229437229438,12.037037037037036,53.431372549019606,66.66666666666667,87.96296296296296,5.627705627705628,53.20466570466571,68.23161189358372,54.58612975391499,218,190,26,13
Victimization,Country/origin,Spain-born,863,48.20393974507532,89.66346153846153,26.39821029082774,53.13390313390313,73.2919254658385,73.60178970917227,10.336538461538462,58.03083591464464,66.7262969588551,56.894553881807646,373,329,118,43
Victimization,Country/origin,Non-Spain-born,79,62.0253164556962,97.95918367346938,0.0,61.53846153846154,0.0,100.0,2.0408163265306123,48.97959183673469,75.59055118110236,60.75949367088607,48,30,0,1
Victimization,Ethnic minority background,No ethnic minority,759,47.299077733860344,87.74373259052925,29.5,52.76381909547739,72.8395061728395,70.5,12.256267409470752,58.621866295264624,65.89958158995816,57.04874835309618,315,282,118,44
Victimization,Ethnic minority background,Ethnic minority,183,57.923497267759565,100.0,0.0,57.923497267759565,,100.0,0.0,50.0,73.35640138408304,57.923497267759565,106,77,0,0
Victimization,Sexual orientation,Heterosexual,817,45.532435740514074,88.17204301075269,26.51685393258427,50.0763358778626,72.8395061728395,73.48314606741573,11.827956989247312,57.34444847166848,63.87536514118793,54.58996328029376,328,327,118,44
Victimization,Sexual orientation,Non-heterosexual,125,74.4,100.0,0.0,74.4,,100.0,0.0,50.0,85.3211009174312,74.4,93,32,0,0
