umap_1,umap_2,umap_3,cluster
15.817636,0.36296296,-1.2905902,0
-3.122412,24.846277,0.7247636,1
15.846526,0.3878759,-1.2980748,0
15.818512,0.37719655,-1.2852682,0
15.833243,0.3554967,-1.2660427,0
15.805654,0.34596112,-1.2698537,0
15.843381,0.35006797,-1.2979318,0
15.91034,0.37890276,-1.3014416,0
-33.658424,-7.858554,-2.148706,2
15.909498,0.3710679,-1.2845721,0
15.904283,0.3659691,-1.2739674,0
15.902436,0.30620286,-1.2816465,0
15.895215,0.36415386,-1.2843025,0
16.059036,0.24261655,-1.1712204,0
15.883632,0.35839108,-1.279888,0
-33.66459,-7.8597894,-2.1443646,2
-34.343983,-8.123061,-1.8212415,2
-11.247988,2.4484515,-8.303651,3
16.004528,0.3557735,-1.2679795,0
-0.34621972,5.606393,11.390914,4
15.947823,0.38432506,-1.2991322,0
15.975786,0.37386194,-1.3017528,0
16.01127,0.39375278,-1.2947236,0
-0.34599856,5.606439,11.39053,4
15.966698,0.3920752,-1.3150492,0
15.957233,0.39872867,-1.3035883,0
-11.922497,2.1045115,-8.703278,3
15.996073,0.3912929,-1.3086711,0
16.028252,0.40014866,-1.2711647,0
16.07615,0.37055597,-1.2940865,0
16.004269,0.35400155,-1.2833061,0
16.025112,0.39291736,-1.3171295,0
-13.313881,1.4353456,-10.147878,3
16.037264,0.38877642,-1.3301458,0
16.057827,0.3703302,-1.2872112,0
16.040188,0.38682407,-1.3064786,0
-34.343624,-8.12323,-1.8214095,2
16.096745,0.3652462,-1.3012625,0
16.075928,0.37928757,-1.3165088,0
16.065838,0.43357858,-1.3498948,0
16.11664,0.41597366,-1.3412294,0
16.1268,0.038220372,-1.0052675,0
16.142513,0.37594083,-1.3254826,0
16.135435,0.3597327,-1.2877597,0
-11.249056,2.4611075,-8.305125,3
16.140587,0.41004795,-1.3359606,0
-11.077699,2.360103,-8.126456,3
16.155561,0.4632982,-1.3763889,0
16.201914,0.3642519,-1.3084675,0
16.239586,0.35792255,-1.3014075,0
16.216566,0.3792416,-1.3205435,0
16.260845,0.35904118,-1.2770641,0
16.228191,0.36943066,-1.2931352,0
16.222202,0.34347847,-1.332394,0
16.204208,0.37188345,-1.3194784,0
16.225004,0.37489158,-1.3233845,0
16.29482,0.2886622,-1.3464124,0
16.245178,0.3629776,-1.3226405,0
16.23483,0.4048303,-1.3252783,0
-3.12344,24.845144,0.72527313,1
16.264122,0.40675554,-1.3187816,0
-11.523197,2.6169374,-8.952796,3
16.259216,0.4096496,-1.3607992,0
-34.340862,-8.12356,-1.8210113,2
16.263706,0.35790184,-1.3353461,0
16.27141,0.33943662,-1.2885836,0
16.359064,0.33387572,-1.2556226,0
-3.1241014,24.844309,0.7272494,1
16.24874,0.37201676,-1.316845,0
16.326897,0.34100226,-1.2777082,0
16.405792,0.32131553,-1.2895046,0
16.410887,0.24894316,-1.2235348,0
-34.34218,-8.124438,-1.8218783,2
