Outcome,Subgroup variable,Subgroup,n,prevalence,recall,specificity,ppv,npv,fpr,fnr,balanced_accuracy,f1,accuracy,TP,FP,TN,FN,stability_note
Victimization,Sex/gender,Male,438,43.2,90.5,19.7,46.1,73.1,80.3,9.5,55.1,61.1,50.2,171,200,49,18,
Victimization,Sex/gender,Female,504,54.8,90.6,30.3,61.1,72.6,69.7,9.4,60.4,73.0,63.3,250,159,69,26,
Victimization,Age group,14–15,495,47.3,86.8,35.2,54.6,74.8,64.8,13.2,61.0,67.0,59.6,203,169,92,31,
Victimization,Age group,16–17,447,51.7,94.4,12.0,53.4,66.7,88.0,5.6,53.2,68.2,54.6,218,190,26,13,
Victimization,Country/origin,Spain-born,863,48.2,89.7,26.4,53.1,73.3,73.6,10.3,58.0,66.7,56.9,373,329,118,43,
Victimization,Country/origin,Non-Spain-born,79,62.0,98.0,0.0,61.5,0.0,100.0,2.0,49.0,75.6,60.8,48,30,0,1,
Victimization,Ethnic minority background,No ethnic minority,759,47.3,87.7,29.5,52.8,72.8,70.5,12.3,58.6,65.9,57.0,315,282,118,44,
Victimization,Ethnic minority background,Ethnic minority,183,57.9,100.0,0.0,57.9,,100.0,0.0,50.0,73.4,57.9,106,77,0,0,
Victimization,Sexual orientation,Heterosexual,817,45.5,88.2,26.5,50.1,72.8,73.5,11.8,57.3,63.9,54.6,328,327,118,44,
Victimization,Sexual orientation,Non-heterosexual,125,74.4,100.0,0.0,74.4,,100.0,0.0,50.0,85.3,74.4,93,32,0,0,
Perpetration,Sex/gender,Female,473,20.9,83.8,38.2,26.4,89.9,61.8,16.2,61.0,40.2,47.8,83,231,143,16,
Perpetration,Sex/gender,Male,469,26.0,95.1,29.4,32.1,94.4,70.6,4.9,62.2,48.0,46.5,116,245,102,6,
Perpetration,Age group,14-15,498,24.1,90.0,45.2,34.3,93.4,54.8,10.0,67.6,49.7,56.0,108,207,171,12,
Perpetration,Age group,16-17,444,22.7,90.1,21.6,25.3,88.1,78.4,9.9,55.8,39.5,37.2,91,269,74,10,
Perpetration,Country/origin,Non-Spain-born,77,26.0,100.0,8.8,27.8,100.0,91.2,0.0,54.4,43.5,32.5,20,52,5,0,
Perpetration,Country/origin,Spain-born,865,23.2,89.1,36.1,29.7,91.6,63.9,10.9,62.6,44.5,48.4,179,424,240,22,
Perpetration,Ethnic minority background,No,756,21.3,87.0,40.2,28.2,91.9,59.8,13.0,63.6,42.6,50.1,140,356,239,21,
Perpetration,Ethnic minority background,Yes,186,32.3,98.3,4.8,33.0,85.7,95.2,1.7,51.5,49.4,34.9,59,120,6,1,
Perpetration,Sexual orientation,Heterosexual,824,23.7,90.8,32.8,29.5,92.0,67.2,9.2,61.8,44.5,46.5,177,423,206,18,
Perpetration,Sexual orientation,Non-heterosexual,118,22.0,84.6,42.4,29.3,90.7,57.6,15.4,63.5,43.6,51.7,22,53,39,4,
Victim–perpetrator overlap,Sex/gender,Male,435,17.7,66.2,67.0,30.2,90.2,33.0,33.8,66.6,41.5,66.9,51,118,240,26,
Victim–perpetrator overlap,Sex/gender,Female,507,19.9,92.1,45.3,29.5,95.8,54.7,7.9,68.7,44.7,54.6,93,222,184,8,
Victim–perpetrator overlap,Age group,14–15,505,20.0,82.2,61.6,34.9,93.3,38.4,17.8,71.9,49.0,65.7,83,155,249,18,
Victim–perpetrator overlap,Age group,16–17,437,17.6,79.2,48.6,24.8,91.6,51.4,20.8,63.9,37.8,54.0,61,185,175,16,
Victim–perpetrator overlap,Country/origin,Spain-born,849,18.0,79.1,58.8,29.7,92.7,41.2,20.9,68.9,43.1,62.4,121,287,409,32,
Victim–perpetrator overlap,Country/origin,Non-Spain-born,93,26.9,92.0,22.1,30.3,88.2,77.9,8.0,57.0,45.5,40.9,23,53,15,2,small n
Victim–perpetrator overlap,Ethnic minority background,No ethnic minority,758,17.9,77.2,61.9,30.7,92.5,38.1,22.8,69.6,43.9,64.6,105,237,385,31,
Victim–perpetrator overlap,Ethnic minority background,Ethnic minority,184,22.8,92.9,27.5,27.5,92.9,72.5,7.1,60.2,42.4,42.4,39,103,39,3,
Victim–perpetrator overlap,Sexual orientation,Heterosexual,815,17.9,78.1,62.5,31.2,92.9,37.5,21.9,70.3,44.6,65.3,114,251,418,32,
Victim–perpetrator overlap,Sexual orientation,Non-heterosexual,127,25.2,93.8,6.3,25.2,75.0,93.7,6.2,50.0,39.7,28.3,30,89,6,2,
