u1,a1,d1,u2,a2,d2,recall_0,recall_1
64,relu,0.3,16,relu,0.1,0.43828016643550627,0.746606334841629
64,relu,0.3,16,relu,0.05,0.6699029126213593,0.6380090497737556
64,relu,0.3,16,relu,0.0,0.6352288488210819,0.6606334841628959
64,relu,0.3,16,linear,0.1,0.6269070735090153,0.6199095022624435
64,relu,0.3,16,linear,0.05,0.5187239944521498,0.7104072398190046
64,relu,0.3,16,linear,0.0,0.6574202496532594,0.6561085972850679
64,relu,0.3,16,tanh,0.1,0.6726768377253814,0.665158371040724
64,relu,0.3,16,tanh,0.05,0.6352288488210819,0.6334841628959276
64,relu,0.3,16,tanh,0.0,0.636615811373093,0.6425339366515838
64,relu,0.3,16,sigmoid,0.1,0.6615811373092927,0.6244343891402715
64,relu,0.3,16,sigmoid,0.05,0.5991678224687933,0.6923076923076923
64,relu,0.3,16,sigmoid,0.0,0.5020804438280166,0.6877828054298643
64,relu,0.3,8,relu,0.1,0.2288488210818308,0.8280542986425339
64,relu,0.3,8,relu,0.05,0.6685159500693482,0.6425339366515838
64,relu,0.3,8,relu,0.0,0.4646324549237171,0.6877828054298643
64,relu,0.3,8,linear,0.1,0.6601941747572816,0.6606334841628959
64,relu,0.3,8,linear,0.05,0.608876560332871,0.6515837104072398
64,relu,0.3,8,linear,0.0,0.6574202496532594,0.6425339366515838
64,relu,0.3,8,tanh,0.1,0.636615811373093,0.6334841628959276
64,relu,0.3,8,tanh,0.05,0.680998613037448,0.6515837104072398
64,relu,0.3,8,tanh,0.0,0.5173370319001387,0.7285067873303167
64,relu,0.3,8,sigmoid,0.1,0.636615811373093,0.665158371040724
64,relu,0.3,8,sigmoid,0.05,0.0,1.0
64,relu,0.3,8,sigmoid,0.0,0.0,1.0
64,relu,0.3,4,relu,0.1,0.5631067961165048,0.7194570135746606
64,relu,0.3,4,relu,0.05,0.6005547850208044,0.6923076923076923
64,relu,0.3,4,relu,0.0,0.636615811373093,0.6877828054298643
64,relu,0.3,4,linear,0.1,0.4909847434119279,0.6787330316742082
64,relu,0.3,4,linear,0.05,0.5159500693481276,0.6923076923076923
64,relu,0.3,4,linear,0.0,0.5866851595006934,0.6515837104072398
64,relu,0.3,4,tanh,0.1,0.6712898751733704,0.6334841628959276
64,relu,0.3,4,tanh,0.05,0.5852981969486823,0.665158371040724
64,relu,0.3,4,tanh,0.0,0.6615811373092927,0.6380090497737556
64,relu,0.3,4,sigmoid,0.1,0.5991678224687933,0.6787330316742082
64,relu,0.3,4,sigmoid,0.05,0.5922330097087378,0.6923076923076923
64,relu,0.3,4,sigmoid,0.0,0.260748959778086,0.7873303167420814
64,relu,0.2,16,relu,0.1,0.4368932038834951,0.7330316742081447
64,relu,0.2,16,relu,0.05,0.5159500693481276,0.6742081447963801
64,relu,0.2,16,relu,0.0,0.34396671289875175,0.8099547511312217
64,relu,0.2,16,linear,0.1,0.6352288488210819,0.6561085972850679
64,relu,0.2,16,linear,0.05,0.4882108183079057,0.6742081447963801
64,relu,0.2,16,linear,0.0,0.6269070735090153,0.6606334841628959
64,relu,0.2,16,tanh,0.1,0.5298196948682385,0.7285067873303167
64,relu,0.2,16,tanh,0.05,0.6477115117891817,0.5475113122171946
64,relu,0.2,16,tanh,0.0,0.6726768377253814,0.6470588235294118
64,relu,0.2,16,sigmoid,0.1,0.6074895977808599,0.669683257918552
64,relu,0.2,16,sigmoid,0.05,0.6380027739251041,0.6425339366515838
64,relu,0.2,16,sigmoid,0.0,0.6421636615811374,0.6561085972850679
64,relu,0.2,8,relu,0.1,0.3869625520110957,0.751131221719457
64,relu,0.2,8,relu,0.05,0.6407766990291263,0.6153846153846154
64,relu,0.2,8,relu,0.0,0.6296809986130375,0.6923076923076923
64,relu,0.2,8,linear,0.1,0.42441054091539526,0.6606334841628959
64,relu,0.2,8,linear,0.05,0.4798890429958391,0.7285067873303167
64,relu,0.2,8,linear,0.0,0.5631067961165048,0.6515837104072398
64,relu,0.2,8,tanh,0.1,0.6726768377253814,0.6199095022624435
64,relu,0.2,8,tanh,0.05,0.5589459084604715,0.6606334841628959
64,relu,0.2,8,tanh,0.0,0.665742024965326,0.6515837104072398
64,relu,0.2,8,sigmoid,0.1,0.6629680998613038,0.6289592760180995
64,relu,0.2,8,sigmoid,0.05,0.1608876560332871,0.8733031674208145
64,relu,0.2,8,sigmoid,0.0,0.37170596393897365,0.7692307692307693
64,relu,0.2,4,relu,0.1,0.6477115117891817,0.6425339366515838
64,relu,0.2,4,relu,0.05,0.6061026352288488,0.6606334841628959
64,relu,0.2,4,relu,0.0,0.47018030513176146,0.6334841628959276
64,relu,0.2,4,linear,0.1,0.6061026352288488,0.6380090497737556
64,relu,0.2,4,linear,0.05,0.49930651872399445,0.6923076923076923
64,relu,0.2,4,linear,0.0,0.6213592233009708,0.6561085972850679
64,relu,0.2,4,tanh,0.1,0.4147018030513176,0.7420814479638009
64,relu,0.2,4,tanh,0.05,0.5922330097087378,0.6515837104072398
64,relu,0.2,4,tanh,0.0,0.6074895977808599,0.665158371040724
64,relu,0.2,4,sigmoid,0.1,0.0,1.0
64,relu,0.2,4,sigmoid,0.05,0.0,1.0
64,relu,0.2,4,sigmoid,0.0,0.6615811373092927,0.6470588235294118
64,relu,0.1,16,relu,0.1,0.6615811373092927,0.6606334841628959
64,relu,0.1,16,relu,0.05,0.3314840499306519,0.6787330316742082
64,relu,0.1,16,relu,0.0,0.6560332871012483,0.6380090497737556
64,relu,0.1,16,linear,0.1,0.5159500693481276,0.7375565610859729
64,relu,0.1,16,linear,0.05,0.4077669902912621,0.8009049773755657
64,relu,0.1,16,linear,0.0,0.6934812760055479,0.6380090497737556
64,relu,0.1,16,tanh,0.1,0.4646324549237171,0.6877828054298643
64,relu,0.1,16,tanh,0.05,0.6560332871012483,0.6244343891402715
64,relu,0.1,16,tanh,0.0,0.5353675450762829,0.6561085972850679
64,relu,0.1,16,sigmoid,0.1,0.0013869625520110957,1.0
64,relu,0.1,16,sigmoid,0.05,0.026352288488210817,0.995475113122172
64,relu,0.1,16,sigmoid,0.0,0.59500693481276,0.6923076923076923
64,relu,0.1,8,relu,0.1,0.29958391123439665,0.8371040723981901
64,relu,0.1,8,relu,0.05,0.5270457697642164,0.7194570135746606
64,relu,0.1,8,relu,0.0,0.6227461858529819,0.6742081447963801
64,relu,0.1,8,linear,0.1,0.536754507628294,0.6108597285067874
64,relu,0.1,8,linear,0.05,0.5894590846047156,0.665158371040724
64,relu,0.1,8,linear,0.0,0.5048543689320388,0.6380090497737556
64,relu,0.1,8,tanh,0.1,0.5533980582524272,0.7058823529411765
64,relu,0.1,8,tanh,0.05,0.6005547850208044,0.6742081447963801
64,relu,0.1,8,tanh,0.0,0.6380027739251041,0.6515837104072398
64,relu,0.1,8,sigmoid,0.1,0.665742024965326,0.6515837104072398
64,relu,0.1,8,sigmoid,0.05,0.15950069348127602,0.9230769230769231
64,relu,0.1,8,sigmoid,0.0,0.5436893203883495,0.6470588235294118
64,relu,0.1,4,relu,0.1,0.5464632454923717,0.7058823529411765
64,relu,0.1,4,relu,0.05,0.6754507628294036,0.6199095022624435
64,relu,0.1,4,relu,0.0,0.37170596393897365,0.7963800904977375
64,relu,0.1,4,linear,0.1,0.5006934812760055,0.5927601809954751
64,relu,0.1,4,linear,0.05,0.34812760055478503,0.7963800904977375
64,relu,0.1,4,linear,0.0,0.6185852981969486,0.6289592760180995
64,relu,0.1,4,tanh,0.1,0.651872399445215,0.669683257918552
64,relu,0.1,4,tanh,0.05,0.6671289875173371,0.6515837104072398
64,relu,0.1,4,tanh,0.0,0.6227461858529819,0.6425339366515838
64,relu,0.1,4,sigmoid,0.1,0.6144244105409153,0.6742081447963801
64,relu,0.1,4,sigmoid,0.05,0.651872399445215,0.6425339366515838
64,relu,0.1,4,sigmoid,0.0,0.40360610263522884,0.8054298642533937
64,linear,0.3,16,relu,0.1,0.6144244105409153,0.6877828054298643
64,linear,0.3,16,relu,0.05,0.5187239944521498,0.7013574660633484
64,linear,0.3,16,relu,0.0,0.5547850208044383,0.6968325791855203
64,linear,0.3,16,linear,0.1,0.6629680998613038,0.6470588235294118
64,linear,0.3,16,linear,0.05,0.6837725381414702,0.6199095022624435
64,linear,0.3,16,linear,0.0,0.6546463245492372,0.6470588235294118
64,linear,0.3,16,tanh,0.1,0.6671289875173371,0.6334841628959276
64,linear,0.3,16,tanh,0.05,0.6504854368932039,0.6380090497737556
64,linear,0.3,16,tanh,0.0,0.6629680998613038,0.6515837104072398
64,linear,0.3,16,sigmoid,0.1,0.6393897364771152,0.6425339366515838
64,linear,0.3,16,sigmoid,0.05,0.6324549237170597,0.6787330316742082
64,linear,0.3,16,sigmoid,0.0,0.6144244105409153,0.6787330316742082
64,linear,0.3,8,relu,0.1,0.5894590846047156,0.665158371040724
64,linear,0.3,8,relu,0.05,0.6615811373092927,0.6425339366515838
64,linear,0.3,8,relu,0.0,0.44382801664355065,0.6561085972850679
64,linear,0.3,8,linear,0.1,0.680998613037448,0.6244343891402715
64,linear,0.3,8,linear,0.05,0.6768377253814147,0.6289592760180995
64,linear,0.3,8,linear,0.0,0.694868238557559,0.6244343891402715
64,linear,0.3,8,tanh,0.1,0.6560332871012483,0.6515837104072398
64,linear,0.3,8,tanh,0.05,0.6768377253814147,0.6470588235294118
64,linear,0.3,8,tanh,0.0,0.6643550624133149,0.6425339366515838
64,linear,0.3,8,sigmoid,0.1,0.0,1.0
64,linear,0.3,8,sigmoid,0.05,0.6185852981969486,0.6787330316742082
64,linear,0.3,8,sigmoid,0.0,0.0,1.0
64,linear,0.3,4,relu,0.1,0.6213592233009708,0.669683257918552
64,linear,0.3,4,relu,0.05,0.5922330097087378,0.7149321266968326
64,linear,0.3,4,relu,0.0,0.6296809986130375,0.6425339366515838
64,linear,0.3,4,linear,0.1,0.6823855755894591,0.6515837104072398
64,linear,0.3,4,linear,0.05,0.6477115117891817,0.6244343891402715
64,linear,0.3,4,linear,0.0,0.6754507628294036,0.6425339366515838
64,linear,0.3,4,tanh,0.1,0.6546463245492372,0.6742081447963801
64,linear,0.3,4,tanh,0.05,0.6560332871012483,0.6606334841628959
64,linear,0.3,4,tanh,0.0,0.636615811373093,0.6561085972850679
64,linear,0.3,4,sigmoid,0.1,0.6116504854368932,0.6742081447963801
64,linear,0.3,4,sigmoid,0.05,0.37309292649098474,0.755656108597285
64,linear,0.3,4,sigmoid,0.0,0.6282940360610264,0.6787330316742082
64,linear,0.2,16,relu,0.1,0.6685159500693482,0.6425339366515838
64,linear,0.2,16,relu,0.05,0.624133148404993,0.6832579185520362
64,linear,0.2,16,relu,0.0,0.6796116504854369,0.669683257918552
64,linear,0.2,16,linear,0.1,0.7045769764216366,0.6018099547511312
64,linear,0.2,16,linear,0.05,0.6740638002773925,0.6380090497737556
64,linear,0.2,16,linear,0.0,0.6699029126213593,0.6380090497737556
64,linear,0.2,16,tanh,0.1,0.6726768377253814,0.6108597285067874
64,linear,0.2,16,tanh,0.05,0.665742024965326,0.6380090497737556
64,linear,0.2,16,tanh,0.0,0.6407766990291263,0.669683257918552
64,linear,0.2,16,sigmoid,0.1,0.6560332871012483,0.6334841628959276
64,linear,0.2,16,sigmoid,0.05,0.0,1.0
64,linear,0.2,16,sigmoid,0.0,0.0013869625520110957,1.0
64,linear,0.2,8,relu,0.1,0.47434119278779474,0.583710407239819
64,linear,0.2,8,relu,0.05,0.49930651872399445,0.7601809954751131
64,linear,0.2,8,relu,0.0,0.6296809986130375,0.7013574660633484
64,linear,0.2,8,linear,0.1,0.6435506241331485,0.6742081447963801
64,linear,0.2,8,linear,0.05,0.6490984743411928,0.6199095022624435
64,linear,0.2,8,linear,0.0,0.6699029126213593,0.6425339366515838
64,linear,0.2,8,tanh,0.1,0.6865464632454924,0.6199095022624435
64,linear,0.2,8,tanh,0.05,0.6380027739251041,0.6832579185520362
64,linear,0.2,8,tanh,0.0,0.6685159500693482,0.6470588235294118
64,linear,0.2,8,sigmoid,0.1,0.13453536754507628,0.9502262443438914
64,linear,0.2,8,sigmoid,0.05,0.33841886269070737,0.7918552036199095
64,linear,0.2,8,sigmoid,0.0,0.0,1.0
64,linear,0.2,4,relu,0.1,0.6255201109570042,0.6561085972850679
64,linear,0.2,4,relu,0.05,0.6421636615811374,0.6606334841628959
64,linear,0.2,4,relu,0.0,0.49791955617198336,0.7013574660633484
64,linear,0.2,4,linear,0.1,0.6463245492371706,0.6606334841628959
64,linear,0.2,4,linear,0.05,0.6477115117891817,0.6334841628959276
64,linear,0.2,4,linear,0.0,0.6796116504854369,0.6199095022624435
64,linear,0.2,4,tanh,0.1,0.665742024965326,0.6470588235294118
64,linear,0.2,4,tanh,0.05,0.651872399445215,0.6334841628959276
64,linear,0.2,4,tanh,0.0,0.6685159500693482,0.6470588235294118
64,linear,0.2,4,sigmoid,0.1,0.5825242718446602,0.7149321266968326
64,linear,0.2,4,sigmoid,0.05,0.6296809986130375,0.6470588235294118
64,linear,0.2,4,sigmoid,0.0,0.6185852981969486,0.6832579185520362
64,linear,0.1,16,relu,0.1,0.5728155339805825,0.6561085972850679
64,linear,0.1,16,relu,0.05,0.5242718446601942,0.7013574660633484
64,linear,0.1,16,relu,0.0,0.6352288488210819,0.665158371040724
64,linear,0.1,16,linear,0.1,0.6851595006934813,0.6470588235294118
64,linear,0.1,16,linear,0.05,0.6837725381414702,0.6425339366515838
64,linear,0.1,16,linear,0.0,0.6823855755894591,0.6334841628959276
64,linear,0.1,16,tanh,0.1,0.6615811373092927,0.6515837104072398
64,linear,0.1,16,tanh,0.05,0.6560332871012483,0.669683257918552
64,linear,0.1,16,tanh,0.0,0.6407766990291263,0.6561085972850679
64,linear,0.1,16,sigmoid,0.1,0.420249653259362,0.8190045248868778
64,linear,0.1,16,sigmoid,0.05,0.0,1.0
64,linear,0.1,16,sigmoid,0.0,0.39667128987517336,0.8597285067873304
64,linear,0.1,8,relu,0.1,0.723994452149792,0.6018099547511312
64,linear,0.1,8,relu,0.05,0.6685159500693482,0.6380090497737556
64,linear,0.1,8,relu,0.0,0.6740638002773925,0.6380090497737556
64,linear,0.1,8,linear,0.1,0.6490984743411928,0.665158371040724
64,linear,0.1,8,linear,0.05,0.6837725381414702,0.6561085972850679
64,linear,0.1,8,linear,0.0,0.6380027739251041,0.6199095022624435
64,linear,0.1,8,tanh,0.1,0.6158113730929264,0.6832579185520362
