,neuron_1,neuron_2,neuron_3,neuron_4,neuron_5,neuron_6,neuron_7,neuron_8,neuron_9,neuron_10,neuron_11,neuron_12,neuron_13,neuron_14,neuron_15,neuron_16,neuron_17,neuron_18,neuron_19,neuron_20,neuron_21,neuron_22,neuron_23,neuron_24,neuron_25,neuron_26,neuron_27,neuron_28,neuron_29,neuron_30,neuron_31,neuron_32,neuron_33,neuron_34,neuron_35,neuron_36,neuron_37,neuron_38,neuron_39,neuron_40,neuron_41,neuron_42,neuron_43,neuron_44,neuron_45,neuron_46,neuron_47,neuron_48,neuron_49,neuron_50,neuron_51,neuron_52,neuron_53,neuron_54,neuron_55,neuron_56,neuron_57,neuron_58,neuron_59,neuron_60,neuron_61,neuron_62,neuron_63,neuron_64,importance
PAÍS,0.023209514644407098,-0.13596919482433245,-0.24348809280089287,-0.12353129862567334,-0.18781391292220406,0.14300224348251186,0.13234240002352696,0.3119006109021228,0.13629778174187546,0.06439785949979963,-0.027253283751223427,-0.07554724043716547,0.02693125365530176,0.2338926551926035,-0.20195479986192608,-0.017928032974147433,0.0436676560978086,-0.1325382507028458,0.16927836788919928,-0.2703012371263827,-0.2311168559071305,-0.1431153845201987,0.2566222896161957,-0.08345186833921979,0.07628376361837838,0.18331651456796594,-0.026498407835916886,0.022262509472966617,0.26931399469355644,0.1051881318462156,0.10919296230360542,-0.12939066778106936,0.12890896882793454,0.0978571572754635,-0.2286491246160381,0.13772671118680935,0.24596461956114865,0.10744545988932962,-0.01465593083139528,-0.15608931512326865,0.18173003656893882,-0.11804321756606233,0.11668511210243607,0.2295479380932465,-0.11230449171306604,0.16453132187884745,-0.13885721999623082,0.2534723288614071,0.12953819877776804,0.06563036497938689,-0.08185120194507278,0.013793919644119865,-0.026930197432049822,-0.27457331596964285,-0.16997587446507056,0.13654304881141696,-0.16544886281844623,-0.11126864543147633,0.09410970527305039,-0.00613758345525223,-0.06030570277542337,-0.14011976476811536,-0.031938813903218684,0.13070725117703805,4.451227021917043
ETNIA.BN,0.04764130111715969,-0.07420751865268697,0.22251746460565086,0.11390325902904401,-0.06754579380464254,-0.17854435417551953,-0.10816985801710585,-0.12150648674806369,0.01020586969343693,-0.07852230376287914,-0.1254962040117465,0.2913356321476016,-0.0065555271986442575,-0.11774193935257764,-0.05159904927419048,-0.2110731899918808,-0.1754984184517153,-0.02943432628460578,0.07835076630253353,-0.11291636223939333,0.12099959809234802,-0.06134665673916601,0.3423197799186505,-0.21816327868387317,-0.1615668897849918,0.05325734803332426,0.05810591351495577,-0.07071094394147755,-0.02620813750127087,-0.1816300915332969,-0.10114004427604854,0.11697202268452914,-0.0885817070189618,-0.07234419074441048,-0.0355765874401847,0.28906043764358363,-0.011496528858504908,-0.013329184283750769,0.17816260771051465,0.10207905387917522,-0.11057650108246744,-0.023081061317427688,0.03404225129613051,0.03772393341872113,-0.2843586808027708,0.26601241768566464,0.12157898659691652,-0.15800585523817867,0.1358924942832637,-0.16734957453769753,-0.07836682026615978,-0.21376941596894658,-0.09662602534392258,-0.215965075598145,0.05521906697403247,-0.11521388657657976,0.12568153339597418,0.08114343069136676,0.04008501006837505,-0.23146236728773567,-0.13640084907417513,0.19466225967702133,0.24544589538604836,0.16869881216822177,4.162628086996824
EDAD,0.22442939137350326,0.2686769887559486,-0.10669227213210301,0.0992771025511085,-0.4123007517535948,-0.0266117965727377,-0.01700066454597183,0.17623542078466184,-0.03611181317130444,0.1875821543491616,-0.03024138585770914,-0.029036052893843912,-0.019222182584451828,0.10127056743172885,0.07472746673878036,0.235272828892085,0.0021455779224658555,0.026550774196759126,0.11937626935308325,-0.0564618711742488,-0.12683445548614117,0.10650881221336382,-0.012792315830024268,-0.2704103925477111,-0.11276220450072595,0.0326974056820835,0.21236228779506056,-0.11356225522900468,0.035799849205607366,-0.059089996189804074,-0.09392642581044813,0.15346215572536473,-0.1425527212229916,0.1561901475496863,-0.026458269492609734,0.09224382363740807,0.02908154469760558,-0.16390903339880528,-0.21005136875241534,-0.23900364612924563,0.19728804672392572,-0.0548620120286488,-0.20272209561733803,0.264827636330372,-0.16237701488898046,-0.11424208195463598,0.008592000927911167,0.07677829088807997,0.1296428200224157,0.10551407509851442,-0.20767948634770142,0.3404859418992366,0.09529091023873143,0.012333484983105334,0.1687309268218848,0.05058684464631532,0.049391297849660745,-0.08958813007114957,0.10273687093108773,-0.3938105329517137,0.049340905149603265,-0.014818757764158407,0.12393253711023139,-0.020806617869951503,4.063169282928301
FUGAS.BN,-0.03390302736801313,-0.17879624594416607,0.10710428463473076,0.2724829456545077,-0.03747664666512876,-0.21852729679080407,0.03810357598966213,-0.095548789109966,0.3387309567071494,0.11122552113463505,0.1141851485557304,0.1479725852816533,0.10232810309701582,-0.14659657003426216,-0.1864420291081809,-0.0849269711995161,0.0035579561813739455,0.09079537272564218,-0.12727042990850734,0.22197246434609214,-0.27112189470765397,-0.326326182849433,-0.06857557709634493,0.05620509922444089,0.14353063764500784,0.058615010405515124,0.15436624747114797,0.14580551732194214,0.0942476197768589,-0.16690316073167327,-0.1505933032278267,-0.12006175571442043,-0.09470657966480055,0.10400983956883612,0.17437343945356523,-0.1837085031865385,-0.17087019222328603,0.023094478014488436,0.06593515610849884,0.009874723904781913,0.17811716146188536,0.2968541690335331,0.33287171841705454,0.16626132261391896,0.19437810066117817,0.17823539147492964,0.05547160605504999,-0.21897467065291207,0.19255683732912587,-0.04988875120152246,-0.11816146007617147,0.11102563677157658,0.013422454638123554,0.09566419178122497,-0.08094309158170579,-0.0010012809469206957,0.08187562415890158,-0.23489391976354826,-0.27364831518587673,-0.017026087887257034,0.3545889101374632,0.14853156658380534,0.0745165173878757,0.1239211428588839,4.676405799143821
ABUSOSUBS1,0.07815153095329827,-0.07190928056415878,0.05872885040788138,0.07706226018803594,0.024113715793818113,0.06760656230907455,-0.2571346786559986,0.29558488756299545,0.18940865237846083,0.02184597156655013,-0.14566086361591946,-0.04276265215268766,0.1894062999313969,0.1912683866321103,0.07167015863320839,0.23505006494973937,-0.0880650202163168,-0.08190839860569854,-0.18050747081770246,0.16180433522269738,-0.08135524951822319,0.314025386724384,-0.30941535250935026,-0.07917749539229563,0.18059875012837187,-0.05282806803697351,0.18550542743331308,-0.06941289958954694,0.07186203889109921,-0.2075417047730654,-0.0006308324664636296,-0.0865203902194957,-0.12821685573388486,-0.1651147838616726,0.0317285358991026,0.24043619381661555,0.10488734786098325,0.38222364951680793,-0.09395596266001537,-0.061496515690668066,0.055451198928636855,-0.06984867359190117,-0.0873562226808407,-0.16806070381330784,0.15546573325967286,0.13528511408341276,0.14274363756496744,-0.08185208497852013,0.3095725843927118,0.03572811374958821,0.20066732479563004,-0.015332245823988882,-0.07379667541082151,0.02261047163736324,-0.006479938327344077,-0.14974530754961785,0.139108783728784,-0.02273753621113352,-0.0003920480839394011,-0.02112823893156001,0.07650302202625671,-0.26213664580008456,0.2867087160908398,0.2879945891149363,4.332088808938784
ABUSOSUBS2,-0.025737502314546766,0.09392775552135567,-0.13252409457802258,0.300540317002193,0.22726142655216308,0.015486917364431954,0.011739622121485185,0.012083600094260852,-0.1371778946812696,-0.20739487967747516,0.11631686962202985,0.11606868703022764,0.14196421592686015,0.25979788791687425,0.16874908237880668,-0.044378911860394644,-0.1770195072758905,-0.017573653348241146,0.12643873713620737,-0.10033356421413328,-0.3195643475098943,0.03138369863958493,0.05226614819019786,0.09438582660444554,0.1447962213400474,0.06316706049649988,-0.009370493380070712,-0.32655895609721536,-0.26790503469776134,0.0016525356175881424,0.05725340503619469,-0.08432548639295835,0.08072519635857751,0.09033114280830212,-0.22528744879790816,-0.010843381813754025,-0.012615730466082421,-0.013341619811390103,0.19032927636859348,0.21184761895565088,0.15369563507714093,0.06735683819450317,-0.12698748948187655,0.18319966639732,-0.07003587567119092,-0.04385192693450498,-0.15645821987189173,0.20867522795950783,-0.06269874921502779,-0.14146543361342467,0.022320626424664883,-0.14385436302876098,0.23367185580801805,0.29871544585054094,-0.028294091335749755,0.14555490663092507,-0.05528289977918261,-0.15713891783862563,0.029599761177716122,0.176736590718875,-0.011151465651364474,0.11730707094391955,-0.04758443490651172,0.0860594051200516,3.9641011413385225
CONVIVEN.1,-0.28116265771425186,-0.03923414867998822,0.057728383241700286,-0.11989490170856891,0.030562767314603733,-0.1519864579358235,0.15900414082633305,0.10510616831581582,-0.32082939445538544,0.015983999226047686,-0.031133817948835293,0.07448898574364948,-0.011412022045105165,-0.14840811616376084,-0.04422511295387051,-0.020822853597678413,-0.09620751490586965,0.06814198606037349,0.36883372458017455,-0.17382983630709803,0.13469539976272293,-0.0696801731199823,0.18643998395929576,0.13295382342990295,0.23168388423576375,0.17031291781545518,-0.03493540951921235,0.11246392359464566,-0.14274128237737702,0.1500089492802165,0.29813290254123154,-0.2349060145375693,0.17014043846861224,0.29220590132570984,0.05869570083162928,-0.029041288921274534,0.16659437234422658,-0.07903676231862042,0.15626981100693282,-0.031711754648365446,0.010673080660634254,-0.349894625167765,-0.08260143813119114,0.22354708638144918,-0.12922548167220227,-0.07287924113276356,0.0928306445593464,0.07798640375541255,-0.16791950546491513,0.061540934268326755,0.10459236467815217,0.024020183894382242,0.07882137663830344,-0.051847763741211424,-0.026243870071204954,0.22352567216689304,0.3572764392847888,-0.1751774290978732,-0.05804665945727344,0.3606041506704968,0.014046637280678651,-0.00988873202783717,-0.025440761557020915,0.18384022214790957,4.321940176192595
CONVIVEN.2,0.059813127506813064,0.02492611618872837,0.13956372611033813,0.11445601108384641,0.015575733757422458,0.2245308664658826,-0.1457877698712092,0.04365792066670127,0.13791107360029148,-0.07166970315177101,-0.0012071643983099683,0.21979380010431573,-0.015978091666768408,0.1284657316283453,-0.1179048218348724,-0.31271479835172145,-0.15057996410532873,-0.2642101562037031,0.1469768545520359,-0.14844749586182532,0.052192160097436685,0.058301495033761454,-0.13821301373756528,-0.17708968134755562,0.16128436737893959,-0.021966257800061936,0.17955917056523657,0.011199133115702071,-0.16416404063374057,-0.01164937754694262,-0.1349065063690121,-0.14996893843144993,0.1517589021602006,-0.08867698043665886,-0.018405510407280532,-0.10094144051469243,0.2349482063737837,0.2616678390080083,-0.01385283400598407,0.0022317093608358236,-0.08895259980165826,-0.09282057842078674,-0.04555102635376944,0.041781955151235325,-0.0052828089407595015,0.014767908617792116,0.005132357559163782,0.11564824478347639,-0.11051955199969239,-0.08467838312384014,-0.15196762692232008,-0.06367534815150079,0.11078903256244037,-0.36369583884280837,0.1682754909364853,-0.07401585515677785,-0.3852884944493218,-0.05349381134767607,0.1863168708085992,-0.016202695078802284,0.046937877249527325,0.156989773991659,-0.05493286681146553,-0.03502214983612906,3.7532613778693964
CONVIVEN.3,0.023279220736382146,0.04310127210943337,-0.13547732059014778,0.0534893099643881,-0.08269050204489102,0.022667566132827638,-0.015894936420697663,-0.08118844058633687,-0.008330101573549659,0.019390291367546643,-0.08230975104578611,0.10123853994369475,-0.14654514043005668,0.02422778028037988,-0.0023235268910109163,-0.04364255306877666,0.08026034111679006,0.19556313763205121,0.172902732543001,0.2595309144418848,-0.004308526210392593,-0.027266832262932958,-0.1426779798622928,-0.32773820530970016,-0.039104559190220295,0.2628907346622413,0.14819218386662567,-0.036432086168734786,0.037927854688468446,-0.0006987019989550537,0.13307650882909217,-0.058149976181302535,0.20108652931829354,0.1544416799803261,0.049508742572727193,0.14091700069496496,-0.06919028253339408,-0.061009771169153966,0.105264528053411,0.07005767164431388,-0.009657590554165112,-0.18550832606682255,0.002668003885564077,0.04706713327697673,0.14327954779412352,-0.10520901910987895,-0.2593461953385091,-0.06176925863388916,0.13332262672922143,0.03612969171881344,-0.04983338200243695,0.05509167449119833,0.06647896145282563,-0.13863523173321726,0.010651678215256317,-0.03729885838927576,0.05653299384459805,-0.04391636019559678,0.12778960051771523,0.03099732339440404,0.014093397907843745,0.16812608341543697,-0.08485171943431538,-0.16213929701300203,3.014508335654852
CONVIVEN.4,-0.15517862701141177,0.13295576843016785,0.10299101474620946,0.020468109566401067,0.11362966703247421,-0.1868938744596928,-0.13777365349002654,-0.06758676723369084,-0.10710688526198098,0.05766958179179282,-0.2534414562085805,-0.27019552513871087,0.10172869626054046,0.1689822457641335,0.06257402280285766,0.23045307492905526,-0.21548444481382556,-0.19261617082025842,0.056306629891655316,0.37689073907356635,0.25053437158247516,0.227355601781323,0.010836782319476811,0.13772347118221165,0.019644956385750596,-0.079735596944737,-0.019841304123182326,0.09352361632782746,0.0060856275076413315,0.11615167215037589,0.11451715403114401,0.07918442202062262,-0.10386157994103436,0.17502316791648148,0.058862028184098095,0.2681584899747034,0.1076712988455349,-0.2154577270628693,-0.24333959228666635,-0.22501820292111188,-0.04290751529833518,-0.13152440828550785,-0.012551318471205485,-0.08011780918101499,-0.17208804624173918,0.022109047639407024,0.1181391386761738,0.1560034873418861,0.06595083906707036,-0.20062294518497706,0.20042320797689916,-0.14980749385056855,-0.03453566947352273,-0.25523137814710445,-0.20109849891263398,0.16312834604783455,0.019257989655804816,-0.20861291070568017,0.29666929878664805,0.09614757615701108,-0.13871061655058883,-0.13669094888336072,0.19619541349954972,0.05337836120201964,4.613755577012583
