,PC,explained variance,cumulative variance
0,PC1,0.21975062943063656,0.21975062943063656
1,PC2,0.11029573900859303,0.3300463684392296
2,PC3,0.09030825146177955,0.42035461990100914
3,PC4,0.08422073379946357,0.5045753537004727
4,PC5,0.06788899140179061,0.5724643451022633
5,PC6,0.05755337131198037,0.6300177164142436
6,PC7,0.04860861640979048,0.6786263328240342
7,PC8,0.040200411191342586,0.7188267440153767
8,PC9,0.033688619709820726,0.7525153637251975
9,PC10,0.031955840770781584,0.7844712044959791
10,PC11,0.028858886959274025,0.8133300914552531
11,PC12,0.02483315585689811,0.8381632473121513
12,PC13,0.02268750325340244,0.8608507505655537
13,PC14,0.021264932617408323,0.8821156831829621
14,PC15,0.019990958137916886,0.9021066413208789
15,PC16,0.01760843782497649,0.9197150791458554
16,PC17,0.016460607270118277,0.9361756864159736
17,PC18,0.014162827685342282,0.9503385141013159
18,PC19,0.013468316643875898,0.9638068307451918
19,PC20,0.00973417919272395,0.9735410099379157
20,PC21,0.00937851890322235,0.9829195288411381
21,PC22,0.007890776930390394,0.9908103057715285
22,PC23,0.006533272581250378,0.9973435783527789
23,PC24,0.0015892256303144858,0.9989328039830934
24,PC25,0.0010671960169068016,1.0000000000000002
25,PC26,9.007571395526695e-18,1.0000000000000002
26,PC27,0.0,1.0000000000000002
