u1,a1,d1,u2,a2,d2,recall_0,recall_1
64,relu,0.3,16,relu,0.1,0.5547850208044383,0.7375565610859729
64,relu,0.3,16,relu,0.05,0.6380027739251041,0.665158371040724
64,relu,0.3,16,relu,0.0,0.5700416088765603,0.6606334841628959
64,relu,0.3,16,linear,0.1,0.5852981969486823,0.6515837104072398
64,relu,0.3,16,linear,0.05,0.42441054091539526,0.7737556561085973
64,relu,0.3,16,linear,0.0,0.5006934812760055,0.6877828054298643
64,relu,0.3,16,tanh,0.1,0.6407766990291263,0.6606334841628959
64,relu,0.3,16,tanh,0.05,0.5963938973647711,0.6561085972850679
64,relu,0.3,16,tanh,0.0,0.5825242718446602,0.6787330316742082
64,relu,0.3,16,sigmoid,0.1,0.04022191400832178,0.9638009049773756
64,relu,0.3,16,sigmoid,0.05,0.5575589459084604,0.7013574660633484
64,relu,0.3,16,sigmoid,0.0,0.6255201109570042,0.6787330316742082
64,relu,0.3,8,relu,0.1,0.521497919556172,0.7058823529411765
64,relu,0.3,8,relu,0.05,0.6269070735090153,0.665158371040724
64,relu,0.3,8,relu,0.0,0.6463245492371706,0.6515837104072398
64,relu,0.3,8,linear,0.1,0.6629680998613038,0.6380090497737556
64,relu,0.3,8,linear,0.05,0.6920943134535368,0.6380090497737556
64,relu,0.3,8,linear,0.0,0.5575589459084604,0.6334841628959276
64,relu,0.3,8,tanh,0.1,0.5520110957004161,0.5882352941176471
64,relu,0.3,8,tanh,0.05,0.6712898751733704,0.6199095022624435
64,relu,0.3,8,tanh,0.0,0.6005547850208044,0.669683257918552
64,relu,0.3,8,sigmoid,0.1,0.0,1.0
64,relu,0.3,8,sigmoid,0.05,0.0,1.0
64,relu,0.3,8,sigmoid,0.0,0.4507628294036061,0.7692307692307693
64,relu,0.3,4,relu,0.1,0.636615811373093,0.6561085972850679
64,relu,0.3,4,relu,0.05,0.6588072122052705,0.6470588235294118
64,relu,0.3,4,relu,0.0,0.5631067961165048,0.7375565610859729
64,relu,0.3,4,linear,0.1,0.6851595006934813,0.6199095022624435
64,relu,0.3,4,linear,0.05,0.6213592233009708,0.6380090497737556
64,relu,0.3,4,linear,0.0,0.6477115117891817,0.6380090497737556
64,relu,0.3,4,tanh,0.1,0.47572815533980584,0.669683257918552
64,relu,0.3,4,tanh,0.05,0.47018030513176146,0.8099547511312217
64,relu,0.3,4,tanh,0.0,0.4840499306518724,0.6968325791855203
64,relu,0.3,4,sigmoid,0.1,1.0,0.0
64,relu,0.3,4,sigmoid,0.05,0.04576976421636616,0.9819004524886877
64,relu,0.3,4,sigmoid,0.0,0.0,1.0
64,relu,0.2,16,relu,0.1,0.5603328710124826,0.7149321266968326
64,relu,0.2,16,relu,0.05,0.5006934812760055,0.6742081447963801
64,relu,0.2,16,relu,0.0,0.42163661581137307,0.7194570135746606
64,relu,0.2,16,linear,0.1,0.6061026352288488,0.669683257918552
64,relu,0.2,16,linear,0.05,0.6199722607489597,0.6515837104072398
64,relu,0.2,16,linear,0.0,0.5409153952843273,0.6153846153846154
64,relu,0.2,16,tanh,0.1,0.5478502080443828,0.5972850678733032
64,relu,0.2,16,tanh,0.05,0.6726768377253814,0.6334841628959276
64,relu,0.2,16,tanh,0.0,0.6740638002773925,0.6425339366515838
64,relu,0.2,16,sigmoid,0.1,0.09986130374479889,0.9547511312217195
64,relu,0.2,16,sigmoid,0.05,0.0,1.0
64,relu,0.2,16,sigmoid,0.0,0.0,1.0
64,relu,0.2,8,relu,0.1,0.6532593619972261,0.6289592760180995
64,relu,0.2,8,relu,0.05,0.5880721220527045,0.6832579185520362
64,relu,0.2,8,relu,0.0,0.6213592233009708,0.6515837104072398
64,relu,0.2,8,linear,0.1,0.6019417475728155,0.6515837104072398
64,relu,0.2,8,linear,0.05,0.521497919556172,0.7104072398190046
64,relu,0.2,8,linear,0.0,0.5908460471567267,0.6425339366515838
64,relu,0.2,8,tanh,0.1,0.5325936199722607,0.6561085972850679
64,relu,0.2,8,tanh,0.05,0.46601941747572817,0.8009049773755657
64,relu,0.2,8,tanh,0.0,0.6019417475728155,0.6063348416289592
64,relu,0.2,8,sigmoid,0.1,0.0,1.0
64,relu,0.2,8,sigmoid,0.05,0.0,1.0
64,relu,0.2,8,sigmoid,0.0,0.6171983356449375,0.669683257918552
64,relu,0.2,4,relu,0.1,0.6047156726768377,0.7013574660633484
64,relu,0.2,4,relu,0.05,0.29819694868238555,0.7873303167420814
64,relu,0.2,4,relu,0.0,0.6865464632454924,0.6380090497737556
64,relu,0.2,4,linear,0.1,0.6588072122052705,0.6832579185520362
64,relu,0.2,4,linear,0.05,0.5520110957004161,0.6832579185520362
64,relu,0.2,4,linear,0.0,0.7018030513176144,0.6244343891402715
64,relu,0.2,4,tanh,0.1,0.4535367545076283,0.6606334841628959
64,relu,0.2,4,tanh,0.05,0.651872399445215,0.6199095022624435
64,relu,0.2,4,tanh,0.0,0.5728155339805825,0.6742081447963801
64,relu,0.2,4,sigmoid,0.1,0.0,1.0
64,relu,0.2,4,sigmoid,0.05,1.0,0.0
64,relu,0.2,4,sigmoid,0.0,0.0,1.0
64,relu,0.1,16,relu,0.1,0.6380027739251041,0.6380090497737556
64,relu,0.1,16,relu,0.05,0.6019417475728155,0.6334841628959276
64,relu,0.1,16,relu,0.0,0.5478502080443828,0.6199095022624435
64,relu,0.1,16,linear,0.1,0.6324549237170597,0.6923076923076923
64,relu,0.1,16,linear,0.05,0.5020804438280166,0.6380090497737556
64,relu,0.1,16,linear,0.0,0.6269070735090153,0.6606334841628959
64,relu,0.1,16,tanh,0.1,0.7073509015256588,0.6334841628959276
64,relu,0.1,16,tanh,0.05,0.6393897364771152,0.6515837104072398
64,relu,0.1,16,tanh,0.0,0.6615811373092927,0.6787330316742082
64,relu,0.1,16,sigmoid,0.1,0.6213592233009708,0.665158371040724
64,relu,0.1,16,sigmoid,0.05,0.0,1.0
64,relu,0.1,16,sigmoid,0.0,0.0,1.0
64,relu,0.1,8,relu,0.1,0.6546463245492372,0.6334841628959276
64,relu,0.1,8,relu,0.05,0.6879334257975035,0.6289592760180995
64,relu,0.1,8,relu,0.0,0.39667128987517336,0.7013574660633484
64,relu,0.1,8,linear,0.1,0.49791955617198336,0.7149321266968326
64,relu,0.1,8,linear,0.05,0.6532593619972261,0.6334841628959276
64,relu,0.1,8,linear,0.0,0.6282940360610264,0.6153846153846154
64,relu,0.1,8,tanh,0.1,0.6477115117891817,0.665158371040724
64,relu,0.1,8,tanh,0.05,0.565880721220527,0.6923076923076923
64,relu,0.1,8,tanh,0.0,0.6449375866851595,0.6380090497737556
64,relu,0.1,8,sigmoid,0.1,0.0,1.0
64,relu,0.1,8,sigmoid,0.05,0.5880721220527045,0.7239819004524887
64,relu,0.1,8,sigmoid,0.0,0.6504854368932039,0.6425339366515838
64,relu,0.1,4,relu,0.1,0.5104022191400832,0.7647058823529411
64,relu,0.1,4,relu,0.05,0.651872399445215,0.6515837104072398
64,relu,0.1,4,relu,0.0,0.6574202496532594,0.6470588235294118
64,relu,0.1,4,linear,0.1,0.6740638002773925,0.6334841628959276
64,relu,0.1,4,linear,0.05,0.4590846047156727,0.669683257918552
64,relu,0.1,4,linear,0.0,0.46740638002773927,0.6923076923076923
64,relu,0.1,4,tanh,0.1,0.4895977808599168,0.6923076923076923
64,relu,0.1,4,tanh,0.05,0.34535367545076284,0.8506787330316742
64,relu,0.1,4,tanh,0.0,0.6782246879334258,0.6108597285067874
64,relu,0.1,4,sigmoid,0.1,1.0,0.0
64,relu,0.1,4,sigmoid,0.05,0.0,1.0
64,relu,0.1,4,sigmoid,0.0,0.6643550624133149,0.6380090497737556
64,linear,0.3,16,relu,0.1,0.6324549237170597,0.665158371040724
64,linear,0.3,16,relu,0.05,0.6296809986130375,0.6832579185520362
64,linear,0.3,16,relu,0.0,0.5769764216366158,0.669683257918552
64,linear,0.3,16,linear,0.1,0.6130374479889042,0.665158371040724
64,linear,0.3,16,linear,0.05,0.694868238557559,0.6199095022624435
64,linear,0.3,16,linear,0.0,0.6532593619972261,0.6425339366515838
64,linear,0.3,16,tanh,0.1,0.6463245492371706,0.669683257918552
64,linear,0.3,16,tanh,0.05,0.6490984743411928,0.6334841628959276
64,linear,0.3,16,tanh,0.0,0.6726768377253814,0.6380090497737556
64,linear,0.3,16,sigmoid,0.1,0.0,1.0
64,linear,0.3,16,sigmoid,0.05,0.6601941747572816,0.6380090497737556
64,linear,0.3,16,sigmoid,0.0,0.6837725381414702,0.6380090497737556
64,linear,0.3,8,relu,0.1,0.550624133148405,0.7013574660633484
64,linear,0.3,8,relu,0.05,0.624133148404993,0.6832579185520362
64,linear,0.3,8,relu,0.0,0.6851595006934813,0.6334841628959276
64,linear,0.3,8,linear,0.1,0.6490984743411928,0.6425339366515838
64,linear,0.3,8,linear,0.05,0.665742024965326,0.6515837104072398
64,linear,0.3,8,linear,0.0,0.5839112343966713,0.6334841628959276
64,linear,0.3,8,tanh,0.1,0.6407766990291263,0.6380090497737556
64,linear,0.3,8,tanh,0.05,0.651872399445215,0.6561085972850679
64,linear,0.3,8,tanh,0.0,0.6116504854368932,0.6787330316742082
64,linear,0.3,8,sigmoid,0.1,0.6269070735090153,0.6742081447963801
64,linear,0.3,8,sigmoid,0.05,0.0013869625520110957,1.0
64,linear,0.3,8,sigmoid,0.0,0.6740638002773925,0.6515837104072398
