model,threshold,recall_1,precision_1,specificity_0,npv,f1_1,balanced_accuracy,accuracy,tp,fp,tn,fn,auc_pr,auc_roc
LogisticRegression_balanced,0.15,1.0,0.2386609071274298,0.022191400832177532,1.0,0.3853530950305144,0.5110957004160888,0.2515923566878981,221,705,16,0,0.4124006624437929,0.7080851758179
LogisticRegression_balanced,0.2,0.9909502262443439,0.24943052391799544,0.08599167822468794,0.96875,0.39854413102820746,0.5384709522345159,0.29830148619957536,219,659,62,2,0.4124006624437929,0.7080851758179
LogisticRegression_balanced,0.25,0.9638009049773756,0.26296296296296295,0.17198335644937587,0.9393939393939394,0.4131910766246363,0.5678921307133757,0.35774946921443734,213,597,124,8,0.4124006624437929,0.7080851758179
LogisticRegression_balanced,0.3,0.918552036199095,0.27544097693351427,0.2593619972260749,0.9121951219512195,0.42379958246346555,0.5889570167125849,0.4140127388535032,203,534,187,18,0.4124006624437929,0.7080851758179
LogisticRegression_balanced,0.35,0.8597285067873304,0.297339593114241,0.37725381414701803,0.8976897689768977,0.4418604651162791,0.6184911604671742,0.49044585987261147,190,449,272,31,0.4124006624437929,0.7080851758179
LogisticRegression_balanced,0.4,0.7828054298642534,0.3215613382899628,0.49375866851595007,0.8811881188118812,0.45586297760210803,0.6382820491901018,0.5615711252653928,173,365,356,48,0.4124006624437929,0.7080851758179
LogisticRegression_balanced,0.45,0.7058823529411765,0.3436123348017621,0.5866851595006934,0.8668032786885246,0.4622222222222222,0.6462837562209349,0.6146496815286624,156,298,423,65,0.4124006624437929,0.7080851758179
LogisticRegression_balanced,0.5,0.6018099547511312,0.37677053824362605,0.694868238557559,0.8505942275042445,0.4634146341463415,0.6483390966543451,0.673036093418259,133,220,501,88,0.4124006624437929,0.7080851758179
LogisticRegression_balanced,0.55,0.5248868778280543,0.4084507042253521,0.7669902912621359,0.8404255319148937,0.4594059405940594,0.6459385845450951,0.7101910828025477,116,168,553,105,0.4124006624437929,0.7080851758179
LogisticRegression_balanced,0.6,0.45701357466063347,0.4611872146118721,0.8363384188626907,0.8340248962655602,0.4590909090909091,0.6466759967616621,0.7473460721868365,101,118,603,120,0.4124006624437929,0.7080851758179
LogisticRegression_balanced,0.65,0.3574660633484163,0.47305389221556887,0.8779472954230236,0.8167741935483871,0.4072164948453608,0.61770667938572,0.7558386411889597,79,88,633,142,0.4124006624437929,0.7080851758179
LogisticRegression_balanced,0.7,0.23529411764705882,0.49056603773584906,0.9251040221914009,0.7978468899521531,0.3180428134556575,0.5801990699192299,0.7632696390658175,52,54,667,169,0.4124006624437929,0.7080851758179
LogisticRegression_balanced,0.75,0.16289592760180996,0.4864864864864865,0.9472954230235784,0.7868663594470046,0.2440677966101695,0.5550956753126942,0.7632696390658175,36,38,683,185,0.4124006624437929,0.7080851758179
LogisticRegression_balanced,0.8,0.11312217194570136,0.5208333333333334,0.9680998613037448,0.7807606263982103,0.18587360594795538,0.5406110166247231,0.767515923566879,25,23,698,196,0.4124006624437929,0.7080851758179
DecisionTree_balanced,0.15,0.9366515837104072,0.24701670644391407,0.12482662968099861,0.8653846153846154,0.3909348441926346,0.5307391066957029,0.31528662420382164,207,631,90,14,0.3547042077629903,0.6448371731067333
DecisionTree_balanced,0.2,0.9276018099547512,0.24818401937046006,0.13869625520110956,0.8620689655172413,0.39159503342884433,0.5331490325779303,0.3237791932059448,205,621,100,16,0.3547042077629903,0.6448371731067333
DecisionTree_balanced,0.25,0.9276018099547512,0.24818401937046006,0.13869625520110956,0.8620689655172413,0.39159503342884433,0.5331490325779303,0.3237791932059448,205,621,100,16,0.3547042077629903,0.6448371731067333
DecisionTree_balanced,0.3,0.9276018099547512,0.24818401937046006,0.13869625520110956,0.8620689655172413,0.39159503342884433,0.5331490325779303,0.3237791932059448,205,621,100,16,0.3547042077629903,0.6448371731067333
DecisionTree_balanced,0.35,0.746606334841629,0.2773109243697479,0.40360610263522884,0.8386167146974063,0.40441176470588236,0.5751062187384289,0.4840764331210191,165,430,291,56,0.3547042077629903,0.6448371731067333
DecisionTree_balanced,0.4,0.7104072398190046,0.2744755244755245,0.42441054091539526,0.827027027027027,0.39596469104665827,0.5674088903671999,0.49150743099787686,157,415,306,64,0.3547042077629903,0.6448371731067333
DecisionTree_balanced,0.45,0.7104072398190046,0.2744755244755245,0.42441054091539526,0.827027027027027,0.39596469104665827,0.5674088903671999,0.49150743099787686,157,415,306,64,0.3547042077629903,0.6448371731067333
DecisionTree_balanced,0.5,0.5656108597285068,0.352112676056338,0.680998613037448,0.8364565587734242,0.4340277777777778,0.6233047363829773,0.6539278131634819,125,230,491,96,0.3547042077629903,0.6448371731067333
DecisionTree_balanced,0.55,0.5384615384615384,0.35,0.6934812760055479,0.8305647840531561,0.42424242424242425,0.6159714072335432,0.6571125265392781,119,221,500,102,0.3547042077629903,0.6448371731067333
DecisionTree_balanced,0.6,0.3393665158371041,0.45180722891566266,0.8737864077669902,0.8118556701030928,0.3875968992248062,0.6065764618020472,0.7484076433121019,75,91,630,146,0.3547042077629903,0.6448371731067333
DecisionTree_balanced,0.65,0.2986425339366516,0.4489795918367347,0.8876560332871013,0.8050314465408805,0.358695652173913,0.5931492836118765,0.7494692144373672,66,81,640,155,0.3547042077629903,0.6448371731067333
DecisionTree_balanced,0.7,0.2986425339366516,0.4489795918367347,0.8876560332871013,0.8050314465408805,0.358695652173913,0.5931492836118765,0.7494692144373672,66,81,640,155,0.3547042077629903,0.6448371731067333
DecisionTree_balanced,0.75,0.2986425339366516,0.4489795918367347,0.8876560332871013,0.8050314465408805,0.358695652173913,0.5931492836118765,0.7494692144373672,66,81,640,155,0.3547042077629903,0.6448371731067333
DecisionTree_balanced,0.8,0.049773755656108594,0.4074074074074074,0.9778085991678225,0.7704918032786885,0.08870967741935484,0.5137911774119656,0.7600849256900213,11,16,705,210,0.3547042077629903,0.6448371731067333
RandomForest_balanced,0.15,0.9366515837104072,0.26504481434058896,0.20388349514563106,0.9130434782608695,0.41317365269461076,0.5702675394280191,0.37579617834394907,207,574,147,14,0.401869377532684,0.6896718358740062
RandomForest_balanced,0.2,0.8733031674208145,0.2937595129375951,0.3564493758668516,0.9017543859649123,0.4396355353075171,0.6148762716438331,0.47770700636942676,193,464,257,28,0.401869377532684,0.6896718358740062
RandomForest_balanced,0.25,0.7828054298642534,0.3191881918819188,0.4882108183079057,0.88,0.4534731323722149,0.6355081240860796,0.5573248407643312,173,369,352,48,0.401869377532684,0.6896718358740062
RandomForest_balanced,0.3,0.6470588235294118,0.3412887828162291,0.6171983356449375,0.8508604206500956,0.446875,0.6321285795871747,0.6242038216560509,143,276,445,78,0.401869377532684,0.6896718358740062
RandomForest_balanced,0.35,0.5339366515837104,0.37341772151898733,0.7253814147018031,0.8354632587859425,0.43947858472998136,0.6296590331427567,0.6804670912951167,118,198,523,103,0.401869377532684,0.6896718358740062
RandomForest_balanced,0.4,0.39819004524886875,0.4131455399061033,0.826629680998613,0.8175582990397805,0.4055299539170507,0.6124098631237409,0.7261146496815286,88,125,596,133,0.401869377532684,0.6896718358740062
RandomForest_balanced,0.45,0.2669683257918552,0.4068965517241379,0.8807212205270458,0.7967377666248432,0.3224043715846995,0.5738447731594505,0.7367303609341825,59,86,635,162,0.401869377532684,0.6896718358740062
RandomForest_balanced,0.5,0.1583710407239819,0.47297297297297297,0.9459084604715673,0.7857142857142857,0.23728813559322035,0.5521397505977745,0.7611464968152867,35,39,682,186,0.401869377532684,0.6896718358740062
RandomForest_balanced,0.55,0.07239819004524888,0.5161290322580645,0.9791955617198336,0.7749725576289791,0.12698412698412698,0.5257968758825412,0.7664543524416136,16,15,706,205,0.401869377532684,0.6896718358740062
RandomForest_balanced,0.6,0.03619909502262444,0.6666666666666666,0.9944521497919556,0.7709677419354839,0.06866952789699571,0.5153256224072901,0.7696390658174098,8,4,717,213,0.401869377532684,0.6896718358740062
RandomForest_balanced,0.65,0.013574660633484163,0.6,0.9972260748959778,0.767342582710779,0.02654867256637168,0.505400367764731,0.7664543524416136,3,2,719,218,0.401869377532684,0.6896718358740062
RandomForest_balanced,0.7,0.00904977375565611,1.0,1.0,0.7670212765957447,0.017937219730941704,0.504524886877828,0.767515923566879,2,0,721,219,0.401869377532684,0.6896718358740062
RandomForest_balanced,0.75,0.004524886877828055,1.0,1.0,0.7662061636556854,0.009009009009009009,0.502262443438914,0.7664543524416136,1,0,721,220,0.401869377532684,0.6896718358740062
RandomForest_balanced,0.8,0.0,0.0,1.0,0.7653927813163482,0.0,0.5,0.7653927813163482,0,0,721,221,0.401869377532684,0.6896718358740062
GradientBoosting,0.15,0.8099547511312217,0.29248366013071897,0.39944521497919555,0.8727272727272727,0.4297719087635054,0.6046999830552087,0.49575371549893843,179,433,288,42,0.40930510594367936,0.6919248655399427
GradientBoosting,0.2,0.665158371040724,0.33182844243792325,0.5894590846047156,0.8517034068136272,0.4427710843373494,0.6273087278227198,0.6072186836518046,147,296,425,74,0.40930510594367936,0.6919248655399427
GradientBoosting,0.25,0.5746606334841629,0.3895705521472393,0.723994452149792,0.8474025974025974,0.4643510054844607,0.6493275428169774,0.6889596602972399,127,199,522,94,0.40930510594367936,0.6919248655399427
GradientBoosting,0.3,0.43891402714932126,0.42543859649122806,0.8183079056865464,0.8263305322128851,0.43207126948775054,0.6286109664179338,0.7292993630573248,97,131,590,124,0.40930510594367936,0.6919248655399427
GradientBoosting,0.35,0.33031674208144796,0.437125748502994,0.869625520110957,0.8090322580645162,0.37628865979381443,0.5999711310962025,0.7430997876857749,73,94,627,148,0.40930510594367936,0.6919248655399427
GradientBoosting,0.4,0.24434389140271492,0.48214285714285715,0.9195561719833565,0.7987951807228916,0.32432432432432434,0.5819500316930357,0.7611464968152867,54,58,663,167,0.40930510594367936,0.6919248655399427
GradientBoosting,0.45,0.17647058823529413,0.4642857142857143,0.9375866851595007,0.7878787878787878,0.25573770491803277,0.5570286366973974,0.7590233545647559,39,45,676,182,0.40930510594367936,0.6919248655399427
GradientBoosting,0.5,0.13574660633484162,0.46875,0.9528432732316228,0.7824601366742597,0.21052631578947367,0.5442949397832322,0.7611464968152867,30,34,687,191,0.40930510594367936,0.6919248655399427
GradientBoosting,0.55,0.11312217194570136,0.5208333333333334,0.9680998613037448,0.7807606263982103,0.18587360594795538,0.5406110166247231,0.767515923566879,25,23,698,196,0.40930510594367936,0.6919248655399427
