model,threshold,recall_1,precision_1,specificity_0,npv,f1_1,balanced_accuracy,tp,fp,tn,fn,roc_auc,auc_pr
DecisionTree_actual,0.3,0.9112903225806451,0.5415335463258786,0.2486910994764398,0.7421875,0.6793587174348698,0.5799907110285425,339,287,95,33,0.5799907110285425,0.5372608583688875
DecisionTree_actual,0.35,0.9112903225806451,0.5415335463258786,0.2486910994764398,0.7421875,0.6793587174348698,0.5799907110285425,339,287,95,33,0.5799907110285425,0.5372608583688875
DecisionTree_actual,0.4,0.9112903225806451,0.5415335463258786,0.2486910994764398,0.7421875,0.6793587174348698,0.5799907110285425,339,287,95,33,0.5799907110285425,0.5372608583688875
DecisionTree_actual,0.45,0.9112903225806451,0.5415335463258786,0.2486910994764398,0.7421875,0.6793587174348698,0.5799907110285425,339,287,95,33,0.5799907110285425,0.5372608583688875
DecisionTree_actual,0.5,0.9112903225806451,0.5415335463258786,0.2486910994764398,0.7421875,0.6793587174348698,0.5799907110285425,339,287,95,33,0.5799907110285425,0.5372608583688875
LogisticRegression_balanced,0.3,0.9005376344086021,0.5394524959742351,0.2513089005235602,0.7218045112781954,0.67472306143001,0.5759232674660811,335,286,96,37,0.7229916117772899,0.7217474848593899
HistGradientBoosting,0.25,0.9301075268817204,0.5389408099688473,0.225130890052356,0.7678571428571429,0.6824457593688363,0.5776192084670382,346,296,86,26,0.719846028260992,0.7262400280751159
RandomForest_balanced,0.3,0.9086021505376344,0.5382165605095541,0.24083769633507854,0.7301587301587301,0.676,0.5747199234363565,338,290,92,34,0.7175026740978439,0.7216668781255241
GradientBoosting,0.3,0.9327956989247311,0.5346687211093991,0.2094240837696335,0.7619047619047619,0.6797257590597453,0.5711098913471824,347,302,80,25,0.7268338681529021,0.7199167254879597
RandomForest_balanced,0.25,0.9408602150537635,0.5263157894736842,0.17539267015706805,0.7528089887640449,0.6750241080038573,0.5581264426054158,350,315,67,22,0.7175026740978439,0.7216668781255241
HistGradientBoosting,0.2,0.9596774193548387,0.5173913043478261,0.12827225130890052,0.765625,0.672316384180791,0.5439748353318696,357,333,49,15,0.719846028260992,0.7262400280751159
RandomForest_balanced,0.2,0.9596774193548387,0.5129310344827587,0.112565445026178,0.7413793103448276,0.6685393258426966,0.5361214321905083,357,339,43,15,0.7175026740978439,0.7216668781255241
LogisticRegression_balanced,0.25,0.9381720430107527,0.5117302052785924,0.12827225130890052,0.6805555555555556,0.6622390891840607,0.5332221471598266,349,333,49,23,0.7229916117772899,0.7217474848593899
GradientBoosting,0.25,0.967741935483871,0.5056179775280899,0.07853403141361257,0.7142857142857143,0.6642066420664207,0.5231379834487417,360,352,30,12,0.7268338681529021,0.7199167254879597
LogisticRegression_balanced,0.2,0.9704301075268817,0.5006934812760055,0.05759162303664921,0.6666666666666666,0.6605672461116194,0.5140108652817654,361,360,22,11,0.7229916117772899,0.7217474848593899
GradientBoosting,0.2,0.9919354838709677,0.4973045822102426,0.02356020942408377,0.75,0.6624775583482945,0.5077478466475258,369,373,9,3,0.7268338681529021,0.7199167254879597
DecisionTree_actual,0.2,1.0,0.493368700265252,0.0,,0.6607460035523979,0.5,372,382,0,0,0.5799907110285425,0.5372608583688875
DecisionTree_actual,0.25,1.0,0.493368700265252,0.0,,0.6607460035523979,0.5,372,382,0,0,0.5799907110285425,0.5372608583688875
