,VÍCTIMA
2009,0.0
91,1.0
2289,0.0
2549,1.0
1274,1.0
1481,0.0
804,0.0
1008,1.0
1873,1.0
909,1.0
1845,1.0
740,1.0
0,0.0
3066,0.0
3581,0.0
963,0.0
3393,0.0
2921,1.0
3120,0.0
2932,0.0
2825,1.0
689,1.0
2961,1.0
3718,0.0
1199,1.0
429,1.0
2616,1.0
3706,1.0
453,1.0
3128,0.0
3736,1.0
895,1.0
74,1.0
1887,1.0
927,0.0
2512,0.0
1440,1.0
3360,0.0
2227,0.0
3535,1.0
3368,0.0
291,1.0
357,0.0
474,1.0
2160,0.0
2058,1.0
32,0.0
3312,0.0
3001,1.0
1755,0.0
1619,0.0
580,0.0
238,1.0
3514,0.0
1269,1.0
1971,0.0
3510,1.0
1400,0.0
2021,1.0
3382,1.0
818,1.0
2988,1.0
2771,0.0
1980,0.0
2533,0.0
3508,1.0
1233,0.0
1558,0.0
3038,1.0
3176,0.0
1289,1.0
1212,0.0
3635,1.0
624,0.0
627,0.0
550,1.0
540,1.0
1889,1.0
1765,0.0
1538,0.0
147,1.0
1322,1.0
724,0.0
1562,1.0
402,0.0
2910,1.0
3082,1.0
3211,1.0
2665,1.0
3715,0.0
308,1.0
1733,1.0
1170,1.0
3201,1.0
1038,0.0
166,0.0
1087,0.0
1951,1.0
1389,0.0
2580,0.0
3619,0.0
231,0.0
3694,0.0
1301,1.0
3306,1.0
1055,0.0
3073,0.0
2705,0.0
687,0.0
1552,1.0
3525,1.0
676,0.0
3669,1.0
2937,1.0
3612,0.0
3255,1.0
182,0.0
3381,1.0
2412,0.0
2931,0.0
2342,1.0
1363,0.0
2007,1.0
3014,0.0
2262,1.0
3309,1.0
3703,1.0
1259,1.0
1204,1.0
499,1.0
1128,1.0
1361,0.0
2939,0.0
1517,0.0
3549,1.0
3415,0.0
985,0.0
1662,1.0
1408,1.0
749,0.0
1799,0.0
2382,1.0
3419,0.0
1287,1.0
2496,1.0
324,0.0
48,1.0
3110,0.0
442,1.0
517,0.0
397,1.0
1775,0.0
40,0.0
3165,1.0
452,1.0
2086,1.0
3331,1.0
3739,1.0
3227,0.0
2628,1.0
753,0.0
146,0.0
1999,1.0
1232,0.0
3518,0.0
1436,0.0
824,0.0
1080,1.0
3729,0.0
1602,1.0
928,1.0
1617,1.0
3519,0.0
1837,1.0
2542,0.0
3636,0.0
2189,1.0
2236,0.0
669,1.0
2891,1.0
2425,0.0
2859,1.0
3523,0.0
2846,0.0
202,0.0
194,1.0
2045,1.0
3051,1.0
2215,0.0
1010,1.0
362,1.0
2284,0.0
967,0.0
183,0.0
1189,1.0
1334,0.0
3473,1.0
666,1.0
1628,1.0
3513,0.0
3550,1.0
2359,1.0
2238,0.0
382,1.0
1946,0.0
2256,1.0
2756,0.0
337,0.0
3517,1.0
3599,0.0
1390,1.0
1700,1.0
3643,1.0
1065,1.0
2387,0.0
3422,1.0
3108,1.0
2963,0.0
3483,0.0
680,0.0
388,1.0
328,0.0
640,0.0
142,0.0
25,1.0
1723,0.0
2929,1.0
1614,1.0
2836,0.0
2564,0.0
815,0.0
67,0.0
1292,1.0
2233,0.0
1645,1.0
3061,1.0
3543,1.0
3397,0.0
542,1.0
1493,0.0
1907,0.0
1584,1.0
2666,0.0
2177,1.0
1308,1.0
1791,1.0
2778,1.0
2732,1.0
674,1.0
478,0.0
971,1.0
3481,1.0
1180,0.0
2028,0.0
2476,0.0
2655,0.0
2722,1.0
1163,1.0
3401,0.0
1696,1.0
3686,0.0
389,0.0
1341,1.0
2308,0.0
960,1.0
2577,0.0
2145,1.0
2586,0.0
3383,1.0
661,0.0
1497,1.0
1699,0.0
776,0.0
3675,0.0
2497,0.0
3603,0.0
2903,1.0
1367,0.0
2154,0.0
2048,0.0
1779,1.0
1757,0.0
2133,1.0
2148,0.0
733,1.0
737,1.0
736,1.0
1714,1.0
2741,0.0
2087,1.0
1318,0.0
1633,0.0
2517,0.0
875,0.0
2821,1.0
2089,0.0
1399,0.0
1808,0.0
1503,0.0
771,0.0
2965,0.0
177,0.0
2207,1.0
1218,1.0
3475,0.0
1689,0.0
3610,1.0
3065,1.0
2061,0.0
918,1.0
3405,0.0
1069,0.0
2376,0.0
1132,0.0
629,0.0
2020,1.0
3533,1.0
208,1.0
2173,1.0
3220,1.0
2124,0.0
1593,1.0
3634,0.0
1175,1.0
3081,1.0
2315,0.0
242,1.0
1186,0.0
603,1.0
2584,0.0
3585,1.0
970,1.0
2266,1.0
834,0.0
1028,1.0
2165,1.0
2521,0.0
2110,0.0
1589,0.0
2951,0.0
2024,1.0
3274,1.0
3621,1.0
3012,0.0
1964,0.0
113,1.0
1629,0.0
1196,1.0
3414,1.0
2892,1.0
2755,0.0
2258,0.0
2806,0.0
1771,1.0
2263,1.0
1295,1.0
5,0.0
3575,1.0
3386,1.0
1849,1.0
3084,1.0
3175,0.0
808,1.0
1766,0.0
2950,1.0
3642,1.0
1046,0.0
2147,0.0
2209,1.0
2195,0.0
2585,1.0
2218,0.0
854,1.0
2601,0.0
2847,0.0
1549,0.0
1379,1.0
3613,1.0
2067,0.0
672,0.0
3161,1.0
2543,0.0
962,1.0
3067,0.0
2909,1.0
612,0.0
1238,0.0
2200,0.0
648,1.0
3224,0.0
365,1.0
1500,0.0
2897,1.0
3299,0.0
2863,1.0
3231,0.0
1527,1.0
1070,1.0
1283,1.0
1806,1.0
3626,0.0
1561,0.0
