u1,a1,d1,u2,a2,d2,recall_0,recall_1
64,relu,0.3,16,relu,0.1,0.5922330097087378,0.6877828054298643
64,relu,0.3,16,relu,0.05,0.550624133148405,0.6923076923076923
64,relu,0.3,16,relu,0.0,0.3883495145631068,0.7601809954751131
64,relu,0.3,16,linear,0.1,0.6435506241331485,0.6380090497737556
64,relu,0.3,16,linear,0.05,0.6629680998613038,0.6244343891402715
64,relu,0.3,16,linear,0.0,0.5575589459084604,0.6877828054298643
64,relu,0.3,16,tanh,0.1,0.636615811373093,0.6515837104072398
64,relu,0.3,16,tanh,0.05,0.5520110957004161,0.6018099547511312
64,relu,0.3,16,tanh,0.0,0.44660194174757284,0.6515837104072398
64,relu,0.3,16,sigmoid,0.1,0.0027739251040221915,1.0
64,relu,0.3,16,sigmoid,0.05,0.5339805825242718,0.6832579185520362
64,relu,0.3,16,sigmoid,0.0,0.5492371705963939,0.7239819004524887
64,relu,0.3,8,relu,0.1,0.47295423023578365,0.755656108597285
64,relu,0.3,8,relu,0.05,0.6380027739251041,0.6561085972850679
64,relu,0.3,8,relu,0.0,0.6158113730929264,0.6742081447963801
64,relu,0.3,8,linear,0.1,0.5880721220527045,0.6380090497737556
64,relu,0.3,8,linear,0.05,0.6712898751733704,0.6108597285067874
64,relu,0.3,8,linear,0.0,0.636615811373093,0.6063348416289592
64,relu,0.3,8,tanh,0.1,0.6768377253814147,0.6425339366515838
64,relu,0.3,8,tanh,0.05,0.6019417475728155,0.583710407239819
64,relu,0.3,8,tanh,0.0,0.651872399445215,0.6515837104072398
64,relu,0.3,8,sigmoid,0.1,0.6269070735090153,0.665158371040724
64,relu,0.3,8,sigmoid,0.05,0.0,1.0
64,relu,0.3,8,sigmoid,0.0,0.6421636615811374,0.6515837104072398
64,relu,0.3,4,relu,0.1,0.6560332871012483,0.6425339366515838
64,relu,0.3,4,relu,0.05,0.5644937586685159,0.5520361990950227
64,relu,0.3,4,relu,0.0,0.6296809986130375,0.665158371040724
64,relu,0.3,4,linear,0.1,0.6435506241331485,0.6425339366515838
64,relu,0.3,4,linear,0.05,0.6546463245492372,0.6199095022624435
64,relu,0.3,4,linear,0.0,0.579750346740638,0.5701357466063348
64,relu,0.3,4,tanh,0.1,0.6560332871012483,0.6606334841628959
64,relu,0.3,4,tanh,0.05,0.550624133148405,0.7104072398190046
64,relu,0.3,4,tanh,0.0,0.624133148404993,0.6289592760180995
64,relu,0.3,4,sigmoid,0.1,0.6352288488210819,0.6787330316742082
64,relu,0.3,4,sigmoid,0.05,0.2510402219140083,0.8190045248868778
64,relu,0.3,4,sigmoid,0.0,1.0,0.0
64,relu,0.2,16,relu,0.1,0.43828016643550627,0.6877828054298643
64,relu,0.2,16,relu,0.05,0.5381414701803051,0.6832579185520362
64,relu,0.2,16,relu,0.0,0.624133148404993,0.7013574660633484
64,relu,0.2,16,linear,0.1,0.5145631067961165,0.669683257918552
64,relu,0.2,16,linear,0.05,0.536754507628294,0.6832579185520362
64,relu,0.2,16,linear,0.0,0.6185852981969486,0.6515837104072398
64,relu,0.2,16,tanh,0.1,0.4618585298196949,0.6923076923076923
64,relu,0.2,16,tanh,0.05,0.5728155339805825,0.665158371040724
64,relu,0.2,16,tanh,0.0,0.6893203883495146,0.4660633484162896
64,relu,0.2,16,sigmoid,0.1,0.6102635228848821,0.6606334841628959
64,relu,0.2,16,sigmoid,0.05,0.6130374479889042,0.669683257918552
64,relu,0.2,16,sigmoid,0.0,0.6130374479889042,0.669683257918552
64,relu,0.2,8,relu,0.1,0.47434119278779474,0.6877828054298643
64,relu,0.2,8,relu,0.05,0.32038834951456313,0.8190045248868778
64,relu,0.2,8,relu,0.0,0.6449375866851595,0.6289592760180995
64,relu,0.2,8,linear,0.1,0.6740638002773925,0.6425339366515838
64,relu,0.2,8,linear,0.05,0.5728155339805825,0.6515837104072398
64,relu,0.2,8,linear,0.0,0.536754507628294,0.6380090497737556
64,relu,0.2,8,tanh,0.1,0.44660194174757284,0.7194570135746606
64,relu,0.2,8,tanh,0.05,0.6671289875173371,0.6470588235294118
64,relu,0.2,8,tanh,0.0,0.565880721220527,0.5746606334841629
64,relu,0.2,8,sigmoid,0.1,0.0,1.0
64,relu,0.2,8,sigmoid,0.05,0.09015256588072122,0.9230769230769231
64,relu,0.2,8,sigmoid,0.0,0.04854368932038835,0.9864253393665159
64,relu,0.2,4,relu,0.1,0.6227461858529819,0.6289592760180995
64,relu,0.2,4,relu,0.05,0.478502080443828,0.7375565610859729
64,relu,0.2,4,relu,0.0,0.3245492371705964,0.7873303167420814
64,relu,0.2,4,linear,0.1,0.6699029126213593,0.6470588235294118
64,relu,0.2,4,linear,0.05,0.4368932038834951,0.751131221719457
64,relu,0.2,4,linear,0.0,0.42163661581137307,0.8054298642533937
64,relu,0.2,4,tanh,0.1,0.4812760055478502,0.7737556561085973
64,relu,0.2,4,tanh,0.05,0.5492371705963939,0.6968325791855203
64,relu,0.2,4,tanh,0.0,0.6546463245492372,0.669683257918552
64,relu,0.2,4,sigmoid,0.1,0.6879334257975035,0.6470588235294118
64,relu,0.2,4,sigmoid,0.05,0.6324549237170597,0.6742081447963801
64,relu,0.2,4,sigmoid,0.0,0.6213592233009708,0.6832579185520362
64,relu,0.1,16,relu,0.1,0.6324549237170597,0.6787330316742082
64,relu,0.1,16,relu,0.05,0.6712898751733704,0.6425339366515838
64,relu,0.1,16,relu,0.0,0.5922330097087378,0.6606334841628959
64,relu,0.1,16,linear,0.1,0.5048543689320388,0.6968325791855203
64,relu,0.1,16,linear,0.05,0.6171983356449375,0.6606334841628959
64,relu,0.1,16,linear,0.0,0.5894590846047156,0.7013574660633484
64,relu,0.1,16,tanh,0.1,0.608876560332871,0.6742081447963801
64,relu,0.1,16,tanh,0.05,0.636615811373093,0.497737556561086
64,relu,0.1,16,tanh,0.0,0.6435506241331485,0.669683257918552
64,relu,0.1,16,sigmoid,0.1,0.0319001386962552,0.9864253393665159
