file,count_minus_one,num_categories,silhouette
comb_100_results.csv,0,9,0.433
comb_101_results.csv,0,10,0.502
comb_102_results.csv,552,4,0.677
comb_103_results.csv,192,5,0.657
comb_104_results.csv,0,6,0.687
comb_105_results.csv,0,10,0.529
comb_106_results.csv,0,9,0.378
comb_107_results.csv,0,11,0.575
comb_108_results.csv,0,13,0.691
comb_109_results.csv,247,5,0.629
comb_10_results.csv,123,20,0.631
comb_110_results.csv,0,2,0.528
comb_111_results.csv,0,7,0.343
comb_112_results.csv,0,9,0.578
comb_113_results.csv,0,11,0.641
comb_114_results.csv,520,4,0.645
comb_115_results.csv,0,2,0.587
comb_116_results.csv,0,8,0.555
comb_117_results.csv,0,9,0.505
comb_118_results.csv,0,11,0.628
comb_119_results.csv,150,9,0.603
comb_11_results.csv,175,19,0.605
comb_120_results.csv,0,8,0.538
comb_121_results.csv,58,8,0.616
comb_122_results.csv,0,11,0.597
comb_123_results.csv,179,9,0.672
comb_124_results.csv,166,4,0.553
comb_125_results.csv,0,6,0.518
comb_126_results.csv,18,8,0.551
comb_127_results.csv,552,4,0.611
comb_128_results.csv,351,7,0.53
comb_129_results.csv,83,6,0.468
comb_12_results.csv,604,4,0.502
comb_130_results.csv,0,5,0.663
comb_131_results.csv,0,7,0.796
comb_132_results.csv,2,9,0.78
comb_133_results.csv,16,13,0.768
comb_134_results.csv,109,9,0.55
comb_135_results.csv,191,5,0.437
comb_136_results.csv,0,5,0.651
comb_137_results.csv,0,7,0.781
comb_138_results.csv,20,8,0.762
comb_139_results.csv,78,8,0.738
comb_13_results.csv,65,13,0.547
comb_140_results.csv,107,9,0.498
comb_141_results.csv,88,6,0.536
comb_142_results.csv,214,5,0.758
comb_143_results.csv,0,7,0.778
comb_144_results.csv,0,8,0.724
comb_145_results.csv,0,11,0.553
comb_146_results.csv,0,12,0.652
comb_147_results.csv,0,2,0.739
comb_148_results.csv,20,7,0.701
comb_149_results.csv,27,8,0.775
comb_14_results.csv,179,7,0.558
comb_150_results.csv,117,8,0.654
comb_151_results.csv,1,12,0.737
comb_152_results.csv,5,8,0.681
comb_153_results.csv,6,9,0.515
comb_154_results.csv,3,11,0.643
comb_155_results.csv,176,8,0.614
comb_156_results.csv,2,8,0.56
comb_157_results.csv,85,6,0.499
comb_158_results.csv,17,18,0.483
comb_159_results.csv,0,11,0.703
comb_15_results.csv,26,26,0.88
comb_160_results.csv,308,7,0.865
comb_16_results.csv,26,28,0.845
comb_17_results.csv,33,31,0.822
comb_18_results.csv,84,13,0.645
comb_19_results.csv,77,14,0.691
comb_1_results.csv,179,7,0.805
comb_20_results.csv,89,16,0.833
comb_21_results.csv,503,6,0.848
comb_22_results.csv,26,30,0.791
comb_23_results.csv,71,12,0.691
comb_24_results.csv,469,6,0.676
comb_25_results.csv,480,6,0.83
comb_26_results.csv,118,7,0.855
comb_27_results.csv,78,12,0.85
comb_28_results.csv,295,14,0.834
comb_29_results.csv,311,14,0.645
comb_2_results.csv,71,13,0.742
comb_30_results.csv,141,6,0.841
comb_31_results.csv,620,4,0.812
comb_32_results.csv,483,6,0.781
comb_33_results.csv,13,13,0.628
comb_34_results.csv,13,12,0.805
comb_35_results.csv,32,18,0.814
comb_36_results.csv,37,19,0.831
comb_37_results.csv,13,12,0.695
comb_38_results.csv,606,4,0.65
comb_39_results.csv,301,4,0.775
comb_3_results.csv,96,18,0.78
comb_40_results.csv,13,13,0.654
comb_41_results.csv,24,18,0.562
comb_42_results.csv,24,19,0.902
comb_43_results.csv,158,10,0.924
comb_44_results.csv,3548,5,0.911
comb_45_results.csv,159,4,0.909
comb_46_results.csv,13,12,0.86
comb_47_results.csv,32,18,0.734
