,PC,explained variance,cumulative variance
0,PC1,0.21975062943063695,0.21975062943063695
1,PC2,0.11029573900859287,0.3300463684392298
2,PC3,0.09030825146177957,0.42035461990100936
3,PC4,0.08422073379946346,0.5045753537004728
4,PC5,0.06788899140179058,0.5724643451022634
5,PC6,0.05755337131198027,0.6300177164142436
6,PC7,0.048608616409790494,0.6786263328240342
7,PC8,0.04020041119134256,0.7188267440153767
8,PC9,0.03368861970982063,0.7525153637251973
9,PC10,0.031955840770781695,0.7844712044959791
10,PC11,0.02885888695927392,0.813330091455253
11,PC12,0.024833155856898145,0.8381632473121512
12,PC13,0.022687503253402477,0.8608507505655537
13,PC14,0.021264932617408288,0.882115683182962
14,PC15,0.019990958137916896,0.9021066413208788
15,PC16,0.017608437824976477,0.9197150791458553
16,PC17,0.016460607270118277,0.9361756864159736
17,PC18,0.014162827685342294,0.9503385141013159
18,PC19,0.013468316643875888,0.9638068307451918
19,PC20,0.009734179192723845,0.9735410099379156
20,PC21,0.009378518903222412,0.982919528841138
21,PC22,0.00789077693039039,0.9908103057715284
22,PC23,0.0065332725812503765,0.9973435783527788
23,PC24,0.0015892256303145307,0.9989328039830933
24,PC25,0.001067196016906829,1.0
25,PC26,2.111601178434139e-18,1.0
26,PC27,0.0,1.0
