PC,explained variance,cumulative variance
PC1,0.21914320194219417,0.21914320194219417
PC2,0.10958742302074284,0.32873062496293703
PC3,0.09202721179118634,0.42075783675412337
PC4,0.08542071941405278,0.5061785561681762
PC5,0.06806914469442278,0.574247700862599
PC6,0.058407858433246786,0.6326555592958458
PC7,0.04868753210760541,0.6813430914034513
PC8,0.04063217492933115,0.7219752663327824
PC9,0.03325518989399547,0.7552304562267779
PC10,0.031094762106588025,0.7863252183333659
PC11,0.027858117493100115,0.814183335826466
PC12,0.024786379635617486,0.8389697154620834
PC13,0.022992863066961765,0.8619625785290452
PC14,0.02061823274343757,0.8825808112724828
PC15,0.01977660757373246,0.9023574188462152
PC16,0.017483187190234138,0.9198406060364493
PC17,0.016626057151770762,0.9364666631882201
PC18,0.013985593370841303,0.9504522565590614
PC19,0.013404569690904814,0.9638568262499663
PC20,0.00978984106513018,0.9736466673150964
PC21,0.009250447119773063,0.9828971144348695
PC22,0.007980374474601568,0.990877488909471
PC23,0.006436415786986201,0.9973139046964572
PC24,0.001626895888332348,0.9989408005847895
PC25,0.0010591994152073323,0.9999999999999969
PC26,3.1427273673157207e-15,1.0
PC27,3.3837534737849026e-19,1.0
