u1,a1,d1,u2,a2,d2,recall_0,recall_1
64,relu,0.3,16,relu,0.1,0.565880721220527,0.6742081447963801
64,relu,0.3,16,relu,0.05,0.36754507628294036,0.7647058823529411
64,relu,0.3,16,relu,0.0,0.3356449375866852,0.7330316742081447
64,relu,0.3,16,linear,0.1,0.6671289875173371,0.6153846153846154
64,relu,0.3,16,linear,0.05,0.5561719833564494,0.7285067873303167
64,relu,0.3,16,linear,0.0,0.5644937586685159,0.7058823529411765
64,relu,0.3,16,tanh,0.1,0.6643550624133149,0.6606334841628959
64,relu,0.3,16,tanh,0.05,0.6615811373092927,0.665158371040724
64,relu,0.3,16,tanh,0.0,0.49514563106796117,0.6199095022624435
64,relu,0.3,16,sigmoid,0.1,0.6310679611650486,0.6561085972850679
64,relu,0.3,16,sigmoid,0.05,0.6130374479889042,0.6968325791855203
64,relu,0.3,16,sigmoid,0.0,0.5839112343966713,0.6832579185520362
64,relu,0.3,8,relu,0.1,0.5325936199722607,0.7375565610859729
64,relu,0.3,8,relu,0.05,0.6310679611650486,0.665158371040724
64,relu,0.3,8,relu,0.0,0.5020804438280166,0.6425339366515838
64,relu,0.3,8,linear,0.1,0.5686546463245492,0.6561085972850679
64,relu,0.3,8,linear,0.05,0.6477115117891817,0.6606334841628959
64,relu,0.3,8,linear,0.0,0.5936199722607489,0.7104072398190046
64,relu,0.3,8,tanh,0.1,0.6449375866851595,0.6561085972850679
64,relu,0.3,8,tanh,0.05,0.6449375866851595,0.665158371040724
64,relu,0.3,8,tanh,0.0,0.6033287101248266,0.665158371040724
64,relu,0.3,8,sigmoid,0.1,0.015256588072122053,0.9864253393665159
64,relu,0.3,8,sigmoid,0.05,0.0,1.0
64,relu,0.3,8,sigmoid,0.0,0.651872399445215,0.6515837104072398
64,relu,0.3,4,relu,0.1,0.07905686546463246,0.9683257918552036
64,relu,0.3,4,relu,0.05,0.40499306518723993,0.7828054298642534
64,relu,0.3,4,relu,0.0,0.5201109570041609,0.7285067873303167
64,relu,0.3,4,linear,0.1,0.6324549237170597,0.6742081447963801
64,relu,0.3,4,linear,0.05,0.624133148404993,0.6334841628959276
64,relu,0.3,4,linear,0.0,0.665742024965326,0.6199095022624435
64,relu,0.3,4,tanh,0.1,0.3536754507628294,0.7873303167420814
64,relu,0.3,4,tanh,0.05,0.6255201109570042,0.6606334841628959
64,relu,0.3,4,tanh,0.0,0.6116504854368932,0.6199095022624435
64,relu,0.3,4,sigmoid,0.1,0.0,1.0
64,relu,0.3,4,sigmoid,0.05,0.0,1.0
64,relu,0.3,4,sigmoid,0.0,0.5006934812760055,0.755656108597285
64,relu,0.2,16,relu,0.1,0.5547850208044383,0.6515837104072398
64,relu,0.2,16,relu,0.05,0.5228848821081831,0.7239819004524887
64,relu,0.2,16,relu,0.0,0.435506241331484,0.7737556561085973
64,relu,0.2,16,linear,0.1,0.47295423023578365,0.7285067873303167
64,relu,0.2,16,linear,0.05,0.5617198335644937,0.669683257918552
64,relu,0.2,16,linear,0.0,0.44105409153952846,0.7420814479638009
64,relu,0.2,16,tanh,0.1,0.6227461858529819,0.6244343891402715
64,relu,0.2,16,tanh,0.05,0.5769764216366158,0.6968325791855203
64,relu,0.2,16,tanh,0.0,0.5298196948682385,0.6380090497737556
64,relu,0.2,16,sigmoid,0.1,0.6380027739251041,0.6470588235294118
64,relu,0.2,16,sigmoid,0.05,0.6407766990291263,0.665158371040724
64,relu,0.2,16,sigmoid,0.0,0.0,1.0
64,relu,0.2,8,relu,0.1,0.34674063800277394,0.8099547511312217
64,relu,0.2,8,relu,0.05,0.6047156726768377,0.6515837104072398
64,relu,0.2,8,relu,0.0,0.4119278779472954,0.7782805429864253
64,relu,0.2,8,linear,0.1,0.5839112343966713,0.5972850678733032
64,relu,0.2,8,linear,0.05,0.4646324549237171,0.7194570135746606
64,relu,0.2,8,linear,0.0,0.4507628294036061,0.6877828054298643
64,relu,0.2,8,tanh,0.1,0.6588072122052705,0.6289592760180995
64,relu,0.2,8,tanh,0.05,0.5464632454923717,0.6787330316742082
64,relu,0.2,8,tanh,0.0,0.6380027739251041,0.6606334841628959
64,relu,0.2,8,sigmoid,0.1,0.30235783633841884,0.8235294117647058
64,relu,0.2,8,sigmoid,0.05,0.6352288488210819,0.6515837104072398
64,relu,0.2,8,sigmoid,0.0,0.6421636615811374,0.6832579185520362
64,relu,0.2,4,relu,0.1,0.10402219140083217,0.9004524886877828
64,relu,0.2,4,relu,0.05,0.6199722607489597,0.6606334841628959
64,relu,0.2,4,relu,0.0,0.4840499306518724,0.6787330316742082
64,relu,0.2,4,linear,0.1,0.5436893203883495,0.6561085972850679
64,relu,0.2,4,linear,0.05,0.37309292649098474,0.7963800904977375
64,relu,0.2,4,linear,0.0,0.6477115117891817,0.669683257918552
64,relu,0.2,4,tanh,0.1,0.6754507628294036,0.6244343891402715
64,relu,0.2,4,tanh,0.05,0.5811373092926491,0.6742081447963801
64,relu,0.2,4,tanh,0.0,0.4590846047156727,0.6832579185520362
64,relu,0.2,4,sigmoid,0.1,0.0,1.0
64,relu,0.2,4,sigmoid,0.05,0.10263522884882108,0.9502262443438914
64,relu,0.2,4,sigmoid,0.0,0.0,1.0
64,relu,0.1,16,relu,0.1,0.6504854368932039,0.6606334841628959
64,relu,0.1,16,relu,0.05,0.4091539528432732,0.751131221719457
64,relu,0.1,16,relu,0.0,0.5728155339805825,0.7104072398190046
64,relu,0.1,16,linear,0.1,0.6546463245492372,0.6289592760180995
64,relu,0.1,16,linear,0.05,0.6976421636615812,0.6108597285067874
64,relu,0.1,16,linear,0.0,0.6823855755894591,0.5746606334841629
64,relu,0.1,16,tanh,0.1,0.5561719833564494,0.7375565610859729
64,relu,0.1,16,tanh,0.05,0.6574202496532594,0.6425339366515838
64,relu,0.1,16,tanh,0.0,0.5464632454923717,0.755656108597285
64,relu,0.1,16,sigmoid,0.1,0.0027739251040221915,1.0
64,relu,0.1,16,sigmoid,0.05,0.004160887656033287,1.0
64,relu,0.1,16,sigmoid,0.0,0.42995839112343964,0.7330316742081447
64,relu,0.1,8,relu,0.1,0.6033287101248266,0.7058823529411765
64,relu,0.1,8,relu,0.05,0.5533980582524272,0.6742081447963801
64,relu,0.1,8,relu,0.0,0.5866851595006934,0.6742081447963801
64,relu,0.1,8,linear,0.1,0.5894590846047156,0.665158371040724
64,relu,0.1,8,linear,0.05,0.6449375866851595,0.6561085972850679
64,relu,0.1,8,linear,0.0,0.5644937586685159,0.7013574660633484
64,relu,0.1,8,tanh,0.1,0.6407766990291263,0.6606334841628959
64,relu,0.1,8,tanh,0.05,0.6185852981969486,0.6425339366515838
64,relu,0.1,8,tanh,0.0,0.42718446601941745,0.6968325791855203
64,relu,0.1,8,sigmoid,0.1,0.6560332871012483,0.6515837104072398
64,relu,0.1,8,sigmoid,0.05,0.0,1.0
64,relu,0.1,8,sigmoid,0.0,0.6255201109570042,0.6334841628959276
64,relu,0.1,4,relu,0.1,0.3633841886269071,0.8597285067873304
64,relu,0.1,4,relu,0.05,0.6477115117891817,0.6515837104072398
64,relu,0.1,4,relu,0.0,0.6144244105409153,0.6561085972850679
64,relu,0.1,4,linear,0.1,0.49514563106796117,0.6334841628959276
64,relu,0.1,4,linear,0.05,0.5700416088765603,0.6606334841628959
64,relu,0.1,4,linear,0.0,0.6435506241331485,0.6515837104072398
64,relu,0.1,4,tanh,0.1,0.44798890429958393,0.7601809954751131
64,relu,0.1,4,tanh,0.05,0.6796116504854369,0.6515837104072398
64,relu,0.1,4,tanh,0.0,0.5145631067961165,0.6742081447963801
64,relu,0.1,4,sigmoid,0.1,0.6380027739251041,0.6606334841628959
64,relu,0.1,4,sigmoid,0.05,0.0,1.0
64,relu,0.1,4,sigmoid,0.0,0.6615811373092927,0.6425339366515838
64,linear,0.3,16,relu,0.1,0.5187239944521498,0.6108597285067874
64,linear,0.3,16,relu,0.05,0.5700416088765603,0.6561085972850679
64,linear,0.3,16,relu,0.0,0.5589459084604715,0.5746606334841629
64,linear,0.3,16,linear,0.1,0.680998613037448,0.6334841628959276
64,linear,0.3,16,linear,0.05,0.6671289875173371,0.6425339366515838
64,linear,0.3,16,linear,0.0,0.6726768377253814,0.6515837104072398
64,linear,0.3,16,tanh,0.1,0.6352288488210819,0.6515837104072398
64,linear,0.3,16,tanh,0.05,0.6740638002773925,0.6425339366515838
64,linear,0.3,16,tanh,0.0,0.6726768377253814,0.6380090497737556
64,linear,0.3,16,sigmoid,0.1,0.6726768377253814,0.6561085972850679
64,linear,0.3,16,sigmoid,0.05,0.6477115117891817,0.665158371040724
64,linear,0.3,16,sigmoid,0.0,0.6643550624133149,0.6425339366515838
64,linear,0.3,8,relu,0.1,0.6796116504854369,0.665158371040724
64,linear,0.3,8,relu,0.05,0.5977808599167822,0.6470588235294118
64,linear,0.3,8,relu,0.0,0.6643550624133149,0.6334841628959276
64,linear,0.3,8,linear,0.1,0.6629680998613038,0.6425339366515838
64,linear,0.3,8,linear,0.05,0.6574202496532594,0.6515837104072398
64,linear,0.3,8,linear,0.0,0.6754507628294036,0.6380090497737556
64,linear,0.3,8,tanh,0.1,0.6435506241331485,0.6515837104072398
64,linear,0.3,8,tanh,0.05,0.6893203883495146,0.6289592760180995
64,linear,0.3,8,tanh,0.0,0.6560332871012483,0.669683257918552
64,linear,0.3,8,sigmoid,0.1,0.6477115117891817,0.6380090497737556
64,linear,0.3,8,sigmoid,0.05,0.6144244105409153,0.6606334841628959
64,linear,0.3,8,sigmoid,0.0,0.6213592233009708,0.6742081447963801
64,linear,0.3,4,relu,0.1,0.5159500693481276,0.7194570135746606
64,linear,0.3,4,relu,0.05,0.4798890429958391,0.751131221719457
64,linear,0.3,4,relu,0.0,0.6213592233009708,0.7013574660633484
64,linear,0.3,4,linear,0.1,0.6310679611650486,0.669683257918552
64,linear,0.3,4,linear,0.05,0.6601941747572816,0.6515837104072398
64,linear,0.3,4,linear,0.0,0.6380027739251041,0.6380090497737556
64,linear,0.3,4,tanh,0.1,0.6380027739251041,0.669683257918552
64,linear,0.3,4,tanh,0.05,0.6726768377253814,0.6470588235294118
64,linear,0.3,4,tanh,0.0,0.6712898751733704,0.6470588235294118
64,linear,0.3,4,sigmoid,0.1,0.694868238557559,0.6199095022624435
64,linear,0.3,4,sigmoid,0.05,0.6407766990291263,0.6561085972850679
64,linear,0.3,4,sigmoid,0.0,0.6269070735090153,0.6606334841628959
64,linear,0.2,16,relu,0.1,0.6629680998613038,0.6425339366515838
64,linear,0.2,16,relu,0.05,0.5991678224687933,0.665158371040724
64,linear,0.2,16,relu,0.0,0.6699029126213593,0.6470588235294118
64,linear,0.2,16,linear,0.1,0.624133148404993,0.6923076923076923
64,linear,0.2,16,linear,0.05,0.6033287101248266,0.669683257918552
64,linear,0.2,16,linear,0.0,0.6532593619972261,0.6334841628959276
64,linear,0.2,16,tanh,0.1,0.6740638002773925,0.6425339366515838
64,linear,0.2,16,tanh,0.05,0.6324549237170597,0.669683257918552
64,linear,0.2,16,tanh,0.0,0.6601941747572816,0.6425339366515838
64,linear,0.2,16,sigmoid,0.1,0.6338418862690708,0.6832579185520362
64,linear,0.2,16,sigmoid,0.05,0.6685159500693482,0.6425339366515838
64,linear,0.2,16,sigmoid,0.0,0.6768377253814147,0.6334841628959276
64,linear,0.2,8,relu,0.1,0.6296809986130375,0.669683257918552
64,linear,0.2,8,relu,0.05,0.42857142857142855,0.7239819004524887
64,linear,0.2,8,relu,0.0,0.5145631067961165,0.6742081447963801
64,linear,0.2,8,linear,0.1,0.6463245492371706,0.6606334841628959
64,linear,0.2,8,linear,0.05,0.6740638002773925,0.6153846153846154
64,linear,0.2,8,linear,0.0,0.6574202496532594,0.6561085972850679
64,linear,0.2,8,tanh,0.1,0.6546463245492372,0.6153846153846154
64,linear,0.2,8,tanh,0.05,0.6823855755894591,0.6289592760180995
64,linear,0.2,8,tanh,0.0,0.6560332871012483,0.6470588235294118
64,linear,0.2,8,sigmoid,0.1,0.6005547850208044,0.6877828054298643
64,linear,0.2,8,sigmoid,0.05,0.0,1.0
64,linear,0.2,8,sigmoid,0.0,0.6768377253814147,0.6289592760180995
64,linear,0.2,4,relu,0.1,0.5284327323162274,0.746606334841629
64,linear,0.2,4,relu,0.05,0.5062413314840499,0.6334841628959276
64,linear,0.2,4,relu,0.0,0.5381414701803051,0.7285067873303167
64,linear,0.2,4,linear,0.1,0.6823855755894591,0.6199095022624435
64,linear,0.2,4,linear,0.05,0.6754507628294036,0.6289592760180995
64,linear,0.2,4,linear,0.0,0.6352288488210819,0.665158371040724
64,linear,0.2,4,tanh,0.1,0.6699029126213593,0.6334841628959276
64,linear,0.2,4,tanh,0.05,0.6380027739251041,0.6561085972850679
64,linear,0.2,4,tanh,0.0,0.651872399445215,0.6425339366515838
64,linear,0.2,4,sigmoid,0.1,0.6185852981969486,0.6787330316742082
64,linear,0.2,4,sigmoid,0.05,0.0,1.0
64,linear,0.2,4,sigmoid,0.0,0.0,1.0
64,linear,0.1,16,relu,0.1,0.6199722607489597,0.6606334841628959
64,linear,0.1,16,relu,0.05,0.6615811373092927,0.6334841628959276
64,linear,0.1,16,relu,0.0,0.608876560332871,0.665158371040724
64,linear,0.1,16,linear,0.1,0.651872399445215,0.6561085972850679
64,linear,0.1,16,linear,0.05,0.6976421636615812,0.6244343891402715
64,linear,0.1,16,linear,0.0,0.6005547850208044,0.6380090497737556
64,linear,0.1,16,tanh,0.1,0.6532593619972261,0.6380090497737556
64,linear,0.1,16,tanh,0.05,0.6560332871012483,0.6606334841628959
64,linear,0.1,16,tanh,0.0,0.6047156726768377,0.6787330316742082
64,linear,0.1,16,sigmoid,0.1,0.6380027739251041,0.6606334841628959
64,linear,0.1,16,sigmoid,0.05,0.6532593619972261,0.6606334841628959
64,linear,0.1,16,sigmoid,0.0,0.6754507628294036,0.6334841628959276
64,linear,0.1,8,relu,0.1,0.6782246879334258,0.6380090497737556
64,linear,0.1,8,relu,0.05,0.23855755894590847,0.8235294117647058
64,linear,0.1,8,relu,0.0,0.6380027739251041,0.6380090497737556
64,linear,0.1,8,linear,0.1,0.6338418862690708,0.665158371040724
64,linear,0.1,8,linear,0.05,0.6768377253814147,0.6334841628959276
64,linear,0.1,8,linear,0.0,0.651872399445215,0.6515837104072398
64,linear,0.1,8,tanh,0.1,0.6685159500693482,0.665158371040724
64,linear,0.1,8,tanh,0.05,0.6643550624133149,0.6606334841628959
64,linear,0.1,8,tanh,0.0,0.6490984743411928,0.665158371040724
64,linear,0.1,8,sigmoid,0.1,0.27184466019417475,0.7601809954751131
64,linear,0.1,8,sigmoid,0.05,0.0,1.0
64,linear,0.1,8,sigmoid,0.0,0.0,1.0
64,linear,0.1,4,relu,0.1,0.5908460471567267,0.6923076923076923
64,linear,0.1,4,relu,0.05,0.6019417475728155,0.7058823529411765
64,linear,0.1,4,relu,0.0,0.608876560332871,0.6832579185520362
64,linear,0.1,4,linear,0.1,0.6615811373092927,0.6515837104072398
64,linear,0.1,4,linear,0.05,0.6449375866851595,0.6334841628959276
64,linear,0.1,4,linear,0.0,0.6712898751733704,0.6244343891402715
64,linear,0.1,4,tanh,0.1,0.6421636615811374,0.6380090497737556
64,linear,0.1,4,tanh,0.05,0.6629680998613038,0.6334841628959276
64,linear,0.1,4,tanh,0.0,0.6754507628294036,0.6787330316742082
64,linear,0.1,4,sigmoid,0.1,0.6130374479889042,0.6742081447963801
64,linear,0.1,4,sigmoid,0.05,0.0,1.0
64,linear,0.1,4,sigmoid,0.0,0.03744798890429958,0.9683257918552036
64,tanh,0.3,16,relu,0.1,0.579750346740638,0.6877828054298643
64,tanh,0.3,16,relu,0.05,0.6047156726768377,0.669683257918552
64,tanh,0.3,16,relu,0.0,0.6338418862690708,0.6561085972850679
64,tanh,0.3,16,linear,0.1,0.6671289875173371,0.6515837104072398
64,tanh,0.3,16,linear,0.05,0.6546463245492372,0.6470588235294118
