,mean
PAÍS,0.9086725663716814
ETNIA.BN,0.2
EDAD,0.48070796460177023
FUGAS.BN,0.13876106194690266
ABUSOSUBS1,0.31454867256637176
ABUSOSUBS2,0.2898407079646018
CONVIVEN.1,0.9231858407079646
CONVIVEN.2,0.7553982300884956
CONVIVEN.3,0.0743362831858407
CONVIVEN.4,0.029026548672566373
CONVIVEN_H,0.6339823008849558
CONVIVEN_0,0.0920353982300885
AUTOEFIC.MEAN,0.6423461394821711
AUTOEFIC.VAR,0.2009139587114112
IMPULS.MEAN,0.4667546782492129
IMPULS.MEDIAN,0.45901495533278136
IMPULS.VAR,0.3641490366780548
APOYO.MEAN,0.757839283862927
APOYO.MEDIAN,0.8178445783740376
APOYO.VAR,0.27782330060742405
MORAL.MEAN,0.7374615201269749
MORAL.VAR,0.16185103585763153
PORNO.T,0.29460176991150444
GENERO.BN0,0.47292035398230087
ORIENTSEX.BN0,0.863716814159292
GENERO.BN1,0.5270796460176991
ORIENTSEX.BN1,0.13628318584070798
