u1,a1,d1,u2,a2,d2,recall_0,recall_1
64,relu,0.3,16,relu,0.1,0.6227461858529819,0.6832579185520362
64,relu,0.3,16,relu,0.05,0.36615811373092927,0.7194570135746606
64,relu,0.3,16,relu,0.0,0.5339805825242718,0.6787330316742082
64,relu,0.3,16,linear,0.1,0.5672676837725381,0.6787330316742082
64,relu,0.3,16,linear,0.05,0.6255201109570042,0.665158371040724
64,relu,0.3,16,linear,0.0,0.6962552011095701,0.6334841628959276
64,relu,0.3,16,tanh,0.1,0.6560332871012483,0.669683257918552
64,relu,0.3,16,tanh,0.05,0.6504854368932039,0.665158371040724
64,relu,0.3,16,tanh,0.0,0.5866851595006934,0.6877828054298643
64,relu,0.3,16,sigmoid,0.1,0.0,1.0
64,relu,0.3,16,sigmoid,0.05,0.624133148404993,0.6742081447963801
64,relu,0.3,16,sigmoid,0.0,0.6255201109570042,0.6606334841628959
64,relu,0.3,8,relu,0.1,0.5811373092926491,0.5746606334841629
64,relu,0.3,8,relu,0.05,0.579750346740638,0.7104072398190046
64,relu,0.3,8,relu,0.0,0.6712898751733704,0.6380090497737556
64,relu,0.3,8,linear,0.1,0.6532593619972261,0.6425339366515838
64,relu,0.3,8,linear,0.05,0.5755894590846047,0.6380090497737556
64,relu,0.3,8,linear,0.0,0.6740638002773925,0.6470588235294118
64,relu,0.3,8,tanh,0.1,0.4576976421636616,0.7330316742081447
64,relu,0.3,8,tanh,0.05,0.636615811373093,0.6153846153846154
64,relu,0.3,8,tanh,0.0,0.5825242718446602,0.6968325791855203
64,relu,0.3,8,sigmoid,0.1,0.9736477115117892,0.04524886877828054
64,relu,0.3,8,sigmoid,0.05,0.6393897364771152,0.6380090497737556
64,relu,0.3,8,sigmoid,0.0,0.2510402219140083,0.8371040723981901
64,relu,0.3,4,relu,0.1,0.5270457697642164,0.7194570135746606
64,relu,0.3,4,relu,0.05,0.27461858529819694,0.8506787330316742
64,relu,0.3,4,relu,0.0,0.17198335644937587,0.8868778280542986
64,relu,0.3,4,linear,0.1,0.5048543689320388,0.665158371040724
64,relu,0.3,4,linear,0.05,0.6061026352288488,0.6832579185520362
64,relu,0.3,4,linear,0.0,0.6560332871012483,0.6470588235294118
64,relu,0.3,4,tanh,0.1,0.37725381414701803,0.751131221719457
64,relu,0.3,4,tanh,0.05,0.6588072122052705,0.669683257918552
64,relu,0.3,4,tanh,0.0,0.0970873786407767,0.9502262443438914
64,relu,0.3,4,sigmoid,0.1,0.21081830790568654,0.9095022624434389
64,relu,0.3,4,sigmoid,0.05,0.0027739251040221915,0.9909502262443439
64,relu,0.3,4,sigmoid,0.0,1.0,0.0
64,relu,0.2,16,relu,0.1,0.47572815533980584,0.7149321266968326
64,relu,0.2,16,relu,0.05,0.6629680998613038,0.6108597285067874
64,relu,0.2,16,relu,0.0,0.5894590846047156,0.6561085972850679
64,relu,0.2,16,linear,0.1,0.6407766990291263,0.6334841628959276
64,relu,0.2,16,linear,0.05,0.6768377253814147,0.6244343891402715
64,relu,0.2,16,linear,0.0,0.6282940360610264,0.6244343891402715
64,relu,0.2,16,tanh,0.1,0.6324549237170597,0.6380090497737556
64,relu,0.2,16,tanh,0.05,0.579750346740638,0.6742081447963801
64,relu,0.2,16,tanh,0.0,0.6823855755894591,0.6199095022624435
64,relu,0.2,16,sigmoid,0.1,0.0027739251040221915,0.995475113122172
64,relu,0.2,16,sigmoid,0.05,0.6393897364771152,0.6606334841628959
64,relu,0.2,16,sigmoid,0.0,0.6213592233009708,0.6787330316742082
64,relu,0.2,8,relu,0.1,0.6546463245492372,0.665158371040724
64,relu,0.2,8,relu,0.05,0.06796116504854369,0.9773755656108597
64,relu,0.2,8,relu,0.0,0.665742024965326,0.6425339366515838
64,relu,0.2,8,linear,0.1,0.6269070735090153,0.6877828054298643
64,relu,0.2,8,linear,0.05,0.6699029126213593,0.6289592760180995
64,relu,0.2,8,linear,0.0,0.624133148404993,0.6606334841628959
64,relu,0.2,8,tanh,0.1,0.5312066574202496,0.665158371040724
64,relu,0.2,8,tanh,0.05,0.5145631067961165,0.6968325791855203
64,relu,0.2,8,tanh,0.0,0.5894590846047156,0.6606334841628959
64,relu,0.2,8,sigmoid,0.1,0.6435506241331485,0.6380090497737556
64,relu,0.2,8,sigmoid,0.05,0.018030513176144243,0.9728506787330317
64,relu,0.2,8,sigmoid,0.0,0.6463245492371706,0.6561085972850679
64,relu,0.2,4,relu,0.1,0.5922330097087378,0.6787330316742082
64,relu,0.2,4,relu,0.05,0.6851595006934813,0.6515837104072398
64,relu,0.2,4,relu,0.0,0.420249653259362,0.7194570135746606
64,relu,0.2,4,linear,0.1,0.6782246879334258,0.6470588235294118
64,relu,0.2,4,linear,0.05,0.43966712898751736,0.6561085972850679
64,relu,0.2,4,linear,0.0,0.6255201109570042,0.6515837104072398
64,relu,0.2,4,tanh,0.1,0.6269070735090153,0.5565610859728507
64,relu,0.2,4,tanh,0.05,0.5936199722607489,0.583710407239819
64,relu,0.2,4,tanh,0.0,0.6282940360610264,0.6968325791855203
64,relu,0.2,4,sigmoid,0.1,0.5020804438280166,0.746606334841629
64,relu,0.2,4,sigmoid,0.05,0.5839112343966713,0.6787330316742082
64,relu,0.2,4,sigmoid,0.0,0.0,1.0
64,relu,0.1,16,relu,0.1,0.624133148404993,0.6606334841628959
64,relu,0.1,16,relu,0.05,0.6712898751733704,0.6289592760180995
