,scaled_train_mean
PAÍS,0.9076106194690265
ETNIA.BN,0.20035398230088497
EDAD,0.48212389380531007
FUGAS.BN,0.14088495575221238
ABUSOSUBS1,0.3138407079646018
ABUSOSUBS2,0.2890619469026549
CONVIVEN.1,0.9238938053097345
CONVIVEN.2,0.7546902654867257
CONVIVEN.3,0.0743362831858407
CONVIVEN.4,0.032212389380530976
CONVIVEN_H,0.6339823008849558
CONVIVEN_0,0.09132743362831858
AUTOEFIC.MEAN,0.6414863013401565
AUTOEFIC.VAR,0.2015153234203486
IMPULS.MEAN,0.4658597933926264
IMPULS.MEDIAN,0.45737753520656477
IMPULS.VAR,0.36096229296148097
APOYO.MEAN,0.7569849506280211
APOYO.MEDIAN,0.8186092581284632
APOYO.VAR,0.27846605005846264
MORAL.MEAN,0.7413205700502281
MORAL.VAR,0.1582788881780409
PORNO.T,0.3008849557522124
GENERO.BN0,0.48
GENERO.BN1,0.52
ORIENTSEX.BN0,0.8615929203539823
ORIENTSEX.BN1,0.1384070796460177
