component,component_number,explained_variance_ratio,explained_variance_percent,cumulative_variance_ratio,cumulative_variance_percent,retained_for_model
PC1,1,0.21998550941635214,21.998550941635216,0.21998550941635214,21.998550941635216,True
PC2,2,0.11078609984362345,11.078609984362345,0.3307716092599756,33.07716092599756,True
PC3,3,0.09383435413895785,9.383435413895786,0.4246059633989335,42.46059633989335,True
PC4,4,0.08386615212154311,8.386615212154311,0.5084721155204766,50.84721155204765,True
PC5,5,0.06706337715955141,6.706337715955141,0.575535492680028,57.553549268002804,True
PC6,6,0.05662575182078963,5.662575182078963,0.6321612445008177,63.216124450081765,True
PC7,7,0.04825312970915379,4.825312970915379,0.6804143742099714,68.04143742099714,True
PC8,8,0.04057513896240885,4.057513896240885,0.7209895131723802,72.09895131723802,True
PC9,9,0.03370267535920024,3.370267535920024,0.7546921885315805,75.46921885315805,True
PC10,10,0.031711141461814245,3.1711141461814245,0.7864033299933947,78.64033299933946,True
PC11,11,0.02752404940699477,2.752404940699477,0.8139273794003895,81.39273794003896,True
PC12,12,0.02525116538572377,2.525116538572377,0.8391785447861133,83.91785447861133,True
PC13,13,0.02269884086183856,2.269884086183856,0.8618773856479519,86.1877385647952,True
PC14,14,0.020948027716151462,2.094802771615146,0.8828254133641034,88.28254133641033,True
PC15,15,0.01982511985946763,1.982511985946763,0.902650533223571,90.2650533223571,True
PC16,16,0.017639553377276053,1.7639553377276054,0.9202900866008471,92.02900866008471,True
PC17,17,0.016280425731891295,1.6280425731891295,0.9365705123327384,93.65705123327383,True
PC18,18,0.013930413621100967,1.3930413621100968,0.9505009259538393,95.05009259538393,True
PC19,19,0.013352228265574303,1.3352228265574302,0.9638531542194135,96.38531542194136,False
PC20,20,0.009772256918124252,0.9772256918124252,0.9736254111375378,97.36254111375378,False
PC21,21,0.00952720257867991,0.952720257867991,0.9831526137162176,98.31526137162176,False
PC22,22,0.008062598066196,0.8062598066196001,0.9912152117824137,99.12152117824137,False
PC23,23,0.00611444348414837,0.611444348414837,0.997329655266562,99.7329655266562,False
PC24,24,0.0016088371418344226,0.16088371418344224,0.9989384924083965,99.89384924083964,False
PC25,25,0.0010615075916024727,0.10615075916024727,0.999999999999999,99.9999999999999,False
PC26,26,8.839498665032428e-16,8.839498665032428e-14,0.9999999999999999,99.99999999999999,False
PC27,27,0.0,0.0,0.9999999999999999,99.99999999999999,False
