strategy,n,positives,negatives,TP,FP,TN,FN,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,fpr,fnr,auc_pr,auc_roc,victim_threshold,perp_threshold
Smart AND grid,942,178,764,178,764,0,0,1.0,0.0,0.18895966029723993,,0.5,0.3178571428571429,0.18895966029723993,1.0,0.0,0.3996067080511836,0.7213291958350492,0.01,0.01
Smart AND grid,942,178,764,178,764,0,0,1.0,0.0,0.18895966029723993,,0.5,0.3178571428571429,0.18895966029723993,1.0,0.0,0.3996067080511836,0.7213291958350492,0.01,0.02
Smart AND grid,942,178,764,178,764,0,0,1.0,0.0,0.18895966029723993,,0.5,0.3178571428571429,0.18895966029723993,1.0,0.0,0.3996067080511836,0.7213291958350492,0.01,0.03
Smart AND grid,942,178,764,178,764,0,0,1.0,0.0,0.18895966029723993,,0.5,0.3178571428571429,0.18895966029723993,1.0,0.0,0.3996067080511836,0.7213291958350492,0.01,0.04
Smart AND grid,942,178,764,178,764,0,0,1.0,0.0,0.18895966029723993,,0.5,0.3178571428571429,0.18895966029723993,1.0,0.0,0.3996067080511836,0.7213291958350492,0.01,0.05
Smart AND grid,942,178,764,178,764,0,0,1.0,0.0,0.18895966029723993,,0.5,0.3178571428571429,0.18895966029723993,1.0,0.0,0.3996067080511836,0.7213291958350492,0.01,0.06
Smart AND grid,942,178,764,178,764,0,0,1.0,0.0,0.18895966029723993,,0.5,0.3178571428571429,0.18895966029723993,1.0,0.0,0.3996067080511836,0.7213291958350492,0.01,0.07
Smart AND grid,942,178,764,178,764,0,0,1.0,0.0,0.18895966029723993,,0.5,0.3178571428571429,0.18895966029723993,1.0,0.0,0.3996067080511836,0.7213291958350492,0.01,0.08
Smart AND grid,942,178,764,178,764,0,0,1.0,0.0,0.18895966029723993,,0.5,0.3178571428571429,0.18895966029723993,1.0,0.0,0.3996067080511836,0.7213291958350492,0.01,0.09
Smart AND grid,942,178,764,178,764,0,0,1.0,0.0,0.18895966029723993,,0.5,0.3178571428571429,0.18895966029723993,1.0,0.0,0.3996067080511836,0.7213291958350492,0.01,0.1
Smart AND grid,942,178,764,178,763,1,0,1.0,0.0013089005235602095,0.1891604675876727,1.0,0.5006544502617801,0.3181411974977658,0.19002123142250532,0.9986910994764397,0.0,0.3996067080511836,0.7213291958350492,0.01,0.11
Smart AND grid,942,178,764,178,763,1,0,1.0,0.0013089005235602095,0.1891604675876727,1.0,0.5006544502617801,0.3181411974977658,0.19002123142250532,0.9986910994764397,0.0,0.3996067080511836,0.7213291958350492,0.01,0.12
Smart AND grid,942,178,764,178,762,2,0,1.0,0.002617801047120419,0.18936170212765957,1.0,0.5013089005235603,0.31842576028622543,0.1910828025477707,0.9973821989528796,0.0,0.3996067080511836,0.7213291958350492,0.01,0.13
Smart AND grid,942,178,764,178,760,4,0,1.0,0.005235602094240838,0.18976545842217485,1.0,0.5026178010471204,0.31899641577060933,0.1932059447983015,0.9947643979057592,0.0,0.3996067080511836,0.7213291958350492,0.01,0.14
Smart AND grid,942,178,764,178,758,6,0,1.0,0.007853403141361256,0.19017094017094016,1.0,0.5039267015706806,0.31956912028725315,0.19532908704883228,0.9921465968586387,0.0,0.3996067080511836,0.7213291958350492,0.01,0.15
Smart AND grid,942,178,764,178,754,10,0,1.0,0.013089005235602094,0.19098712446351931,1.0,0.506544502617801,0.3207207207207207,0.19957537154989385,0.9869109947643979,0.0,0.3996067080511836,0.7213291958350492,0.01,0.16
Smart AND grid,942,178,764,178,748,16,0,1.0,0.020942408376963352,0.19222462203023757,1.0,0.5104712041884817,0.322463768115942,0.2059447983014862,0.9790575916230366,0.0,0.3996067080511836,0.7213291958350492,0.01,0.17
Smart AND grid,942,178,764,178,742,22,0,1.0,0.028795811518324606,0.1934782608695652,1.0,0.5143979057591623,0.3242258652094717,0.21231422505307856,0.9712041884816754,0.0,0.3996067080511836,0.7213291958350492,0.01,0.18
Smart AND grid,942,178,764,178,736,28,0,1.0,0.03664921465968586,0.19474835886214442,1.0,0.518324607329843,0.326007326007326,0.21868365180467092,0.9633507853403142,0.0,0.3996067080511836,0.7213291958350492,0.01,0.19
Smart AND grid,942,178,764,178,727,37,0,1.0,0.04842931937172775,0.19668508287292819,1.0,0.5242146596858639,0.32871652816251157,0.22823779193205945,0.9515706806282722,0.0,0.3996067080511836,0.7213291958350492,0.01,0.2
Smart AND grid,942,178,764,178,714,50,0,1.0,0.06544502617801047,0.19955156950672645,1.0,0.5327225130890052,0.33271028037383177,0.24203821656050956,0.9345549738219895,0.0,0.3996067080511836,0.7213291958350492,0.01,0.21
Smart AND grid,942,178,764,177,709,55,1,0.9943820224719101,0.07198952879581152,0.19977426636568849,0.9821428571428571,0.5331857756338608,0.33270676691729323,0.24628450106157113,0.9280104712041884,0.0056179775280898875,0.3996067080511836,0.7213291958350492,0.01,0.22
Smart AND grid,942,178,764,177,697,67,1,0.9943820224719101,0.08769633507853403,0.20251716247139587,0.9852941176470589,0.541039178775222,0.3365019011406844,0.25902335456475584,0.912303664921466,0.0056179775280898875,0.3996067080511836,0.7213291958350492,0.01,0.23
Smart AND grid,942,178,764,176,679,85,2,0.9887640449438202,0.11125654450261781,0.20584795321637428,0.9770114942528736,0.550010294723219,0.34075508228460794,0.2770700636942675,0.8887434554973822,0.011235955056179775,0.3996067080511836,0.7213291958350492,0.01,0.24
Smart AND grid,942,178,764,176,670,94,2,0.9887640449438202,0.12303664921465969,0.20803782505910165,0.9791666666666666,0.55590034707924,0.34374999999999994,0.28662420382165604,0.8769633507853403,0.011235955056179775,0.3996067080511836,0.7213291958350492,0.01,0.25
Smart AND grid,942,178,764,175,654,110,3,0.9831460674157303,0.14397905759162305,0.21109770808202655,0.9734513274336283,0.5635625625036766,0.34756703078450846,0.30254777070063693,0.856020942408377,0.016853932584269662,0.3996067080511836,0.7213291958350492,0.01,0.26
Smart AND grid,942,178,764,172,642,122,6,0.9662921348314607,0.15968586387434555,0.2113022113022113,0.953125,0.5629889993529031,0.3467741935483871,0.31210191082802546,0.8403141361256544,0.033707865168539325,0.3996067080511836,0.7213291958350492,0.01,0.27
Smart AND grid,942,178,764,171,625,139,7,0.9606741573033708,0.18193717277486912,0.21482412060301506,0.952054794520548,0.57130566503912,0.351129363449692,0.32908704883227174,0.8180628272251309,0.03932584269662921,0.3996067080511836,0.7213291958350492,0.01,0.28
Smart AND grid,942,178,764,170,607,157,8,0.9550561797752809,0.2054973821989529,0.2187902187902188,0.9515151515151515,0.5802767809871169,0.35602094240837695,0.3471337579617834,0.7945026178010471,0.0449438202247191,0.3996067080511836,0.7213291958350492,0.01,0.29
Smart AND grid,942,178,764,170,591,173,8,0.9550561797752809,0.22643979057591623,0.2233902759526938,0.9558011049723757,0.5907479851755986,0.36208732694355694,0.3641188959660297,0.7735602094240838,0.0449438202247191,0.3996067080511836,0.7213291958350492,0.01,0.3
Smart AND grid,942,178,764,166,562,202,12,0.9325842696629213,0.2643979057591623,0.22802197802197802,0.9439252336448598,0.5984910877110418,0.3664459161147903,0.39065817409766457,0.7356020942408377,0.06741573033707865,0.3996067080511836,0.7213291958350492,0.01,0.31
Smart AND grid,942,178,764,165,546,218,13,0.9269662921348315,0.28534031413612565,0.2320675105485232,0.9437229437229437,0.6061533031354785,0.3712035995500563,0.40658174097664546,0.7146596858638743,0.07303370786516854,0.3996067080511836,0.7213291958350492,0.01,0.32
Smart AND grid,942,178,764,164,531,233,14,0.9213483146067416,0.30497382198952877,0.23597122302158274,0.9433198380566802,0.6131610682981352,0.3757159221076747,0.42144373673036095,0.6950261780104712,0.07865168539325842,0.3996067080511836,0.7213291958350492,0.01,0.33
Smart AND grid,942,178,764,162,515,249,16,0.9101123595505618,0.32591623036649214,0.23929098966026588,0.939622641509434,0.618014294958527,0.3789473684210526,0.43630573248407645,0.6740837696335078,0.0898876404494382,0.3996067080511836,0.7213291958350492,0.01,0.34
Smart AND grid,942,178,764,160,498,266,18,0.898876404494382,0.3481675392670157,0.24316109422492402,0.9366197183098591,0.6235219718806988,0.3827751196172249,0.45222929936305734,0.6518324607329843,0.10112359550561797,0.3996067080511836,0.7213291958350492,0.01,0.35
Smart AND grid,942,178,764,158,474,290,20,0.8876404494382022,0.3795811518324607,0.25,0.9354838709677419,0.6336108006353315,0.39012345679012345,0.47558386411889597,0.6204188481675392,0.11235955056179775,0.3996067080511836,0.7213291958350492,0.01,0.36
Smart AND grid,942,178,764,153,457,307,25,0.8595505617977528,0.4018324607329843,0.25081967213114753,0.9246987951807228,0.6306915112653686,0.3883248730964467,0.4883227176220807,0.5981675392670157,0.1404494382022472,0.3996067080511836,0.7213291958350492,0.01,0.37
Smart AND grid,942,178,764,150,446,318,28,0.8426966292134831,0.4162303664921466,0.2516778523489933,0.9190751445086706,0.6294634978528149,0.3875968992248063,0.4968152866242038,0.5837696335078534,0.15730337078651685,0.3996067080511836,0.7213291958350492,0.01,0.38
Smart AND grid,942,178,764,148,426,338,30,0.8314606741573034,0.4424083769633508,0.2578397212543554,0.9184782608695652,0.6369345255603271,0.39361702127659576,0.5159235668789809,0.5575916230366492,0.16853932584269662,0.3996067080511836,0.7213291958350492,0.01,0.39
Smart AND grid,942,178,764,146,413,351,32,0.8202247191011236,0.4594240837696335,0.26118067978533094,0.9164490861618799,0.6398244014353786,0.3962008141112619,0.5276008492569002,0.5405759162303665,0.1797752808988764,0.3996067080511836,0.7213291958350492,0.01,0.4
Smart AND grid,942,178,764,145,391,373,33,0.8146067415730337,0.4882198952879581,0.27052238805970147,0.9187192118226601,0.6514133184304959,0.40616246498599434,0.5498938428874734,0.5117801047120419,0.1853932584269663,0.3996067080511836,0.7213291958350492,0.01,0.41
Smart AND grid,942,178,764,144,368,396,34,0.8089887640449438,0.518324607329843,0.28125,0.9209302325581395,0.6636566856873933,0.4173913043478261,0.5732484076433121,0.4816753926701571,0.19101123595505617,0.3996067080511836,0.7213291958350492,0.01,0.42
Smart AND grid,942,178,764,142,357,407,36,0.797752808988764,0.5327225130890052,0.2845691382765531,0.9187358916478555,0.6652376610388846,0.4194977843426883,0.5828025477707006,0.46727748691099474,0.20224719101123595,0.3996067080511836,0.7213291958350492,0.01,0.43
Smart AND grid,942,178,764,138,348,416,40,0.7752808988764045,0.5445026178010471,0.2839506172839506,0.9122807017543859,0.6598917583387258,0.4156626506024096,0.5881104033970276,0.45549738219895286,0.2247191011235955,0.3996067080511836,0.7213291958350492,0.01,0.44
Smart AND grid,942,178,764,134,340,424,44,0.7528089887640449,0.5549738219895288,0.28270042194092826,0.905982905982906,0.6538914053767868,0.41104294478527603,0.5923566878980892,0.44502617801047123,0.24719101123595505,0.3996067080511836,0.7213291958350492,0.01,0.45
Smart AND grid,942,178,764,133,327,437,45,0.7471910112359551,0.5719895287958116,0.2891304347826087,0.9066390041493776,0.6595902700158833,0.41692789968652033,0.6050955414012739,0.4280104712041885,0.25280898876404495,0.3996067080511836,0.7213291958350492,0.01,0.46
Smart AND grid,942,178,764,131,315,449,47,0.7359550561797753,0.587696335078534,0.2937219730941704,0.905241935483871,0.6618256956291546,0.41987179487179493,0.6157112526539278,0.412303664921466,0.2640449438202247,0.3996067080511836,0.7213291958350492,0.01,0.47
Smart AND grid,942,178,764,128,292,472,50,0.7191011235955056,0.6178010471204188,0.3047619047619048,0.9042145593869731,0.6684510853579622,0.4280936454849499,0.6369426751592356,0.38219895287958117,0.2808988764044944,0.3996067080511836,0.7213291958350492,0.01,0.48
Smart AND grid,942,178,764,123,283,481,55,0.6910112359550562,0.6295811518324608,0.30295566502463056,0.8973880597014925,0.6602961938937585,0.4212328767123288,0.6411889596602972,0.3704188481675393,0.3089887640449438,0.3996067080511836,0.7213291958350492,0.01,0.49
Smart AND grid,942,178,764,118,269,495,60,0.6629213483146067,0.6479057591623036,0.3049095607235142,0.8918918918918919,0.6554135537384551,0.4176991150442478,0.6507430997876857,0.35209424083769636,0.33707865168539325,0.3996067080511836,0.7213291958350492,0.01,0.5
Smart AND grid,942,178,764,114,260,504,64,0.6404494382022472,0.6596858638743456,0.3048128342245989,0.8873239436619719,0.6500676510382963,0.41304347826086957,0.6560509554140127,0.3403141361256545,0.3595505617977528,0.3996067080511836,0.7213291958350492,0.01,0.51
Smart AND grid,942,178,764,113,246,518,65,0.6348314606741573,0.6780104712041884,0.3147632311977716,0.888507718696398,0.6564209659391729,0.4208566108007449,0.6698513800424628,0.3219895287958115,0.3651685393258427,0.3996067080511836,0.7213291958350492,0.01,0.52
Smart AND grid,942,178,764,108,237,527,70,0.6067415730337079,0.6897905759162304,0.3130434782608696,0.8827470686767169,0.6482660744749691,0.4130019120458891,0.6740976645435244,0.3102094240837696,0.39325842696629215,0.3996067080511836,0.7213291958350492,0.01,0.53
Smart AND grid,942,178,764,105,228,536,73,0.5898876404494382,0.7015706806282722,0.3153153153153153,0.8801313628899836,0.6457291605388552,0.4109589041095891,0.6804670912951167,0.29842931937172773,0.4101123595505618,0.3996067080511836,0.7213291958350492,0.01,0.54
Smart AND grid,942,178,764,102,218,546,76,0.5730337078651685,0.7146596858638743,0.31875,0.8778135048231511,0.6438466968645213,0.40963855421686746,0.6878980891719745,0.28534031413612565,0.42696629213483145,0.3996067080511836,0.7213291958350492,0.01,0.55
Smart AND grid,942,178,764,100,200,564,78,0.5617977528089888,0.7382198952879581,0.3333333333333333,0.8785046728971962,0.6500088240484734,0.4184100418410042,0.7048832271762208,0.2617801047120419,0.43820224719101125,0.3996067080511836,0.7213291958350492,0.01,0.56
