outcome,metric,point,ci_lower,ci_upper,n_boot_valid
victimization,recall_sensitivity,0.8709677419354839,0.8378363363363364,0.900990599059906,5000
victimization,specificity,0.31027253668763105,0.2689004495703473,0.3515154823342596,5000
victimization,precision_ppv,0.5517711171662125,0.5150684931506849,0.5870172735813184,5000
victimization,npv,0.7115384615384616,0.6473677854055429,0.773334975369458,5000
victimization,balanced_accuracy,0.5906201393115574,0.5644428557245016,0.6164922351458587,5000
victimization,f1_positive,0.6755629691409508,0.6439493827448601,0.7053061224489795,5000
victimization,accuracy,0.5870488322717622,0.5551751592356687,0.6178609341825898,5000
perpetration,recall_sensitivity,0.9140271493212669,0.875,0.9497960251046024,5000
perpetration,specificity,0.30097087378640774,0.268463300911659,0.3351650246305418,5000
perpetration,precision_ppv,0.28611898016997167,0.25210054773998736,0.3191489361702128,5000
perpetration,npv,0.9194915254237288,0.8828443710774059,0.9529411764705882,5000
perpetration,balanced_accuracy,0.6074990115538373,0.5819705341029336,0.6324350313093469,5000
perpetration,f1_positive,0.43581445523193096,0.39373334554977824,0.47476102402683557,5000
perpetration,accuracy,0.4447983014861996,0.4129511677282378,0.47664543524416136,5000
overlap,recall_sensitivity,0.8089887640449438,0.7513513513513513,0.8645903716216216,5000
overlap,specificity,0.5353403141361257,0.50066401062417,0.5705128205128205,5000
overlap,precision_ppv,0.28857715430861725,0.24949290060851928,0.3299600232976808,5000
overlap,npv,0.9232505643340858,0.8981456375030128,0.9467867969193525,5000
overlap,balanced_accuracy,0.6721645390905348,0.6385325981946365,0.7046209128343125,5000
overlap,f1_positive,0.4254062038404726,0.377950941616169,0.47268013997839253,5000
overlap,accuracy,0.5870488322717622,0.5562632696390658,0.618895966029724,5000
