TP,FP,TN,FN,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,support,positive_support,negative_support
205,497,218,22,0.9030837004405287,0.3048951048951049,0.292022792022792,0.9083333333333333,0.6039894026678168,0.4413347685683531,0.44904458598726116,942,227,715
205,516,203,18,0.9192825112107623,0.282336578581363,0.2843273231622746,0.918552036199095,0.6008095448960626,0.43432203389830504,0.43312101910828027,942,223,719
202,504,218,18,0.9181818181818182,0.30193905817174516,0.28611898016997167,0.923728813559322,0.6100604381767817,0.43628509719222464,0.445859872611465,942,220,722
201,493,230,18,0.9178082191780822,0.318118948824343,0.2896253602305475,0.9274193548387096,0.6179635840012125,0.4403066812705367,0.4575371549893843,942,219,723
210,505,213,14,0.9375,0.2966573816155989,0.2937062937062937,0.9383259911894273,0.6170786908077994,0.4472843450479233,0.44904458598726116,942,224,718
199,518,205,20,0.908675799086758,0.2835408022130014,0.2775453277545328,0.9111111111111111,0.5961083006498797,0.42521367521367526,0.4288747346072187,942,219,723
203,499,222,18,0.918552036199095,0.3079056865464632,0.28917378917378916,0.925,0.6132288613727791,0.4398699891657638,0.45116772823779194,942,221,721
206,497,226,13,0.9406392694063926,0.31258644536652835,0.2930298719772404,0.9456066945606695,0.6266128573864604,0.4468546637744034,0.4585987261146497,942,219,723
196,502,220,24,0.8909090909090909,0.3047091412742382,0.2808022922636103,0.9016393442622951,0.5978091160916645,0.4270152505446622,0.4416135881104034,942,220,722
208,514,206,14,0.9369369369369369,0.2861111111111111,0.2880886426592798,0.9363636363636364,0.6115240240240241,0.4406779661016949,0.4394904458598726,942,222,720
197,500,223,22,0.8995433789954338,0.3084370677731674,0.28263988522238165,0.9102040816326531,0.6039902233843006,0.43013100436681223,0.445859872611465,942,219,723
220,511,192,19,0.9205020920502092,0.27311522048364156,0.3009575923392613,0.909952606635071,0.5968086562669254,0.45360824742268036,0.43736730360934184,942,239,703
173,525,225,19,0.9010416666666666,0.3,0.24785100286532952,0.9221311475409836,0.6005208333333333,0.3887640449438203,0.42250530785562634,942,192,750
191,502,237,12,0.9408866995073891,0.32070365358592695,0.2756132756132756,0.9518072289156626,0.6307951765466581,0.42633928571428575,0.4543524416135881,942,203,739
213,507,206,16,0.9301310043668122,0.28892005610098176,0.29583333333333334,0.9279279279279279,0.609525530233897,0.4488935721812435,0.4447983014861996,942,229,713
187,502,235,18,0.9121951219512195,0.31886024423337855,0.2714078374455733,0.9288537549407114,0.6155276830922991,0.41834451901566,0.44798301486199577,942,205,737
217,464,240,21,0.9117647058823529,0.3409090909090909,0.3186490455212922,0.9195402298850575,0.6263368983957219,0.47225244831338414,0.4851380042462845,942,238,704
200,507,220,15,0.9302325581395349,0.30261348005502064,0.2828854314002829,0.9361702127659575,0.6164230190972777,0.43383947939262474,0.445859872611465,942,215,727
205,498,213,26,0.8874458874458875,0.29957805907172996,0.29160739687055476,0.891213389121339,0.5935119732588088,0.43897216274089934,0.4437367303609342,942,231,711
195,517,208,22,0.8986175115207373,0.2868965517241379,0.273876404494382,0.9043478260869565,0.5927570316224376,0.4198062432723358,0.4278131634819533,942,217,725
209,496,220,17,0.9247787610619469,0.30726256983240224,0.29645390070921984,0.9282700421940928,0.6160206654471746,0.44897959183673464,0.4554140127388535,942,226,716
217,470,234,21,0.9117647058823529,0.33238636363636365,0.3158660844250364,0.9176470588235294,0.6220755347593583,0.46918918918918917,0.47876857749469215,942,238,704
250,480,197,15,0.9433962264150944,0.29098966026587886,0.3424657534246575,0.9292452830188679,0.6171929433404866,0.5025125628140703,0.4745222929936306,942,265,677
195,509,221,17,0.9198113207547169,0.30273972602739724,0.27698863636363635,0.9285714285714286,0.6112755233910571,0.42576419213973793,0.4416135881104034,942,212,730
211,503,211,17,0.9254385964912281,0.29551820728291317,0.29551820728291317,0.9254385964912281,0.6104784018870706,0.4479830148619958,0.44798301486199577,942,228,714
214,493,216,19,0.9184549356223176,0.304654442877292,0.3026874115983027,0.9191489361702128,0.6115546892498048,0.45531914893617026,0.4564755838641189,942,233,709
218,499,207,18,0.923728813559322,0.29320113314447593,0.30404463040446306,0.92,0.608464973351899,0.4575026232948583,0.45116772823779194,942,236,706
210,497,220,15,0.9333333333333333,0.3068340306834031,0.297029702970297,0.9361702127659575,0.6200836820083682,0.4506437768240343,0.4564755838641189,942,225,717
182,513,228,19,0.9054726368159204,0.3076923076923077,0.26187050359712233,0.9230769230769231,0.606582472254114,0.40625,0.43524416135881105,942,201,741
211,478,238,15,0.9336283185840708,0.3324022346368715,0.3062409288824383,0.9407114624505929,0.6330152766104712,0.46120218579234973,0.47664543524416136,942,226,716
208,497,211,26,0.8888888888888888,0.2980225988700565,0.2950354609929078,0.890295358649789,0.5934557438794726,0.443024494142705,0.4447983014861996,942,234,708
189,509,227,17,0.9174757281553398,0.30842391304347827,0.2707736389684814,0.930327868852459,0.6129498205994091,0.418141592920354,0.4416135881104034,942,206,736
222,490,214,16,0.9327731092436975,0.3039772727272727,0.31179775280898875,0.9304347826086956,0.6183751909854851,0.46736842105263154,0.46284501061571126,942,238,704
208,501,208,25,0.8927038626609443,0.2933709449929478,0.2933709449929478,0.8927038626609443,0.593037403826946,0.44161358811040335,0.4416135881104034,942,233,709
227,468,225,22,0.9116465863453815,0.3246753246753247,0.32661870503597124,0.9109311740890689,0.6181609555103531,0.4809322033898305,0.47983014861995754,942,249,693
203,498,216,25,0.8903508771929824,0.3025210084033613,0.289586305278174,0.8962655601659751,0.5964359427981719,0.43702906350914966,0.4447983014861996,942,228,714
196,516,205,25,0.8868778280542986,0.2843273231622746,0.2752808988764045,0.8913043478260869,0.5856025756082865,0.4201500535905681,0.4256900212314225,942,221,721
204,507,216,15,0.9315068493150684,0.2987551867219917,0.2869198312236287,0.935064935064935,0.6151310180185301,0.4387096774193548,0.445859872611465,942,219,723
202,492,230,18,0.9181818181818182,0.3185595567867036,0.2910662824207493,0.9274193548387096,0.6183706874842609,0.4420131291028446,0.4585987261146497,942,220,722
192,500,230,20,0.9056603773584906,0.3150684931506849,0.2774566473988439,0.92,0.6103644352545877,0.42477876106194684,0.44798301486199577,942,212,730
217,489,228,8,0.9644444444444444,0.3179916317991632,0.3073654390934844,0.9661016949152542,0.6412180381218038,0.46616541353383456,0.4723991507430998,942,225,717
209,494,215,24,0.8969957081545065,0.3032440056417489,0.2972972972972973,0.899581589958159,0.6001198568981276,0.44658119658119666,0.45010615711252655,942,233,709
208,506,214,14,0.9369369369369369,0.2972222222222222,0.2913165266106443,0.9385964912280702,0.6170795795795796,0.4444444444444444,0.44798301486199577,942,222,720
216,486,217,23,0.9037656903765691,0.30867709815078237,0.3076923076923077,0.9041666666666667,0.6062213942636757,0.459086078639745,0.4596602972399151,942,239,703
215,515,195,17,0.9267241379310345,0.2746478873239437,0.2945205479452055,0.9198113207547169,0.6006860126274891,0.44698544698544695,0.43524416135881105,942,232,710
209,512,209,12,0.9457013574660633,0.289875173370319,0.289875173370319,0.9457013574660633,0.6177882654181912,0.44373673036093414,0.4437367303609342,942,221,721
207,490,218,27,0.8846153846153846,0.307909604519774,0.296987087517934,0.889795918367347,0.5962624945675793,0.44468313641245977,0.45116772823779194,942,234,708
207,508,210,17,0.9241071428571429,0.2924791086350975,0.2895104895104895,0.9251101321585903,0.6082931257461202,0.44089456869009586,0.4426751592356688,942,224,718
204,500,219,19,0.9147982062780269,0.3045897079276773,0.2897727272727273,0.9201680672268907,0.6096939571028521,0.4401294498381877,0.44904458598726116,942,223,719
202,507,219,14,0.9351851851851852,0.30165289256198347,0.2849083215796897,0.9399141630901288,0.6184190388735844,0.43675675675675685,0.4469214437367304,942,216,726
223,484,217,18,0.9253112033195021,0.3095577746077033,0.31541725601131543,0.9234042553191489,0.6174344889636028,0.470464135021097,0.46709129511677283,942,241,701
208,492,218,24,0.896551724137931,0.30704225352112674,0.29714285714285715,0.9008264462809917,0.6017969888295289,0.4463519313304721,0.45222929936305734,942,232,710
184,521,224,13,0.934010152284264,0.3006711409395973,0.26099290780141843,0.9451476793248945,0.6173406466119307,0.4079822616407982,0.43312101910828027,942,197,745
196,488,243,15,0.9289099526066351,0.332421340629275,0.28654970760233917,0.9418604651162791,0.630665646617955,0.43798882681564244,0.46602972399150744,942,211,731
203,517,203,19,0.9144144144144144,0.28194444444444444,0.28194444444444444,0.9144144144144144,0.5981794294294294,0.4309978768577495,0.4309978768577495,942,222,720
190,520,213,19,0.9090909090909091,0.29058663028649384,0.2676056338028169,0.9181034482758621,0.5998387696887014,0.41349292709466806,0.4278131634819533,942,209,733
218,500,197,27,0.889795918367347,0.28263988522238165,0.30362116991643456,0.8794642857142857,0.5862179017948643,0.4527518172377985,0.440552016985138,942,245,697
192,501,232,17,0.9186602870813397,0.3165075034106412,0.27705627705627706,0.9317269076305221,0.6175838952459904,0.425720620842572,0.45010615711252655,942,209,733
205,474,242,21,0.9070796460176991,0.33798882681564246,0.3019145802650957,0.9201520912547528,0.6225342364166708,0.4530386740331492,0.4745222929936306,942,226,716
202,498,219,23,0.8977777777777778,0.3054393305439331,0.2885714285714286,0.9049586776859504,0.6016085541608555,0.43675675675675674,0.4469214437367304,942,225,717
211,506,203,22,0.9055793991416309,0.2863187588152327,0.29428172942817293,0.9022222222222223,0.5959490789784319,0.4442105263157895,0.4394904458598726,942,233,709
214,510,191,27,0.8879668049792531,0.2724679029957204,0.2955801104972376,0.8761467889908257,0.5802173539874868,0.44352331606217626,0.4299363057324841,942,241,701
178,522,224,18,0.9081632653061225,0.3002680965147453,0.2542857142857143,0.9256198347107438,0.6042156809104339,0.3973214285714286,0.4267515923566879,942,196,746
228,491,202,21,0.9156626506024096,0.29148629148629146,0.31710709318497915,0.905829596412556,0.6035744710443505,0.47107438016528924,0.4564755838641189,942,249,693
201,505,215,21,0.9054054054054054,0.2986111111111111,0.2847025495750708,0.9110169491525424,0.6020082582582582,0.4331896551724137,0.4416135881104034,942,222,720
199,494,222,27,0.8805309734513275,0.3100558659217877,0.28715728715728717,0.891566265060241,0.5952934196865576,0.43307943416757344,0.4469214437367304,942,226,716
188,512,219,23,0.8909952606635071,0.29958960328317374,0.26857142857142857,0.9049586776859504,0.5952924319733404,0.4127332601536773,0.4320594479830149,942,211,731
186,500,221,35,0.8416289592760181,0.3065187239944521,0.27113702623906705,0.86328125,0.5740738416352351,0.4101433296582139,0.4320594479830149,942,221,721
186,534,201,21,0.8985507246376812,0.27346938775510204,0.25833333333333336,0.9054054054054054,0.5860100561963916,0.4012944983818771,0.410828025477707,942,207,735
203,500,216,23,0.8982300884955752,0.3016759776536313,0.2887624466571835,0.9037656903765691,0.5999530330746032,0.4370290635091496,0.4447983014861996,942,226,716
208,512,195,27,0.8851063829787233,0.2758132956152758,0.28888888888888886,0.8783783783783784,0.5804598392969995,0.43560209424083773,0.4278131634819533,942,235,707
202,500,219,21,0.905829596412556,0.3045897079276773,0.28774928774928776,0.9125,0.6052096521701167,0.4367567567567568,0.4469214437367304,942,223,719
217,495,207,23,0.9041666666666667,0.2948717948717949,0.3047752808988764,0.9,0.5995192307692307,0.4558823529411764,0.45010615711252655,942,240,702
169,520,233,20,0.8941798941798942,0.3094289508632138,0.24528301886792453,0.9209486166007905,0.601804422521554,0.38496583143507973,0.4267515923566879,942,189,753
192,497,237,16,0.9230769230769231,0.3228882833787466,0.27866473149492016,0.9367588932806324,0.6229826032278348,0.4280936454849498,0.4554140127388535,942,208,734
215,500,202,25,0.8958333333333334,0.28774928774928776,0.3006993006993007,0.8898678414096917,0.5917913105413106,0.450261780104712,0.4426751592356688,942,240,702
209,513,199,21,0.908695652173913,0.2794943820224719,0.2894736842105263,0.9045454545454545,0.5940950170981925,0.4390756302521008,0.43312101910828027,942,230,712
213,503,202,24,0.8987341772151899,0.2865248226950355,0.29748603351955305,0.8938053097345132,0.5926294999551127,0.4470094438614901,0.440552016985138,942,237,705
195,501,229,17,0.9198113207547169,0.3136986301369863,0.2801724137931034,0.9308943089430894,0.6167549754458517,0.42951541850220265,0.45010615711252655,942,212,730
209,497,214,22,0.9047619047619048,0.3009845288326301,0.29603399433427763,0.9067796610169492,0.6028732167972675,0.4461045891141942,0.44904458598726116,942,231,711
214,495,213,20,0.9145299145299145,0.3008474576271186,0.3018335684062059,0.9141630901287554,0.6076886860785166,0.45387062566277836,0.45329087048832273,942,234,708
205,485,234,18,0.9192825112107623,0.325452016689847,0.2971014492753623,0.9285714285714286,0.6223672639503046,0.44906900328587074,0.46602972399150744,942,223,719
215,503,202,22,0.9071729957805907,0.2865248226950355,0.2994428969359331,0.9017857142857143,0.5968489092378131,0.450261780104712,0.4426751592356688,942,237,705
210,503,213,16,0.9292035398230089,0.29748603351955305,0.29453015427769985,0.9301310043668122,0.6133447866712809,0.4472843450479233,0.44904458598726116,942,226,716
224,481,226,11,0.9531914893617022,0.31966053748231965,0.3177304964539007,0.9535864978902954,0.6364260134220109,0.47659574468085114,0.47770700636942676,942,235,707
202,505,220,15,0.9308755760368663,0.30344827586206896,0.2857142857142857,0.9361702127659575,0.6171619259494676,0.43722943722943713,0.44798301486199577,942,217,725
202,498,220,22,0.9017857142857143,0.3064066852367688,0.2885714285714286,0.9090909090909091,0.6040961997612415,0.43722943722943725,0.44798301486199577,942,224,718
207,513,204,18,0.92,0.28451882845188287,0.2875,0.918918918918919,0.6022594142259414,0.4380952380952381,0.43630573248407645,942,225,717
212,500,211,19,0.9177489177489178,0.2967651195499297,0.29775280898876405,0.9173913043478261,0.6072570186494237,0.44962884411452814,0.44904458598726116,942,231,711
212,520,200,10,0.954954954954955,0.2777777777777778,0.2896174863387978,0.9523809523809523,0.6163663663663663,0.4444444444444444,0.43736730360934184,942,222,720
222,496,205,19,0.921161825726141,0.29243937232524964,0.30919220055710306,0.9151785714285714,0.6068005990256953,0.4629822732012513,0.45329087048832273,942,241,701
196,513,225,8,0.9607843137254902,0.3048780487804878,0.2764456981664316,0.9656652360515021,0.632831181252989,0.4293537787513691,0.4469214437367304,942,204,738
219,515,185,23,0.9049586776859504,0.2642857142857143,0.29836512261580383,0.8894230769230769,0.5846221959858323,0.4487704918032787,0.4288747346072187,942,242,700
186,478,256,22,0.8942307692307693,0.34877384196185285,0.28012048192771083,0.920863309352518,0.621502305596311,0.4266055045871559,0.4692144373673036,942,208,734
197,509,219,17,0.9205607476635514,0.3008241758241758,0.2790368271954674,0.9279661016949152,0.6106924617438636,0.42826086956521736,0.4416135881104034,942,214,728
179,546,199,18,0.9086294416243654,0.26711409395973157,0.24689655172413794,0.9170506912442397,0.5878717677920485,0.3882863340563992,0.4012738853503185,942,197,745
201,508,214,19,0.9136363636363637,0.296398891966759,0.2834978843441467,0.9184549356223176,0.6050176278015613,0.43272335844994614,0.440552016985138,942,220,722
204,502,220,16,0.9272727272727272,0.3047091412742382,0.28895184135977336,0.9322033898305084,0.6159909342734827,0.4406047516198704,0.45010615711252655,942,220,722
208,497,228,9,0.9585253456221198,0.31448275862068964,0.2950354609929078,0.9620253164556962,0.6365040521214047,0.45119305856832975,0.46284501061571126,942,217,725
206,512,200,24,0.8956521739130435,0.2808988764044944,0.28690807799442897,0.8928571428571429,0.588275525158769,0.4345991561181435,0.4309978768577495,942,230,712
205,474,234,29,0.8760683760683761,0.3305084745762712,0.3019145802650957,0.8897338403041825,0.6032884253223236,0.44906900328587074,0.46602972399150744,942,234,708
200,519,210,13,0.9389671361502347,0.2880658436213992,0.27816411682892905,0.9417040358744395,0.613516489885817,0.42918454935622313,0.43524416135881105,942,213,729
211,505,214,12,0.9461883408071748,0.29763560500695413,0.2946927374301676,0.9469026548672567,0.6219119729070645,0.44941427050053245,0.45116772823779194,942,223,719
191,504,232,15,0.9271844660194175,0.31521739130434784,0.27482014388489207,0.9392712550607287,0.6212009286618827,0.42397336293007765,0.44904458598726116,942,206,736
237,473,216,16,0.9367588932806324,0.3134978229317852,0.33380281690140845,0.9310344827586207,0.6251283581062088,0.4922118380062305,0.48089171974522293,942,253,689
203,506,212,21,0.90625,0.29526462395543174,0.2863187588152327,0.9098712446351931,0.6007573119777159,0.4351554126473741,0.440552016985138,942,224,718
208,487,227,20,0.9122807017543859,0.3179271708683473,0.2992805755395683,0.9190283400809717,0.6151039363113666,0.45070422535211274,0.46178343949044587,942,228,714
190,521,215,16,0.9223300970873787,0.2921195652173913,0.2672292545710267,0.9307359307359307,0.607224831152385,0.4143947655398037,0.4299363057324841,942,206,736
190,497,236,19,0.9090909090909091,0.3219645293315143,0.2765647743813683,0.9254901960784314,0.6155277192112116,0.4241071428571429,0.45222929936305734,942,209,733
207,491,228,16,0.9282511210762332,0.31710709318497915,0.29656160458452724,0.9344262295081968,0.6226791071306061,0.44951140065146583,0.46178343949044587,942,223,719
206,496,227,13,0.9406392694063926,0.313969571230982,0.2934472934472934,0.9458333333333333,0.6273044203186873,0.44733984799131377,0.4596602972399151,942,219,723
211,477,234,20,0.9134199134199135,0.3291139240506329,0.3066860465116279,0.9212598425196851,0.6212669187352732,0.4591947769314472,0.4723991507430998,942,231,711
203,517,208,14,0.9354838709677419,0.2868965517241379,0.28194444444444444,0.9369369369369369,0.6111902113459399,0.4332977588046958,0.43630573248407645,942,217,725
200,515,216,11,0.9478672985781991,0.2954856361149111,0.27972027972027974,0.9515418502202643,0.6216764673465551,0.4319654427645789,0.4416135881104034,942,211,731
208,510,208,16,0.9285714285714286,0.28969359331476324,0.28969359331476324,0.9285714285714286,0.609132510943096,0.4416135881104034,0.4416135881104034,942,224,718
212,507,210,13,0.9422222222222222,0.2928870292887029,0.2948539638386648,0.9417040358744395,0.6175546257554625,0.4491525423728814,0.44798301486199577,942,225,717
194,527,202,19,0.9107981220657277,0.27709190672153633,0.26907073509015256,0.9140271493212669,0.593945014393632,0.41541755888650955,0.42038216560509556,942,213,729
219,512,194,17,0.9279661016949152,0.2747875354107649,0.29958960328317374,0.919431279620853,0.6013768185528401,0.452947259565667,0.43842887473460723,942,236,706
196,520,204,22,0.8990825688073395,0.281767955801105,0.2737430167597765,0.9026548672566371,0.5904252623042222,0.41970021413276226,0.42462845010615713,942,218,724
194,521,207,20,0.9065420560747663,0.28434065934065933,0.27132867132867133,0.9118942731277533,0.5954413577077129,0.4176533907427341,0.4256900212314225,942,214,728
212,466,240,24,0.8983050847457628,0.33994334277620397,0.31268436578171094,0.9090909090909091,0.6191242137609834,0.46389496717724293,0.47983014861995754,942,236,706
192,501,232,17,0.9186602870813397,0.3165075034106412,0.27705627705627706,0.9317269076305221,0.6175838952459904,0.425720620842572,0.45010615711252655,942,209,733
215,492,218,17,0.9267241379310345,0.30704225352112674,0.3041018387553041,0.9276595744680851,0.6168831957260806,0.45793397231096916,0.4596602972399151,942,232,710
212,490,219,21,0.9098712446351931,0.30888575458392104,0.301994301994302,0.9125,0.609378499609557,0.453475935828877,0.4575371549893843,942,233,709
201,510,217,14,0.9348837209302325,0.2984869325997249,0.28270042194092826,0.9393939393939394,0.6166853267649788,0.43412526997840173,0.4437367303609342,942,215,727
220,475,226,21,0.9128630705394191,0.3223965763195435,0.31654676258992803,0.9149797570850202,0.6176298234294813,0.4700854700854701,0.4734607218683652,942,241,701
189,522,213,18,0.9130434782608695,0.2897959183673469,0.26582278481012656,0.922077922077922,0.6014196983141082,0.4117647058823529,0.4267515923566879,942,207,735
178,526,212,26,0.8725490196078431,0.2872628726287263,0.2528409090909091,0.8907563025210085,0.5799059461182847,0.3920704845814978,0.4140127388535032,942,204,738
204,480,231,27,0.8831168831168831,0.32489451476793246,0.2982456140350877,0.8953488372093024,0.6040056989424077,0.44590163934426225,0.46178343949044587,942,231,711
214,478,236,14,0.9385964912280702,0.33053221288515405,0.3092485549132948,0.944,0.6345643520566121,0.46521739130434775,0.47770700636942676,942,228,714
209,486,228,19,0.9166666666666666,0.31932773109243695,0.30071942446043165,0.9230769230769231,0.6179971988795518,0.4528710725893825,0.46390658174097665,942,228,714
208,508,208,18,0.9203539823008849,0.2905027932960894,0.2905027932960894,0.9203539823008849,0.6054283877984872,0.4416135881104034,0.4416135881104034,942,226,716
212,516,191,23,0.902127659574468,0.27015558698727016,0.29120879120879123,0.8925233644859814,0.5861416232808692,0.44029075804776735,0.4278131634819533,942,235,707
187,519,218,18,0.9121951219512195,0.29579375848032563,0.26487252124645894,0.923728813559322,0.6039944402157726,0.4105378704720088,0.4299363057324841,942,205,737
215,483,226,18,0.9227467811158798,0.31875881523272215,0.30802292263610315,0.9262295081967213,0.620752798174301,0.4618689581095596,0.4681528662420382,942,233,709
214,479,218,31,0.8734693877551021,0.3127690100430416,0.3088023088023088,0.8755020080321285,0.5931191988990718,0.45628997867803833,0.4585987261146497,942,245,697
212,508,204,18,0.9217391304347826,0.28651685393258425,0.29444444444444445,0.918918918918919,0.6041279921836834,0.4463157894736842,0.4416135881104034,942,230,712
195,506,217,24,0.8904109589041096,0.30013831258644535,0.2781740370898716,0.9004149377593361,0.5952746357452775,0.42391304347826086,0.43736730360934184,942,219,723
198,493,228,23,0.8959276018099548,0.31622746185852985,0.2865412445730825,0.9083665338645418,0.6060775318342423,0.43421052631578944,0.45222929936305734,942,221,721
198,482,237,25,0.8878923766816144,0.32962447844228093,0.2911764705882353,0.9045801526717557,0.6087584275619476,0.4385382059800665,0.46178343949044587,942,223,719
227,488,205,22,0.9116465863453815,0.2958152958152958,0.3174825174825175,0.9030837004405287,0.6037309410803386,0.470954356846473,0.4585987261146497,942,249,693
208,504,210,20,0.9122807017543859,0.29411764705882354,0.29213483146067415,0.9130434782608695,0.6031991744066048,0.4425531914893617,0.4437367303609342,942,228,714
183,522,217,20,0.9014778325123153,0.2936400541271989,0.25957446808510637,0.9156118143459916,0.5975589433197571,0.4030837004405286,0.42462845010615713,942,203,739
213,501,207,21,0.9102564102564102,0.2923728813559322,0.29831932773109243,0.9078947368421053,0.6013146458061712,0.44936708860759494,0.445859872611465,942,234,708
195,504,224,19,0.9112149532710281,0.3076923076923077,0.27896995708154504,0.9218106995884774,0.6094536304816679,0.4271631982475355,0.4447983014861996,942,214,728
193,523,211,15,0.9278846153846154,0.28746594005449594,0.26955307262569833,0.9336283185840708,0.6076752777195557,0.41774891774891776,0.4288747346072187,942,208,734
202,518,208,14,0.9351851851851852,0.2865013774104683,0.28055555555555556,0.9369369369369369,0.6108432812978268,0.4316239316239316,0.43524416135881105,942,216,726
191,523,210,18,0.9138755980861244,0.286493860845839,0.26750700280112044,0.9210526315789473,0.6001847294659817,0.4138678223185266,0.4256900212314225,942,209,733
179,514,233,16,0.9179487179487179,0.3119143239625167,0.2582972582972583,0.9357429718875502,0.6149315209556173,0.40315315315315314,0.43736730360934184,942,195,747
185,500,237,20,0.9024390243902439,0.32157394843962006,0.27007299270072993,0.9221789883268483,0.6120064864149319,0.4157303370786517,0.44798301486199577,942,205,737
