outcome,bin,n,mean_predicted_probability,observed_event_rate,absolute_calibration_error,positives,negatives
victimization,"(0.2, 0.3]",208,0.2979397781299525,0.28846153846153844,0.009478239668414046,60,148
victimization,"(0.5, 0.6]",615,0.5093934514224369,0.5089430894308943,0.0004503619915425805,313,302
victimization,"(0.7, 0.8]",119,0.7824773413897279,0.773109243697479,0.009368097692248889,92,27
perpetration,"(0.3, 0.4]",13,0.380548901282824,0.0,0.380548901282824,0,13
perpetration,"(0.4, 0.5]",223,0.45896972281515863,0.08520179372197309,0.37376792909318557,19,204
perpetration,"(0.5, 0.6]",361,0.5498718206572071,0.21329639889196675,0.33657542176524036,77,284
perpetration,"(0.6, 0.7]",229,0.6450455443827866,0.314410480349345,0.3306350640334416,72,157
perpetration,"(0.7, 0.8]",93,0.7385031164333384,0.44086021505376344,0.297642901379575,41,52
perpetration,"(0.8, 0.9]",23,0.8336425164471502,0.5217391304347826,0.31190338601236756,12,11
overlap,"(0.1, 0.2]",36,0.16700646773193706,0.0,0.16700646773193706,0,36
overlap,"(0.2, 0.3]",102,0.26001574255143134,0.06862745098039216,0.19138829157103918,7,95
overlap,"(0.3, 0.4]",148,0.3503385229358064,0.05405405405405406,0.29628446888175236,8,140
overlap,"(0.4, 0.5]",157,0.4522454582403585,0.12101910828025478,0.3312263499601037,19,138
overlap,"(0.5, 0.6]",167,0.5467751153219903,0.1437125748502994,0.4030625404716909,24,143
overlap,"(0.6, 0.7]",118,0.6477226170625363,0.2457627118644068,0.4019599051981295,29,89
overlap,"(0.7, 0.8]",100,0.7494311678075469,0.31,0.43943116780754693,31,69
overlap,"(0.8, 0.9]",77,0.8473413569628537,0.4805194805194805,0.3668218764433732,37,40
overlap,"(0.9, 1.0]",37,0.9325951109818224,0.6216216216216216,0.31097348936020075,23,14
