outcome,threshold,prevalence,net_benefit_model,net_benefit_screen_all,net_benefit_screen_none,net_benefit_model_minus_all,net_benefit_model_minus_none,standardized_net_benefit_model
overlap,0.01,0.18895966029723993,0.1807673336335757,0.1807673336335757,0.0,0.0,0.1807673336335757,0.9566451027125185
overlap,0.02,0.18895966029723993,0.17240781662983667,0.17240781662983667,0.0,0.0,0.17240781662983667,0.9124054116028435
overlap,0.03,0.18895966029723993,0.16387593845076281,0.16387593845076281,0.0,0.0,0.16387593845076281,0.8672535619135874
overlap,0.04,0.18895966029723993,0.15516631280962492,0.15516631280962492,0.0,0.0,0.15516631280962492,0.8211610486891385
overlap,0.05,0.18895966029723993,0.1462733266286736,0.1462733266286736,0.0,0.0,0.1462733266286736,0.7740981667652276
overlap,0.06,0.18895966029723993,0.13719112797578714,0.13719112797578714,0.0,0.0,0.13719112797578714,0.726033946928042
overlap,0.07,0.18895966029723993,0.12791361322283862,0.12791361322283862,0.0,0.0,0.12791361322283862,0.6769360879545728
overlap,0.08,0.18895966029723993,0.11843441336656514,0.11843441336656514,0.0,0.0,0.11843441336656514,0.626770884220811
overlap,0.09,0.18895966029723993,0.1087468794475164,0.1087468794475164,0.0,0.0,0.1087468794475164,0.5755031485368565
overlap,0.1,0.18895966029723993,0.09884406699693324,0.09884406699693324,0.0,0.0,0.09884406699693324,0.5230961298377028
overlap,0.11,0.18895966029723993,0.08871871943510104,0.08871871943510104,0.0,0.0,0.08871871943510104,0.4695114253250852
overlap,0.12,0.18895966029723993,0.07879752943447213,0.07836325033777265,0.0,0.0004342790966994775,0.07879752943447213,0.41700715015321765
overlap,0.13,0.18895966029723993,0.06840422676135392,0.06776972447958611,0.0,0.0006345022817678125,0.06840422676135392,0.36200439106289545
overlap,0.14,0.18895966029723993,0.05779390707549498,0.05692983755493014,0.0,0.0008640695205648363,0.05779390707549498,0.30585314868042845
overlap,0.15,0.18895966029723993,0.04695891095291618,0.04583489446734107,0.0,0.0011240164855751134,0.04695891095291618,0.24851288830138787
overlap,0.16,0.18895966029723993,0.0364978263067435,0.03447578606814275,0.0,0.002022040238600753,0.0364978263067435,0.19315141787051898
overlap,0.17,0.18895966029723993,0.02675670836211086,0.022842964213542066,0.0,0.003913744148568793,0.02675670836211086,0.14160010829836195
overlap,0.18,0.18895966029723993,0.0172181658122314,0.010926414996634076,0.0,0.0062917508155973245,0.0172181658122314,0.09112085502877516
overlap,0.19,0.18895966029723993,0.005936934811669431,-0.0012843700034075034,0.0,0.007221304815076934,0.005936934811669431,0.03141905950894721
overlap,0.2,0.18895966029723993,-0.00424628450106157,-0.013800424628450103,0.0,0.009554140127388533,-0.00424628450106157,-0.022471910112359543
overlap,0.21,0.18895966029723993,-0.015345749684216176,-0.02663334139589882,0.0,0.011287591711682643,-0.015345749684216176,-0.08121177641871706
overlap,0.22,0.18895966029723993,-0.025423267461484017,-0.039795307311230876,0.0,0.01437203984974686,-0.025423267461484017,-0.13454335926246036
overlap,0.23,0.18895966029723993,-0.03681032343452725,-0.05329914247111697,0.0,0.01648881903658972,-0.03681032343452725,-0.1948051948051948
overlap,0.24,0.18895966029723993,-0.04777070063694264,-0.06715834171415797,0.0,0.01938764107721533,-0.04777070063694264,-0.25280898876404473
overlap,0.25,0.18895966029723993,-0.05944798301486198,-0.08138711960368011,0.0,0.02193913658881813,-0.05944798301486198,-0.3146067415730336
overlap,0.26,0.18895966029723993,-0.06897343203075687,-0.09600045905778393,0.0,0.027027027027027056,-0.06897343203075687,-0.36501670209535375
overlap,0.27,0.18895966029723993,-0.07886164674403048,-0.1110141639763837,0.0,0.03215251723235321,-0.07886164674403048,-0.417346467600431
overlap,0.28,0.18895966029723993,-0.0866949752300071,-0.12644491625383353,0.0,0.039749941023826424,-0.0866949752300071,-0.45880149812734095
overlap,0.29,0.18895966029723993,-0.09428545797075447,-0.14231033760952128,0.0,0.04802487963876681,-0.09428545797075447,-0.49897135622725114
overlap,0.3,0.18895966029723993,-0.10646041856232943,-0.15862905671822874,0.0,0.05216863815589931,-0.10646041856232943,-0.563402889245586
overlap,0.31,0.18895966029723993,-0.11486507277146993,-0.17542078217791324,0.0,0.06055570940644331,-0.11486507277146993,-0.6078814525321611
overlap,0.32,0.18895966029723993,-0.12382914949419263,-0.19270638191582368,0.0,0.06887723242163105,-0.12382914949419263,-0.6553205551883677
overlap,0.33,0.18895966029723993,-0.12960674335329728,-0.21050796970561214,0.0,0.08090122635231486,-0.12960674335329728,-0.6858963608921687
