threshold,accuracy,balanced_accuracy,precision_ppv,recall_sensitivity,specificity,npv,f1_positive,TP,FP,TN,FN,support
0.001,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,,0.3178571428571429,178,764,0,0,942
0.002,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,,0.3178571428571429,178,764,0,0,942
0.003,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,,0.3178571428571429,178,764,0,0,942
0.004,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,,0.3178571428571429,178,764,0,0,942
0.005,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,,0.3178571428571429,178,764,0,0,942
0.006,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,,0.3178571428571429,178,764,0,0,942
0.007,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,,0.3178571428571429,178,764,0,0,942
0.008,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,,0.3178571428571429,178,764,0,0,942
0.009,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,,0.3178571428571429,178,764,0,0,942
0.01,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,,0.3178571428571429,178,764,0,0,942
0.011,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,,0.3178571428571429,178,764,0,0,942
0.012,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,,0.3178571428571429,178,764,0,0,942
0.013,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,,0.3178571428571429,178,764,0,0,942
0.014,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,,0.3178571428571429,178,764,0,0,942
0.015,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,,0.3178571428571429,178,764,0,0,942
0.016,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,,0.3178571428571429,178,764,0,0,942
0.017,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,,0.3178571428571429,178,764,0,0,942
0.018,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,,0.3178571428571429,178,764,0,0,942
0.019,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,,0.3178571428571429,178,764,0,0,942
0.02,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,,0.3178571428571429,178,764,0,0,942
0.021,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,,0.3178571428571429,178,764,0,0,942
0.022,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,,0.3178571428571429,178,764,0,0,942
0.023,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,,0.3178571428571429,178,764,0,0,942
0.024,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,,0.3178571428571429,178,764,0,0,942
0.025,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,,0.3178571428571429,178,764,0,0,942
0.026,0.18895966029723993,0.5,0.18895966029723993,1.0,0.0,,0.3178571428571429,178,764,0,0,942
