V.SUM.TOTAL,P.SUM.TOTAL,PAÍS,ETNIA.BN,EDAD,GENERO_BIN_0,GENERO_BIN_1,ORIENTSEX.BN_1,ORIENTSEX.BN_2,INTERSECT,idx_original
0.0,6.0,1,0.0,17.0,1,0,1,0,0,2707
3.0,0.0,1,1.0,17.0,0,1,1,0,0,729
0.0,0.0,1,0.0,15.0,1,0,1,0,0,2441
0.0,0.0,1,0.0,15.0,1,0,1,0,0,1799
0.0,0.0,1,0.0,16.0,1,0,1,0,0,1774
0.0,0.0,2,0.0,17.0,1,0,1,0,0,937
0.0,0.0,1,0.0,14.0,0,1,1,0,0,882
0.0,0.0,1,0.0,17.0,1,0,1,0,0,309
1.0,0.0,1,0.0,16.0,0,1,1,0,0,1593
1.0,0.0,1,1.0,15.0,0,1,1,0,0,2896
1.0,0.0,1,0.0,16.0,1,0,1,0,0,1005
0.0,0.0,1,0.0,14.0,1,0,1,0,0,330
0.0,3.0,2,1.0,17.0,1,0,1,0,0,3129
0.0,0.0,2,1.0,16.0,1,0,0,1,0,3322
0.0,0.0,1,0.0,17.0,0,1,1,0,0,1618
5.0,0.0,1,0.0,15.0,0,1,1,0,0,3424
0.0,0.0,2,1.0,16.0,1,0,1,0,0,1219
1.0,1.0,1,0.0,15.0,0,1,1,0,1,3096
0.0,0.0,1,0.0,16.0,1,0,1,0,0,1994
0.0,0.0,2,0.0,14.0,1,0,1,0,0,2781
1.0,0.0,2,1.0,15.0,0,1,1,0,0,1409
5.0,4.0,1,1.0,16.0,0,1,1,0,1,278
3.0,0.0,1,1.0,16.0,1,0,1,0,0,2326
0.0,0.0,1,0.0,16.0,0,1,1,0,0,643
0.0,0.0,1,0.0,15.0,0,1,0,1,0,1108
0.0,0.0,1,0.0,14.0,0,1,1,0,0,1683
0.0,0.0,1,0.0,15.0,0,1,1,0,0,1755
0.0,0.0,1,0.0,17.0,0,1,1,0,0,375
5.0,0.0,1,0.0,14.0,1,0,0,1,0,2414
0.0,0.0,1,0.0,14.0,1,0,1,0,0,1659
0.0,0.0,2,1.0,17.0,1,0,1,0,0,311
5.0,0.0,1,0.0,16.0,0,1,1,0,0,2571
3.0,0.0,1,0.0,14.0,0,1,1,0,0,3545
4.0,1.0,1,1.0,15.0,0,1,0,1,1,349
3.0,2.0,1,0.0,16.0,0,1,0,1,1,16
1.0,0.0,1,0.0,16.0,0,1,1,0,0,3126
0.0,0.0,1,0.0,17.0,1,0,1,0,0,2687
0.0,1.0,1,1.0,16.0,1,0,1,0,0,1850
0.0,1.0,1,0.0,17.0,1,0,1,0,0,706
8.0,1.0,1,1.0,16.0,0,1,1,0,1,670
0.0,0.0,2,1.0,17.0,0,1,1,0,0,3310
1.0,0.0,1,0.0,17.0,1,0,0,1,0,1608
0.0,0.0,1,0.0,15.0,1,0,1,0,0,2967
0.0,0.0,1,0.0,15.0,0,1,1,0,0,2260
5.0,1.0,1,0.0,16.0,0,1,1,0,1,2346
1.0,0.0,1,1.0,15.0,1,0,1,0,0,1155
0.0,0.0,1,0.0,16.0,1,0,1,0,0,3474
0.0,0.0,1,0.0,17.0,0,1,1,0,0,735
0.0,0.0,1,0.0,15.0,1,0,1,0,0,1671
1.0,0.0,1,0.0,14.0,1,0,1,0,0,3043
0.0,0.0,1,0.0,14.0,0,1,0,1,0,506
0.0,0.0,1,0.0,17.0,1,0,1,0,0,116
1.0,0.0,1,0.0,16.0,1,0,0,1,0,2946
0.0,1.0,1,1.0,17.0,1,0,1,0,0,3514
1.0,0.0,1,0.0,16.0,1,0,1,0,0,692
0.0,0.0,2,1.0,17.0,0,1,0,1,0,1534
0.0,0.0,1,0.0,15.0,1,0,1,0,0,2760
1.0,1.0,2,0.0,14.0,0,1,0,1,1,3631
0.0,0.0,1,1.0,16.0,1,0,1,0,0,2040
0.0,0.0,1,1.0,15.0,1,0,1,0,0,1131
6.0,0.0,2,0.0,14.0,1,0,1,0,0,3753
0.0,0.0,1,1.0,16.0,1,0,1,0,0,1169
0.0,0.0,1,1.0,15.0,1,0,1,0,0,3724
2.0,0.0,1,1.0,16.0,0,1,1,0,0,1326
0.0,0.0,1,1.0,16.0,0,1,1,0,0,3366
0.0,0.0,1,0.0,17.0,1,0,0,1,0,3066
3.0,2.0,1,1.0,15.0,1,0,1,0,1,1128
1.0,1.0,1,0.0,14.0,1,0,1,0,1,3704
0.0,0.0,1,0.0,17.0,1,0,1,0,0,1340
4.0,1.0,1,1.0,15.0,1,0,1,0,1,2985
2.0,0.0,1,0.0,17.0,1,0,1,0,0,2604
2.0,0.0,1,0.0,17.0,1,0,1,0,0,1020
1.0,0.0,1,1.0,15.0,0,1,1,0,0,451
6.0,0.0,1,0.0,15.0,0,1,1,0,0,557
0.0,0.0,1,1.0,14.0,1,0,1,0,0,2759
0.0,0.0,1,1.0,14.0,1,0,1,0,0,3222
15.0,4.0,1,0.0,14.0,0,1,1,0,1,2810
1.0,1.0,1,0.0,17.0,0,1,1,0,1,143
1.0,1.0,2,1.0,16.0,1,0,1,0,1,3466
0.0,0.0,1,0.0,16.0,0,1,1,0,0,2622
0.0,0.0,1,0.0,16.0,0,1,1,0,0,3099
0.0,0.0,1,0.0,16.0,0,1,1,0,0,2147
0.0,0.0,2,1.0,14.0,1,0,1,0,0,2224
0.0,0.0,1,0.0,17.0,1,0,1,0,0,583
0.0,0.0,1,0.0,16.0,1,0,1,0,0,3485
2.0,1.0,2,0.0,17.0,0,1,1,0,1,3400
3.0,3.0,1,1.0,15.0,1,0,1,0,1,1523
0.0,0.0,1,0.0,16.0,1,0,1,0,0,2575
1.0,3.0,1,0.0,16.0,1,0,1,0,1,2696
1.0,0.0,1,0.0,14.0,0,1,1,0,0,2720
1.0,0.0,1,0.0,14.0,1,0,0,1,0,3549
2.0,1.0,1,0.0,17.0,0,1,1,0,1,2328
5.0,0.0,2,1.0,16.0,0,1,0,1,0,2949
0.0,0.0,1,0.0,14.0,1,0,1,0,0,3232
0.0,0.0,1,0.0,16.0,1,0,1,0,0,2611
0.0,0.0,1,0.0,14.0,0,1,1,0,0,1040
1.0,2.0,1,0.0,16.0,0,1,1,0,1,608
1.0,0.0,1,0.0,14.0,1,0,1,0,0,41
0.0,0.0,1,0.0,15.0,0,1,1,0,0,1422
1.0,0.0,1,0.0,15.0,1,0,1,0,0,1165
0.0,0.0,1,0.0,16.0,1,0,1,0,0,176
6.0,2.0,1,0.0,14.0,1,0,0,1,1,2052
0.0,0.0,2,1.0,15.0,1,0,1,0,0,3195
0.0,0.0,1,1.0,15.0,1,0,1,0,0,1756
0.0,0.0,1,0.0,16.0,1,0,1,0,0,585
0.0,0.0,1,0.0,15.0,0,1,1,0,0,3538
0.0,0.0,1,1.0,15.0,1,0,1,0,0,394
0.0,0.0,1,0.0,17.0,0,1,1,0,0,274
0.0,0.0,1,0.0,16.0,1,0,1,0,0,1548
0.0,0.0,1,0.0,16.0,1,0,1,0,0,1585
0.0,0.0,2,1.0,15.0,0,1,1,0,0,2957
0.0,0.0,2,0.0,17.0,0,1,0,1,0,1529
0.0,0.0,1,0.0,15.0,0,1,0,1,0,1769
2.0,0.0,1,0.0,16.0,0,1,0,1,0,3381
3.0,0.0,1,1.0,15.0,0,1,1,0,0,2794
0.0,0.0,1,0.0,16.0,0,1,1,0,0,1797
9.0,7.0,1,0.0,14.0,1,0,1,0,1,1423
0.0,0.0,1,1.0,17.0,0,1,1,0,0,313
0.0,0.0,1,0.0,15.0,0,1,1,0,0,1229
0.0,0.0,1,0.0,15.0,0,1,1,0,0,1811
18.0,9.0,1,1.0,17.0,0,1,1,0,1,1947
0.0,0.0,1,0.0,17.0,0,1,1,0,0,622
2.0,0.0,1,0.0,14.0,0,1,1,0,0,2132
0.0,0.0,1,0.0,14.0,0,1,1,0,0,3085
2.0,0.0,1,0.0,15.0,1,0,1,0,0,1642
4.0,1.0,1,1.0,17.0,0,1,1,0,1,251
8.0,3.0,1,0.0,15.0,1,0,1,0,1,2926
0.0,0.0,1,0.0,17.0,0,1,1,0,0,2542
3.0,2.0,1,0.0,15.0,0,1,1,0,1,669
0.0,0.0,1,0.0,15.0,1,0,1,0,0,1227
0.0,0.0,1,1.0,15.0,1,0,1,0,0,2677
0.0,0.0,1,0.0,15.0,0,1,1,0,0,2440
4.0,0.0,1,0.0,17.0,0,1,1,0,0,707
0.0,0.0,1,1.0,15.0,0,1,1,0,0,323
0.0,0.0,1,0.0,15.0,1,0,1,0,0,1432
1.0,0.0,1,0.0,15.0,0,1,1,0,0,387
0.0,0.0,1,0.0,15.0,1,0,1,0,0,1141
0.0,0.0,1,0.0,16.0,1,0,1,0,0,10
0.0,0.0,1,0.0,15.0,0,1,1,0,0,2089
4.0,0.0,1,0.0,17.0,0,1,1,0,0,1617
1.0,0.0,1,0.0,14.0,0,1,1,0,0,3029
1.0,0.0,2,1.0,15.0,1,0,1,0,0,2173
0.0,0.0,1,0.0,15.0,1,0,1,0,0,861
0.0,1.0,1,0.0,16.0,1,0,0,1,0,1721
7.0,0.0,1,0.0,16.0,0,1,1,0,0,1801
7.0,1.0,1,0.0,15.0,1,0,0,1,1,748
2.0,0.0,1,0.0,16.0,1,0,1,0,0,3241
0.0,0.0,1,1.0,15.0,1,0,1,0,0,1147
2.0,2.0,1,0.0,16.0,0,1,1,0,1,2491
0.0,0.0,1,0.0,15.0,1,0,1,0,0,1324
2.0,0.0,1,0.0,16.0,0,1,0,1,0,280
0.0,0.0,1,0.0,17.0,0,1,1,0,0,1373
0.0,0.0,1,1.0,15.0,0,1,1,0,0,2902
0.0,0.0,1,0.0,14.0,1,0,1,0,0,989
0.0,0.0,1,0.0,17.0,1,0,1,0,0,193
