outcome,subgroup_variable,level,n,positives,negatives,TP,FP,TN,FN,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,fpr,fnr
overlap,age_group,14-15,505,101,404,88,195,209,13,0.8712871287128713,0.5173267326732673,0.31095406360424027,0.9414414414414415,0.6943069306930694,0.45833333333333337,0.5881188118811881,0.48267326732673266,0.12871287128712872
overlap,age_group,16-17,437,77,360,56,160,200,21,0.7272727272727273,0.5555555555555556,0.25925925925925924,0.9049773755656109,0.6414141414141414,0.3822525597269624,0.585812356979405,0.4444444444444444,0.2727272727272727
overlap,country_raw,1,849,153,696,121,308,388,32,0.7908496732026143,0.5574712643678161,0.28205128205128205,0.9238095238095239,0.6741604687852152,0.415807560137457,0.5995288574793876,0.4425287356321839,0.20915032679738563
overlap,country_raw,2,93,25,68,23,47,21,2,0.92,0.3088235294117647,0.32857142857142857,0.9130434782608695,0.6144117647058824,0.4842105263157895,0.4731182795698925,0.6911764705882353,0.08
overlap,ethnic_minority_raw,0.0,758,136,622,107,260,362,29,0.7867647058823529,0.5819935691318328,0.29155313351498635,0.9258312020460358,0.6843791375070929,0.4254473161033796,0.6187335092348285,0.4180064308681672,0.21323529411764705
overlap,ethnic_minority_raw,1.0,184,42,142,37,95,47,5,0.8809523809523809,0.33098591549295775,0.2803030303030303,0.9038461538461539,0.6059691482226693,0.425287356321839,0.45652173913043476,0.6690140845070423,0.11904761904761904
overlap,gender_dummy,GENERO_BIN_0=1,435,77,358,58,147,211,19,0.7532467532467533,0.5893854748603352,0.28292682926829266,0.9173913043478261,0.6713161140535442,0.4113475177304964,0.6183908045977011,0.4106145251396648,0.24675324675324675
overlap,gender_dummy,GENERO_BIN_1=1,507,101,406,86,208,198,15,0.8514851485148515,0.4876847290640394,0.2925170068027211,0.9295774647887324,0.6695849387894455,0.43544303797468353,0.5601577909270217,0.5123152709359606,0.1485148514851485
overlap,overall,overall,942,178,764,144,355,409,34,0.8089887640449438,0.5353403141361257,0.28857715430861725,0.9232505643340858,0.6721645390905348,0.4254062038404726,0.5870488322717622,0.46465968586387435,0.19101123595505617
overlap,sexual_orientation_dummy,ORIENTSEX.BN_1=1,815,146,669,114,284,385,32,0.7808219178082192,0.5754857997010463,0.2864321608040201,0.9232613908872902,0.6781538587546327,0.41911764705882354,0.6122699386503068,0.42451420029895365,0.2191780821917808
