outcome,subgroup_variable,level,n,positives,negatives,TP,FP,TN,FN,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,fpr,fnr
overlap,age_group,14-15,505,101,404,88,195,209,13,87.1%,51.7%,31.1%,94.1%,69.4%,45.8%,58.8%,48.3%,12.9%
overlap,age_group,16-17,437,77,360,56,160,200,21,72.7%,55.6%,25.9%,90.5%,64.1%,38.2%,58.6%,44.4%,27.3%
overlap,country_raw,1,849,153,696,121,308,388,32,79.1%,55.7%,28.2%,92.4%,67.4%,41.6%,60.0%,44.3%,20.9%
overlap,country_raw,2,93,25,68,23,47,21,2,92.0%,30.9%,32.9%,91.3%,61.4%,48.4%,47.3%,69.1%,8.0%
overlap,ethnic_minority_raw,0.0,758,136,622,107,260,362,29,78.7%,58.2%,29.2%,92.6%,68.4%,42.5%,61.9%,41.8%,21.3%
overlap,ethnic_minority_raw,1.0,184,42,142,37,95,47,5,88.1%,33.1%,28.0%,90.4%,60.6%,42.5%,45.7%,66.9%,11.9%
overlap,gender_dummy,GENERO_BIN_0=1,435,77,358,58,147,211,19,75.3%,58.9%,28.3%,91.7%,67.1%,41.1%,61.8%,41.1%,24.7%
overlap,gender_dummy,GENERO_BIN_1=1,507,101,406,86,208,198,15,85.1%,48.8%,29.3%,93.0%,67.0%,43.5%,56.0%,51.2%,14.9%
overlap,overall,overall,942,178,764,144,355,409,34,80.9%,53.5%,28.9%,92.3%,67.2%,42.5%,58.7%,46.5%,19.1%
overlap,sexual_orientation_dummy,ORIENTSEX.BN_1=1,815,146,669,114,284,385,32,78.1%,57.5%,28.6%,92.3%,67.8%,41.9%,61.2%,42.5%,21.9%
overlap,sexual_orientation_dummy,ORIENTSEX.BN_2=1,127,32,95,30,71,24,2,93.8%,25.3%,29.7%,92.3%,59.5%,45.1%,42.5%,74.7%,6.2%
perpetration,age_group,14-15,498,120,378,109,233,145,11,90.8%,38.4%,31.9%,92.9%,64.6%,47.2%,51.0%,61.6%,9.2%
perpetration,age_group,16-17,444,101,343,93,271,72,8,92.1%,21.0%,25.5%,90.0%,56.5%,40.0%,37.2%,79.0%,7.9%
perpetration,country_raw,1,865,201,664,182,452,212,19,90.5%,31.9%,28.7%,91.8%,61.2%,43.6%,45.5%,68.1%,9.5%
perpetration,country_raw,2,77,20,57,20,52,5,0,100.0%,8.8%,27.8%,100.0%,54.4%,43.5%,32.5%,91.2%,0.0%
perpetration,ethnic_minority_raw,0.0,756,161,595,143,391,204,18,88.8%,34.3%,26.8%,91.9%,61.6%,41.2%,45.9%,65.7%,11.2%
perpetration,ethnic_minority_raw,1.0,186,60,126,59,113,13,1,98.3%,10.3%,34.3%,92.9%,54.3%,50.9%,38.7%,89.7%,1.7%
perpetration,gender_dummy,GENERO_BIN_1=1,473,99,374,90,277,97,9,90.9%,25.9%,24.5%,91.5%,58.4%,38.6%,39.5%,74.1%,9.1%
perpetration,overall,overall,942,221,721,202,504,217,19,91.4%,30.1%,28.6%,91.9%,60.7%,43.6%,44.5%,69.9%,8.6%
perpetration,sexual_orientation_dummy,ORIENTSEX.BN_1=1,824,195,629,176,419,210,19,90.3%,33.4%,29.6%,91.7%,61.8%,44.6%,46.8%,66.6%,9.7%
perpetration,sexual_orientation_dummy,ORIENTSEX.BN_2=1,118,26,92,26,85,7,0,100.0%,7.6%,23.4%,100.0%,53.8%,38.0%,28.0%,92.4%,0.0%
victimization,age_group,14-15,495,234,261,194,156,105,40,82.9%,40.2%,55.4%,72.4%,61.6%,66.4%,60.4%,59.8%,17.1%
victimization,age_group,16-17,447,231,216,211,173,43,20,91.3%,19.9%,54.9%,68.3%,55.6%,68.6%,56.8%,80.1%,8.7%
victimization,country_raw,1,863,416,447,357,299,148,59,85.8%,33.1%,54.4%,71.5%,59.5%,66.6%,58.5%,66.9%,14.2%
victimization,country_raw,2,79,49,30,48,30,0,1,98.0%,0.0%,61.5%,0.0%,49.0%,75.6%,60.8%,100.0%,2.0%
victimization,ethnic_minority_raw,0.0,759,359,400,299,252,148,60,83.3%,37.0%,54.3%,71.2%,60.1%,65.7%,58.9%,63.0%,16.7%
victimization,ethnic_minority_raw,1.0,183,106,77,106,77,0,0,100.0%,0.0%,57.9%,,50.0%,73.4%,57.9%,100.0%,0.0%
victimization,gender_dummy,GENERO_BIN_1=1,504,276,228,237,136,92,39,85.9%,40.4%,63.5%,70.2%,63.1%,73.0%,65.3%,59.6%,14.1%
victimization,overall,overall,942,465,477,405,329,148,60,87.1%,31.0%,55.2%,71.2%,59.1%,67.6%,58.7%,69.0%,12.9%
victimization,sexual_orientation_dummy,ORIENTSEX.BN_1=1,817,372,445,312,297,148,60,83.9%,33.3%,51.2%,71.2%,58.6%,63.6%,56.3%,66.7%,16.1%
victimization,sexual_orientation_dummy,ORIENTSEX.BN_2=1,125,93,32,93,32,0,0,100.0%,0.0%,74.4%,,50.0%,85.3%,74.4%,100.0%,0.0%
