outcome,model,threshold,TP,FP,TN,FN,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,support,positive_support,negative_support,meets_recall_080,meets_recall_085,meets_balacc_065
overlap,LogisticRegression_SW_pos1.5,0.5,148,355,409,30,0.8314606741573034,0.5353403141361257,0.294234592445328,0.9316628701594533,0.6834004941467146,0.434654919236417,0.5912951167728238,942,178,764,True,False,True
overlap,Independent_DNN_overlap_FINAL,0.5,146,366,398,32,0.8202247191011236,0.5209424083769634,0.28515625,0.9255813953488372,0.6705835637390435,0.42318840579710143,0.5774946921443737,942,178,764,True,False,True
overlap,LogisticRegression_SW_pos2.0,0.5,158,451,313,20,0.8876404494382022,0.4096858638743455,0.2594417077175698,0.93993993993994,0.6486631566562738,0.4015247776365946,0.5,942,178,764,True,True,False
overlap,GradientBoosting_SW_pos3.0,0.5,154,486,278,24,0.8651685393258427,0.36387434554973824,0.240625,0.9205298013245033,0.6145214424377905,0.3765281173594132,0.4585987261146497,942,178,764,True,True,False
overlap,LogisticRegression_SW_pos3.0,0.5,168,575,189,10,0.9438202247191011,0.24738219895287958,0.22611036339165544,0.949748743718593,0.5956012118359904,0.36482084690553745,0.37898089171974525,942,178,764,True,True,False
overlap,LogisticRegression_balanced,0.5,119,214,550,59,0.6685393258426966,0.7198952879581152,0.35735735735735735,0.90311986863711,0.6942173069004058,0.4657534246575342,0.7101910828025477,942,178,764,False,False,True
overlap,GradientBoosting_balancedSW,0.5,106,202,562,72,0.5955056179775281,0.7356020942408377,0.34415584415584416,0.886435331230284,0.6655538561091829,0.43621399176954734,0.7091295116772823,942,178,764,False,False,True
overlap,GradientBoosting_SW_pos1.5,0.5,129,338,426,49,0.7247191011235955,0.5575916230366492,0.2762312633832976,0.8968421052631579,0.6411553620801224,0.39999999999999997,0.589171974522293,942,178,764,False,False,False
overlap,HistGradientBoosting_SW_pos1.5,0.5,81,141,623,97,0.4550561797752809,0.8154450261780105,0.36486486486486486,0.8652777777777778,0.6352506029766457,0.405,0.7473460721868365,942,178,764,False,False,False
overlap,HistGradientBoosting_SW_pos3.0,0.5,89,180,584,89,0.5,0.7643979057591623,0.3308550185873606,0.8677563150074294,0.6321989528795812,0.39821029082774045,0.7144373673036093,942,178,764,False,False,False
overlap,GradientBoosting_SW_pos2.0,0.5,139,404,360,39,0.7808988764044944,0.4712041884816754,0.2559852670349908,0.9022556390977443,0.6260515324430849,0.3855755894590846,0.529723991507431,942,178,764,False,False,False
overlap,HistGradientBoosting_SW_pos2.0,0.5,82,165,599,96,0.4606741573033708,0.7840314136125655,0.3319838056680162,0.8618705035971223,0.6223527854579681,0.38588235294117645,0.7229299363057324,942,178,764,False,False,False
overlap,HistGradientBoosting_balancedSW,0.5,64,114,650,114,0.3595505617977528,0.8507853403141361,0.3595505617977528,0.8507853403141361,0.6051679510559445,0.3595505617977528,0.7579617834394905,942,178,764,False,False,False
overlap,DecisionTree_unpruned,0.5,62,111,653,116,0.34831460674157305,0.8547120418848168,0.3583815028901734,0.8491547464239272,0.6015133243131949,0.35327635327635326,0.7590233545647559,942,178,764,False,False,False
overlap,HistGradientBoosting,0.5,39,31,733,139,0.21910112359550563,0.9594240837696335,0.5571428571428572,0.8405963302752294,0.5892626036825696,0.31451612903225806,0.8195329087048833,942,178,764,False,False,False
overlap,LogisticRegression,0.5,32,20,744,146,0.1797752808988764,0.9738219895287958,0.6153846153846154,0.8359550561797753,0.5767986352138361,0.2782608695652174,0.8237791932059448,942,178,764,False,False,False
overlap,GradientBoosting,0.5,28,28,736,150,0.15730337078651685,0.9633507853403142,0.5,0.8306997742663657,0.5603270780634155,0.23931623931623933,0.8110403397027601,942,178,764,False,False,False
overlap,DecisionTree_balanced_unpruned,0.5,46,127,637,132,0.25842696629213485,0.8337696335078534,0.2658959537572254,0.8283485045513654,0.5460982998999941,0.26210826210826216,0.7250530785562632,942,178,764,False,False,False
overlap,RandomForest,0.5,19,20,744,159,0.10674157303370786,0.9738219895287958,0.48717948717948717,0.8239202657807309,0.5402817812812518,0.17511520737327188,0.8099787685774947,942,178,764,False,False,False
overlap,RandomForest_balanced,0.5,11,9,755,167,0.06179775280898876,0.9882198952879581,0.55,0.8188720173535792,0.5250088240484734,0.1111111111111111,0.8131634819532909,942,178,764,False,False,False
overlap,Dummy_most_frequent,0.5,0,0,764,178,0.0,1.0,,0.8110403397027601,0.5,,0.8110403397027601,942,178,764,False,False,False
overlap,Rule_AND_victim_pred_AND_perp_pred,0.5,9,28,27,1,0.9,0.4909090909090909,0.24324324324324326,0.9642857142857143,0.6954545454545454,0.3829787234042553,0.5538461538461539,65,10,55,,,
overlap,Smart_AND_min_prob_threshold_0p5,0.5,9,28,27,1,0.9,0.4909090909090909,0.24324324324324326,0.9642857142857143,0.6954545454545454,0.3829787234042553,0.5538461538461539,65,10,55,,,
