outcome,component,component_number,feature,loading,abs_loading,explained_variance_ratio_component,explained_variance_percent_component,cumulative_variance_percent_at_component
overlap,PC1,1,GENERO.BN0,0.49324513329625713,0.49324513329625713,0.21953235500548404,21.953235500548406,21.953235500548406
overlap,PC1,1,GENERO.BN1,-0.49324513329625697,0.49324513329625697,0.21953235500548404,21.953235500548406,21.953235500548406
overlap,PC1,1,PORNO.T,0.2116208217491607,0.2116208217491607,0.21953235500548404,21.953235500548406,21.953235500548406
overlap,PC1,1,ORIENTSEX.BN1,-0.09331868721586442,0.09331868721586442,0.21953235500548404,21.953235500548406,21.953235500548406
overlap,PC1,1,ORIENTSEX.BN0,0.09331868721586441,0.09331868721586441,0.21953235500548404,21.953235500548406,21.953235500548406
overlap,PC1,1,AUTOEFIC.MEAN,0.042791862252838646,0.042791862252838646,0.21953235500548404,21.953235500548406,21.953235500548406
overlap,PC1,1,CONVIVEN_H,-0.03746689064218917,0.03746689064218917,0.21953235500548404,21.953235500548406,21.953235500548406
overlap,PC1,1,MORAL.MEAN,-0.03684636780809757,0.03684636780809757,0.21953235500548404,21.953235500548406,21.953235500548406
overlap,PC2,2,CONVIVEN_H,0.348004810786583,0.348004810786583,0.10854096603056712,10.854096603056712,32.80733210360511
overlap,PC2,2,CONVIVEN.2,0.27914015417124927,0.27914015417124927,0.10854096603056712,10.854096603056712,32.80733210360511
overlap,PC2,2,ETNIA.BN,-0.10503658201933935,0.10503658201933935,0.10854096603056712,10.854096603056712,32.80733210360511
overlap,PC2,2,ORIENTSEX.BN0,0.10164693429008784,0.10164693429008784,0.10854096603056712,10.854096603056712,32.80733210360511
overlap,PC2,2,ORIENTSEX.BN1,-0.10164693429008782,0.10164693429008782,0.10854096603056712,10.854096603056712,32.80733210360511
overlap,PC2,2,FUGAS.BN,-0.08591784903499596,0.08591784903499596,0.10854096603056712,10.854096603056712,32.80733210360511
overlap,PC2,2,CONVIVEN.1,0.08430502016672359,0.08430502016672359,0.10854096603056712,10.854096603056712,32.80733210360511
overlap,PC2,2,APOYO.MEDIAN,0.06092217040360599,0.06092217040360599,0.10854096603056712,10.854096603056712,32.80733210360511
overlap,PC3,3,ORIENTSEX.BN0,-0.2958493395335323,0.2958493395335323,0.09032718715631018,9.032718715631018,41.84005081923613
overlap,PC3,3,ORIENTSEX.BN1,0.2958493395335323,0.2958493395335323,0.09032718715631018,9.032718715631018,41.84005081923613
overlap,PC3,3,CONVIVEN_H,0.13655038856832558,0.13655038856832558,0.09032718715631018,9.032718715631018,41.84005081923613
overlap,PC3,3,PORNO.T,0.08961273959525093,0.08961273959525093,0.09032718715631018,9.032718715631018,41.84005081923613
overlap,PC3,3,CONVIVEN.2,0.08886670273350408,0.08886670273350408,0.09032718715631018,9.032718715631018,41.84005081923613
overlap,PC3,3,APOYO.MEDIAN,-0.05262476894127108,0.05262476894127108,0.09032718715631018,9.032718715631018,41.84005081923613
overlap,PC3,3,GENERO.BN0,0.04580453240613403,0.04580453240613403,0.09032718715631018,9.032718715631018,41.84005081923613
overlap,PC3,3,GENERO.BN1,-0.045804532406132914,0.045804532406132914,0.09032718715631018,9.032718715631018,41.84005081923613
overlap,PC4,4,ETNIA.BN,0.2762142008850706,0.2762142008850706,0.08329881294665324,8.329881294665324,50.16993211390145
overlap,PC4,4,CONVIVEN_H,0.2710778475623423,0.2710778475623423,0.08329881294665324,8.329881294665324,50.16993211390145
overlap,PC4,4,CONVIVEN.2,-0.15588968576180448,0.15588968576180448,0.08329881294665324,8.329881294665324,50.16993211390145
overlap,PC4,4,PAÍS,-0.1270318878971329,0.1270318878971329,0.08329881294665324,8.329881294665324,50.16993211390145
overlap,PC4,4,CONVIVEN.3,0.07312793807906262,0.07312793807906262,0.08329881294665324,8.329881294665324,50.16993211390145
overlap,PC4,4,APOYO.VAR,0.05145685356812411,0.05145685356812411,0.08329881294665324,8.329881294665324,50.16993211390145
overlap,PC4,4,FUGAS.BN,0.050741588132579944,0.050741588132579944,0.08329881294665324,8.329881294665324,50.16993211390145
overlap,PC4,4,CONVIVEN_0,0.04650016015499459,0.04650016015499459,0.08329881294665324,8.329881294665324,50.16993211390145
overlap,PC5,5,ABUSOSUBS1,0.18617975861562178,0.18617975861562178,0.06821132094080581,6.821132094080581,56.991064207982035
overlap,PC5,5,EDAD,0.1833741115381536,0.1833741115381536,0.06821132094080581,6.821132094080581,56.991064207982035
overlap,PC5,5,ETNIA.BN,-0.1612062837383081,0.1612062837383081,0.06821132094080581,6.821132094080581,56.991064207982035
overlap,PC5,5,CONVIVEN.2,-0.12937705057498633,0.12937705057498633,0.06821132094080581,6.821132094080581,56.991064207982035
overlap,PC5,5,ABUSOSUBS2,0.1124647008801324,0.1124647008801324,0.06821132094080581,6.821132094080581,56.991064207982035
overlap,PC5,5,FUGAS.BN,0.10873825687374612,0.10873825687374612,0.06821132094080581,6.821132094080581,56.991064207982035
overlap,PC5,5,CONVIVEN_H,0.10730427348297818,0.10730427348297818,0.06821132094080581,6.821132094080581,56.991064207982035
overlap,PC5,5,PORNO.T,0.0930944352700639,0.0930944352700639,0.06821132094080581,6.821132094080581,56.991064207982035
overlap,PC6,6,CONVIVEN.2,0.22189963281252215,0.22189963281252215,0.058964066456840415,5.896406645684041,62.88747085366607
overlap,PC6,6,ETNIA.BN,0.15848588883116968,0.15848588883116968,0.058964066456840415,5.896406645684041,62.88747085366607
overlap,PC6,6,FUGAS.BN,0.13073362360961818,0.13073362360961818,0.058964066456840415,5.896406645684041,62.88747085366607
overlap,PC6,6,EDAD,0.11229702436220836,0.11229702436220836,0.058964066456840415,5.896406645684041,62.88747085366607
