outcome,component,component_number,explained_variance_ratio,explained_variance_percent,cumulative_variance_ratio,cumulative_variance_percent
overlap,PC1,1,0.21953235500548404,21.953235500548406,0.21953235500548404,21.953235500548406
overlap,PC2,2,0.10854096603056712,10.854096603056712,0.32807332103605114,32.80733210360511
overlap,PC3,3,0.09032718715631018,9.032718715631018,0.4184005081923613,41.84005081923613
overlap,PC4,4,0.08329881294665324,8.329881294665324,0.5016993211390145,50.16993211390145
overlap,PC5,5,0.06821132094080581,6.821132094080581,0.5699106420798203,56.991064207982035
overlap,PC6,6,0.058964066456840415,5.896406645684041,0.6288747085366607,62.88747085366607
overlap,PC7,7,0.04687909806137774,4.687909806137774,0.6757538065980384,67.57538065980384
overlap,PC8,8,0.04075837112138233,4.075837112138233,0.7165121777194208,71.65121777194207
overlap,PC9,9,0.03413678947483501,3.4136789474835014,0.7506489671942558,75.06489671942558
overlap,PC10,10,0.03173814760589113,3.173814760589113,0.7823871148001469,78.23871148001469
overlap,PC11,11,0.02961003636247498,2.961003636247498,0.8119971511626218,81.19971511626218
overlap,PC12,12,0.02552450992875094,2.552450992875094,0.8375216610913728,83.75216610913728
overlap,PC13,13,0.022455764342950758,2.2455764342950757,0.8599774254343235,85.99774254343235
overlap,PC14,14,0.020880245818752568,2.0880245818752567,0.8808576712530761,88.08576712530761
overlap,PC15,15,0.020491376104297892,2.0491376104297894,0.901349047357374,90.1349047357374
overlap,PC16,16,0.017745242951431105,1.7745242951431106,0.9190942903088051,91.9094290308805
overlap,PC17,17,0.01653857892811341,1.653857892811341,0.9356328692369185,93.56328692369185
overlap,PC18,18,0.014405808731356563,1.4405808731356562,0.950038677968275,95.0038677968275
overlap,PC19,19,0.01341279848445279,1.341279848445279,0.9634514764527278,96.34514764527277
overlap,PC20,20,0.009946169007501237,0.9946169007501237,0.973397645460229,97.3397645460229
overlap,PC21,21,0.009553485244013978,0.9553485244013978,0.982951130704243,98.2951130704243
overlap,PC22,22,0.0079489636652724,0.7948963665272399,0.9909000943695154,99.09000943695155
overlap,PC23,23,0.006457172895064969,0.6457172895064969,0.9973572672645804,99.73572672645804
overlap,PC24,24,0.001567326750256587,0.1567326750256587,0.998924594014837,99.8924594014837
overlap,PC25,25,0.0010754059851597047,0.10754059851597046,0.9999999999999967,99.99999999999967
overlap,PC26,26,3.0824680785425622e-15,3.082468078542562e-13,0.9999999999999998,99.99999999999997
overlap,PC27,27,2.5013836675898285e-18,2.5013836675898287e-16,0.9999999999999998,99.99999999999997
