outcome,component,component_number,feature,loading,abs_loading,explained_variance_ratio_component,explained_variance_percent_component,cumulative_variance_percent_at_component
perpetration,PC1,1,GENERO_BIN_1,0.4928665464477594,0.4928665464477594,0.2191432019421942,21.91432019421942,21.91432019421942
perpetration,PC1,1,GENERO_BIN_0,-0.4928665464477589,0.4928665464477589,0.2191432019421942,21.91432019421942,21.91432019421942
perpetration,PC1,1,PORNO.T,-0.20450089118440704,0.20450089118440704,0.2191432019421942,21.91432019421942,21.91432019421942
perpetration,PC1,1,ORIENTSEX.BN_1,-0.09479365494258937,0.09479365494258937,0.2191432019421942,21.91432019421942,21.91432019421942
perpetration,PC1,1,ORIENTSEX.BN_2,0.09479365494258937,0.09479365494258937,0.2191432019421942,21.91432019421942,21.91432019421942
perpetration,PC1,1,AUTOEFIC.MEAN,-0.047674350242886236,0.047674350242886236,0.2191432019421942,21.91432019421942,21.91432019421942
perpetration,PC1,1,MORAL.MEAN,0.038203294676513386,0.038203294676513386,0.2191432019421942,21.91432019421942,21.91432019421942
perpetration,PC1,1,CONVIVEN.5,0.02865003432062932,0.02865003432062932,0.2191432019421942,21.91432019421942,21.91432019421942
perpetration,PC2,2,CONVIVEN.5,0.3362952494414372,0.3362952494414372,0.10958742302074288,10.958742302074288,32.873062496293706
perpetration,PC2,2,CONVIVEN.2,0.27814872186557354,0.27814872186557354,0.10958742302074288,10.958742302074288,32.873062496293706
perpetration,PC2,2,ORIENTSEX.BN_1,0.13057288131899572,0.13057288131899572,0.10958742302074288,10.958742302074288,32.873062496293706
perpetration,PC2,2,ORIENTSEX.BN_2,-0.13057288131899572,0.13057288131899572,0.10958742302074288,10.958742302074288,32.873062496293706
perpetration,PC2,2,FUGAS.BN,-0.09701924737196645,0.09701924737196645,0.10958742302074288,10.958742302074288,32.873062496293706
perpetration,PC2,2,ETNIA.BN,-0.09031095000058688,0.09031095000058688,0.10958742302074288,10.958742302074288,32.873062496293706
perpetration,PC2,2,CONVIVEN.1,0.0749319383596401,0.0749319383596401,0.10958742302074288,10.958742302074288,32.873062496293706
perpetration,PC2,2,APOYO.MEDIAN,0.06334948422230803,0.06334948422230803,0.10958742302074288,10.958742302074288,32.873062496293706
perpetration,PC3,3,ORIENTSEX.BN_1,0.2891508761964782,0.2891508761964782,0.09202721179118632,9.202721179118631,42.075783675412346
perpetration,PC3,3,ORIENTSEX.BN_2,-0.2891508761964782,0.2891508761964782,0.09202721179118632,9.202721179118631,42.075783675412346
perpetration,PC3,3,CONVIVEN.5,-0.14820758162425435,0.14820758162425435,0.09202721179118632,9.202721179118631,42.075783675412346
perpetration,PC3,3,CONVIVEN.2,-0.10141004525793494,0.10141004525793494,0.09202721179118632,9.202721179118631,42.075783675412346
perpetration,PC3,3,ETNIA.BN,0.08976824029218947,0.08976824029218947,0.09202721179118632,9.202721179118631,42.075783675412346
perpetration,PC3,3,PORNO.T,-0.08518708561742032,0.08518708561742032,0.09202721179118632,9.202721179118631,42.075783675412346
perpetration,PC3,3,APOYO.MEDIAN,0.05401032387571492,0.05401032387571492,0.09202721179118632,9.202721179118631,42.075783675412346
perpetration,PC3,3,GENERO_BIN_1,0.04807312362805169,0.04807312362805169,0.09202721179118632,9.202721179118631,42.075783675412346
perpetration,PC4,4,ETNIA.BN,0.282356306868238,0.282356306868238,0.08542071941405276,8.542071941405275,50.61785561681762
perpetration,PC4,4,CONVIVEN.5,0.2690638269505341,0.2690638269505341,0.08542071941405276,8.542071941405275,50.61785561681762
perpetration,PC4,4,PAÍS,0.14270345113213523,0.14270345113213523,0.08542071941405276,8.542071941405275,50.61785561681762
perpetration,PC4,4,CONVIVEN.2,-0.1335781265383304,0.1335781265383304,0.08542071941405276,8.542071941405275,50.61785561681762
perpetration,PC4,4,CONVIVEN.3,0.06337021097407906,0.06337021097407906,0.08542071941405276,8.542071941405275,50.61785561681762
perpetration,PC4,4,APOYO.MEDIAN,-0.06219161551450676,0.06219161551450676,0.08542071941405276,8.542071941405275,50.61785561681762
perpetration,PC4,4,APOYO.VAR,0.056210749943899414,0.056210749943899414,0.08542071941405276,8.542071941405275,50.61785561681762
perpetration,PC4,4,APOYO.MEAN,-0.054618769576126894,0.054618769576126894,0.08542071941405276,8.542071941405275,50.61785561681762
perpetration,PC5,5,ABUSOSUBS1,0.189711863598785,0.189711863598785,0.06806914469442275,6.806914469442275,57.42477008625989
perpetration,PC5,5,EDAD,0.18220358205216275,0.18220358205216275,0.06806914469442275,6.806914469442275,57.42477008625989
perpetration,PC5,5,FUGAS.BN,0.13731464051211387,0.13731464051211387,0.06806914469442275,6.806914469442275,57.42477008625989
perpetration,PC5,5,CONVIVEN.2,-0.1326207580958109,0.1326207580958109,0.06806914469442275,6.806914469442275,57.42477008625989
perpetration,PC5,5,CONVIVEN.5,0.12813011278043226,0.12813011278043226,0.06806914469442275,6.806914469442275,57.42477008625989
perpetration,PC5,5,ABUSOSUBS2,0.12296590554919015,0.12296590554919015,0.06806914469442275,6.806914469442275,57.42477008625989
perpetration,PC5,5,ETNIA.BN,-0.10756788569395838,0.10756788569395838,0.06806914469442275,6.806914469442275,57.42477008625989
perpetration,PC5,5,PORNO.T,0.09153873003277693,0.09153873003277693,0.06806914469442275,6.806914469442275,57.42477008625989
perpetration,PC6,6,CONVIVEN.2,0.22801759698601035,0.22801759698601035,0.0584078584332468,5.84078584332468,63.26555592958457
perpetration,PC6,6,ETNIA.BN,0.17842249278187278,0.17842249278187278,0.0584078584332468,5.84078584332468,63.26555592958457
perpetration,PC6,6,FUGAS.BN,0.11249495145048942,0.11249495145048942,0.0584078584332468,5.84078584332468,63.26555592958457
perpetration,PC6,6,EDAD,0.10624326049339095,0.10624326049339095,0.0584078584332468,5.84078584332468,63.26555592958457
perpetration,PC6,6,ABUSOSUBS1,0.09234833570373237,0.09234833570373237,0.0584078584332468,5.84078584332468,63.26555592958457
perpetration,PC6,6,CONVIVEN.3,-0.09012904762562446,0.09012904762562446,0.0584078584332468,5.84078584332468,63.26555592958457
perpetration,PC6,6,CONVIVEN.5,-0.078842836058948,0.078842836058948,0.0584078584332468,5.84078584332468,63.26555592958457
perpetration,PC6,6,PAÍS,0.07372489276533399,0.07372489276533399,0.0584078584332468,5.84078584332468,63.26555592958457
perpetration,PC7,7,FUGAS.BN,0.1905221274261064,0.1905221274261064,0.0486875321076055,4.86875321076055,68.13430914034512
perpetration,PC7,7,EDAD,-0.17844979759215623,0.17844979759215623,0.0486875321076055,4.86875321076055,68.13430914034512
perpetration,PC7,7,APOYO.MEDIAN,-0.11663246927285442,0.11663246927285442,0.0486875321076055,4.86875321076055,68.13430914034512
perpetration,PC7,7,APOYO.MEAN,-0.09866784617433914,0.09866784617433914,0.0486875321076055,4.86875321076055,68.13430914034512
perpetration,PC7,7,APOYO.VAR,0.09791206282872301,0.09791206282872301,0.0486875321076055,4.86875321076055,68.13430914034512
perpetration,PC7,7,ETNIA.BN,-0.08276727014171975,0.08276727014171975,0.0486875321076055,4.86875321076055,68.13430914034512
perpetration,PC7,7,PAÍS,-0.05745293987649659,0.05745293987649659,0.0486875321076055,4.86875321076055,68.13430914034512
perpetration,PC7,7,AUTOEFIC.MEAN,-0.04934101572206791,0.04934101572206791,0.0486875321076055,4.86875321076055,68.13430914034512
perpetration,PC8,8,APOYO.MEDIAN,0.14986744836932359,0.14986744836932359,0.040632174929331175,4.063217492933117,72.19752663327823
perpetration,PC8,8,FUGAS.BN,0.13842039237133627,0.13842039237133627,0.040632174929331175,4.063217492933117,72.19752663327823
perpetration,PC8,8,EDAD,-0.13063415799266248,0.13063415799266248,0.040632174929331175,4.063217492933117,72.19752663327823
perpetration,PC8,8,APOYO.VAR,-0.1243930847307805,0.1243930847307805,0.040632174929331175,4.063217492933117,72.19752663327823
perpetration,PC8,8,APOYO.MEAN,0.12401240982717057,0.12401240982717057,0.040632174929331175,4.063217492933117,72.19752663327823
perpetration,PC8,8,CONVIVEN.6,0.06264958057079256,0.06264958057079256,0.040632174929331175,4.063217492933117,72.19752663327823
perpetration,PC8,8,AUTOEFIC.MEAN,0.04378202487743115,0.04378202487743115,0.040632174929331175,4.063217492933117,72.19752663327823
perpetration,PC8,8,ORIENTSEX.BN_1,-0.03452484346964504,0.03452484346964504,0.040632174929331175,4.063217492933117,72.19752663327823
perpetration,PC9,9,CONVIVEN.6,0.21601108250049675,0.21601108250049675,0.03325518989399547,3.3255189893995474,75.52304562267777
perpetration,PC9,9,CONVIVEN.1,-0.11556309446906421,0.11556309446906421,0.03325518989399547,3.3255189893995474,75.52304562267777
perpetration,PC9,9,FUGAS.BN,-0.09091849568456034,0.09091849568456034,0.03325518989399547,3.3255189893995474,75.52304562267777
perpetration,PC9,9,PORNO.T,0.08844770957430545,0.08844770957430545,0.03325518989399547,3.3255189893995474,75.52304562267777
perpetration,PC9,9,CONVIVEN.2,0.045124324710864,0.045124324710864,0.03325518989399547,3.3255189893995474,75.52304562267777
perpetration,PC9,9,ABUSOSUBS1,0.03179856996201456,0.03179856996201456,0.03325518989399547,3.3255189893995474,75.52304562267777
perpetration,PC9,9,APOYO.VAR,0.028896662917434698,0.028896662917434698,0.03325518989399547,3.3255189893995474,75.52304562267777
perpetration,PC9,9,ETNIA.BN,-0.02460498918318217,0.02460498918318217,0.03325518989399547,3.3255189893995474,75.52304562267777
perpetration,PC10,10,PORNO.T,0.18115539486689836,0.18115539486689836,0.03109476210658803,3.109476210658803,78.63252183333658
perpetration,PC10,10,CONVIVEN.6,-0.1315977095870397,0.1315977095870397,0.03109476210658803,3.109476210658803,78.63252183333658
perpetration,PC10,10,EDAD,-0.09579803216366765,0.09579803216366765,0.03109476210658803,3.109476210658803,78.63252183333658
perpetration,PC10,10,FUGAS.BN,-0.08765811129502936,0.08765811129502936,0.03109476210658803,3.109476210658803,78.63252183333658
perpetration,PC10,10,CONVIVEN.3,0.05247205772303316,0.05247205772303316,0.03109476210658803,3.109476210658803,78.63252183333658
perpetration,PC10,10,ABUSOSUBS1,0.046164004805462636,0.046164004805462636,0.03109476210658803,3.109476210658803,78.63252183333658
perpetration,PC10,10,GENERO_BIN_0,-0.03819308026058981,0.03819308026058981,0.03109476210658803,3.109476210658803,78.63252183333658
perpetration,PC10,10,GENERO_BIN_1,0.038193080260585245,0.038193080260585245,0.03109476210658803,3.109476210658803,78.63252183333658
perpetration,PC11,11,CONVIVEN.1,0.1880051602363421,0.1880051602363421,0.027858117493100104,2.7858117493100103,81.41833358264658
perpetration,PC11,11,CONVIVEN.3,-0.11454803929659182,0.11454803929659182,0.027858117493100104,2.7858117493100103,81.41833358264658
perpetration,PC11,11,CONVIVEN.6,0.07678970717388889,0.07678970717388889,0.027858117493100104,2.7858117493100103,81.41833358264658
perpetration,PC11,11,CONVIVEN.4,-0.07258660972662379,0.07258660972662379,0.027858117493100104,2.7858117493100103,81.41833358264658
perpetration,PC11,11,EDAD,-0.0558305299632488,0.0558305299632488,0.027858117493100104,2.7858117493100103,81.41833358264658
