outcome,component,component_number,explained_variance_ratio,explained_variance_percent,cumulative_variance_ratio,cumulative_variance_percent
perpetration,PC1,1,0.2191432019421942,21.91432019421942,0.2191432019421942,21.91432019421942
perpetration,PC2,2,0.10958742302074288,10.958742302074288,0.3287306249629371,32.873062496293706
perpetration,PC3,3,0.09202721179118632,9.202721179118631,0.4207578367541234,42.075783675412346
perpetration,PC4,4,0.08542071941405276,8.542071941405275,0.5061785561681762,50.61785561681762
perpetration,PC5,5,0.06806914469442275,6.806914469442275,0.5742477008625989,57.42477008625989
perpetration,PC6,6,0.0584078584332468,5.84078584332468,0.6326555592958457,63.26555592958457
perpetration,PC7,7,0.0486875321076055,4.86875321076055,0.6813430914034512,68.13430914034512
perpetration,PC8,8,0.040632174929331175,4.063217492933117,0.7219752663327823,72.19752663327823
perpetration,PC9,9,0.03325518989399547,3.3255189893995474,0.7552304562267778,75.52304562267777
perpetration,PC10,10,0.03109476210658803,3.109476210658803,0.7863252183333658,78.63252183333658
perpetration,PC11,11,0.027858117493100104,2.7858117493100103,0.8141833358264658,81.41833358264658
perpetration,PC12,12,0.024786379635617476,2.4786379635617477,0.8389697154620833,83.89697154620833
perpetration,PC13,13,0.022992863066961713,2.299286306696171,0.861962578529045,86.1962578529045
perpetration,PC14,14,0.020618232743437555,2.0618232743437557,0.8825808112724826,88.25808112724826
perpetration,PC15,15,0.01977660757373244,1.977660757373244,0.902357418846215,90.2357418846215
perpetration,PC16,16,0.017483187190234117,1.7483187190234117,0.9198406060364491,91.9840606036449
perpetration,PC17,17,0.016626057151770762,1.6626057151770763,0.9364666631882199,93.64666631882199
perpetration,PC18,18,0.01398559337084129,1.398559337084129,0.9504522565590612,95.04522565590612
perpetration,PC19,19,0.013404569690904823,1.3404569690904822,0.963856826249966,96.3856826249966
perpetration,PC20,20,0.00978984106513017,0.9789841065130169,0.9736466673150962,97.36466673150962
perpetration,PC21,21,0.009250447119773056,0.9250447119773056,0.9828971144348693,98.28971144348692
perpetration,PC22,22,0.007980374474601553,0.7980374474601553,0.9908774889094708,99.08774889094708
perpetration,PC23,23,0.006436415786986208,0.6436415786986208,0.997313904696457,99.7313904696457
perpetration,PC24,24,0.0016268958883323525,0.16268958883323525,0.9989408005847893,99.89408005847893
perpetration,PC25,25,0.0010591994152073234,0.10591994152073234,0.9999999999999966,99.99999999999966
perpetration,PC26,26,3.140055144918838e-15,3.140055144918838e-13,0.9999999999999997,99.99999999999997
perpetration,PC27,27,0.0,0.0,0.9999999999999997,99.99999999999997
