outcome,component,component_number,explained_variance_ratio,explained_variance_percent,cumulative_variance_ratio,cumulative_variance_percent
victimization,PC1,1,0.22036727840950515,22.036727840950515,0.22036727840950515,22.036727840950515
victimization,PC2,2,0.11066746254007609,11.066746254007608,0.33103474094958124,33.10347409495812
victimization,PC3,3,0.08995069217065887,8.995069217065888,0.4209854331202401,42.09854331202401
victimization,PC4,4,0.08497248802561183,8.497248802561183,0.5059579211458519,50.595792114585194
victimization,PC5,5,0.06835982173094263,6.835982173094263,0.5743177428767945,57.431774287679445
victimization,PC6,6,0.05792716537054275,5.792716537054275,0.6322449082473373,63.22449082473373
victimization,PC7,7,0.048091259918477514,4.809125991847751,0.6803361681658148,68.03361681658147
victimization,PC8,8,0.040404836538530574,4.040483653853057,0.7207410047043453,72.07410047043453
victimization,PC9,9,0.033402838109608604,3.3402838109608606,0.754143842813954,75.4143842813954
victimization,PC10,10,0.031571001307612694,3.157100130761269,0.7857148441215667,78.57148441215666
victimization,PC11,11,0.029484055983792966,2.9484055983792965,0.8151989001053597,81.51989001053596
victimization,PC12,12,0.024607550948622377,2.460755094862238,0.839806451053982,83.9806451053982
victimization,PC13,13,0.02284027141145775,2.2840271411457747,0.8626467224654397,86.26467224654397
victimization,PC14,14,0.02075914305539429,2.075914305539429,0.883405865520834,88.3405865520834
victimization,PC15,15,0.01949591822454285,1.949591822454285,0.9029017837453769,90.29017837453769
victimization,PC16,16,0.017635852094942187,1.7635852094942186,0.9205376358403191,92.05376358403191
victimization,PC17,17,0.015964415776920173,1.5964415776920173,0.9365020516172393,93.65020516172393
victimization,PC18,18,0.014259306006494426,1.4259306006494425,0.9507613576237337,95.07613576237337
victimization,PC19,19,0.013596661379374759,1.359666137937476,0.9643580190031085,96.43580190031085
victimization,PC20,20,0.009831246949920802,0.9831246949920802,0.9741892659530292,97.41892659530292
victimization,PC21,21,0.008882358636468461,0.8882358636468461,0.9830716245894977,98.30716245894978
victimization,PC22,22,0.007650014902588947,0.7650014902588947,0.9907216394920867,99.07216394920867
victimization,PC23,23,0.006630712052703297,0.6630712052703297,0.99735235154479,99.735235154479
victimization,PC24,24,0.0015876609493856058,0.1587660949385606,0.9989400124941755,99.89400124941756
victimization,PC25,25,0.0010599875058243835,0.10599875058243835,0.9999999999999999,99.99999999999999
victimization,PC26,26,0.0,0.0,0.9999999999999999,99.99999999999999
victimization,PC27,27,0.0,0.0,0.9999999999999999,99.99999999999999
