outcome,feature,domain,total_abs_loading,variance_weighted_abs_loading,max_abs_loading,normalized_variance_weighted_contribution
victimization,GENERO.BN1,Sociodemographic indicators,0.741861902450881,0.12080296038411233,0.4933273059078339,0.09431594874555702
victimization,GENERO.BN0,Sociodemographic indicators,0.7418619024508781,0.12080296038411195,0.4933273059078343,0.09431594874555672
victimization,CONVIVEN_H,Household composition,1.086067079451279,0.095673197701527,0.3428200084431438,0.07469608676847883
victimization,PORNO.T,Other,0.9880856438726481,0.08230011641679151,0.2177609679025054,0.06425516011394328
victimization,CONVIVEN.2,Household composition,1.1651429034271619,0.08220404788841985,0.2740702793340697,0.06418015537590414
victimization,ETNIA.BN,Sociodemographic indicators,1.1055322032918502,0.07259828640089906,0.2852994473544626,0.05668053363452993
victimization,ORIENTSEX.BN1,Sociodemographic indicators,0.7329080018263808,0.07133244346758781,0.2895265966000471,0.055692236850754986
victimization,ORIENTSEX.BN0,Sociodemographic indicators,0.7329080018263803,0.0713324434675878,0.2895265966000471,0.05569223685075498
victimization,FUGAS.BN,Running away,1.0612605585054453,0.05583265035962221,0.1964090291504359,0.043590896886160184
victimization,EDAD,Sociodemographic indicators,1.0448817928191332,0.05493963171103481,0.1900261003699185,0.04289367969196903
victimization,PAÍS,Sociodemographic indicators,0.8641608288530178,0.04592939475339017,0.187635035589796,0.035859008982075564
victimization,ABUSOSUBS1,Substance use,0.8608520767595028,0.04352680385656748,0.1890098706516408,0.0339832052835507
victimization,APOYO.MEDIAN,Social support,0.8498445604924874,0.03894834633860383,0.1454473888237077,0.030408611058169763
victimization,CONVIVEN.3,Household composition,0.8666714131233468,0.037326461160598526,0.1519503192581302,0.02914233712884274
victimization,APOYO.VAR,Social support,0.8274384299653391,0.03433139503563045,0.1189160606439085,0.026803963116866173
victimization,CONVIVEN.1,Household composition,0.7789942949952989,0.03142922461903017,0.1925225801598677,0.024538116688992185
victimization,APOYO.MEAN,Social support,0.5742408668398403,0.030409400587381296,0.1214096333304365,0.02374189720237824
victimization,CONVIVEN_0,Household composition,0.7038430348352014,0.02961634863638902,0.241635546286708,0.023122728210786304
victimization,ABUSOSUBS2,Substance use,0.683430013479829,0.029168295510964764,0.1221699454480455,0.022772914303259263
victimization,AUTOEFIC.MEAN,Self-efficacy,0.6732217416114697,0.027795086587120262,0.1070937002735809,0.021700792377882232
victimization,MORAL.MEAN,Moral domain,0.6284227470022807,0.024380138681861403,0.1235718000862396,0.01903459901161849
victimization,MORAL.VAR,Moral domain,0.5286816708504108,0.016389126207471287,0.0957281410080718,0.012795679695707364
victimization,AUTOEFIC.VAR,Self-efficacy,0.5681594173256296,0.015635468806522074,0.1025454031475507,0.012207267685160443
victimization,IMPULS.VAR,Impulsivity,0.5289681853838237,0.01563025474131071,0.1502645106820081,0.012203196845293047
victimization,IMPULS.MEDIAN,Impulsivity,0.5736381745194575,0.013462882931751763,0.0978944180747259,0.010511038574891825
victimization,CONVIVEN.4,Household composition,0.4053831856520729,0.010722107375541598,0.1354824103465952,0.008371199898251327
victimization,IMPULS.MEAN,Impulsivity,0.3710428216011556,0.008313322464737654,0.0580919280856082,0.00649056027266534
perpetration,GENERO_BIN_0,Sociodemographic indicators,0.7387302829441352,0.12024813886233165,0.4928665464477589,0.0935882470536814
perpetration,GENERO_BIN_1,Sociodemographic indicators,0.7387302829441195,0.12024813886233145,0.4928665464477594,0.09358824705368124
perpetration,CONVIVEN.5,Household composition,1.077958299145106,0.09529339621774728,0.3362952494414372,0.07416615335744375
perpetration,CONVIVEN.2,Household composition,1.1702410422349792,0.08354644004384386,0.2781487218655735,0.06502358327749695
perpetration,PORNO.T,Other,1.0054823131284878,0.08159108457099314,0.204500891184407,0.0635017444132761
perpetration,ETNIA.BN,Sociodemographic indicators,1.1479478916376118,0.07586957494764233,0.282356306868238,0.05904873531711696
perpetration,ORIENTSEX.BN_1,Sociodemographic indicators,0.7361045881978369,0.07230144077623495,0.2891508761964782,0.05627168258670698
perpetration,ORIENTSEX.BN_2,Sociodemographic indicators,0.736104588197838,0.07230144077623495,0.2891508761964782,0.05627168258670698
perpetration,FUGAS.BN,Running away,1.0461729714024484,0.05639631362440593,0.1905221274261064,0.043892838445012905
perpetration,EDAD,Sociodemographic indicators,1.0555743352263527,0.05344339353889925,0.1822035820521627,0.04159460233835206
perpetration,PAÍS,Sociodemographic indicators,0.8273212782268249,0.045364531870686106,0.1923479367432843,0.0353068833859376
perpetration,ABUSOSUBS1,Substance use,0.8464047286902799,0.04412463603846251,0.189711863598785,0.034341881527573524
perpetration,APOYO.MEDIAN,Social support,0.8502521674982728,0.04047262545816771,0.1498674483693235,0.03149954840154828
perpetration,CONVIVEN.3,Household composition,0.8934611418902783,0.037623492730862074,0.1458680137572026,0.029282089236736735
perpetration,APOYO.VAR,Social support,0.7908919970408921,0.03349880471187416,0.1270763014453257,0.026071874717056347
perpetration,CONVIVEN.6,Household composition,0.7384828578282127,0.03167283394120894,0.2160110825004967,0.024650735020304255
perpetration,APOYO.MEAN,Social support,0.5759414773227556,0.031012388240373095,0.1240124098271705,0.024136714961448032
perpetration,AUTOEFIC.MEAN,Self-efficacy,0.6788873708745097,0.02948535768563982,0.0994361962013396,0.022948238248486068
perpetration,ABUSOSUBS2,Substance use,0.6859404564187296,0.02892178396936609,0.1233486620507761,0.022509612946750863
perpetration,CONVIVEN.1,Household composition,0.6956009498566832,0.027704325791535218,0.1880051602363421,0.021562074150705074
perpetration,MORAL.MEAN,Moral domain,0.6398607723574525,0.02565567085379382,0.1285202939945183,0.019967620995296222
