outcome,component,component_number,explained_variance_ratio,explained_variance_percent,cumulative_variance_ratio,cumulative_variance_percent,retained_component,retained_n_components,retained_variance_percent_total
victimization,PC1,1,0.2203672784095051,22.036727840950515,0.2203672784095051,22.036727840950515,True,18,95.07613576237337
victimization,PC2,2,0.110667462540076,11.066746254007608,0.3310347409495812,33.10347409495812,True,18,95.07613576237337
victimization,PC3,3,0.0899506921706588,8.995069217065888,0.4209854331202401,42.09854331202401,True,18,95.07613576237337
victimization,PC4,4,0.0849724880256118,8.497248802561183,0.5059579211458519,50.595792114585194,True,18,95.07613576237337
victimization,PC5,5,0.0683598217309426,6.835982173094263,0.5743177428767945,57.431774287679445,True,18,95.07613576237337
victimization,PC6,6,0.0579271653705427,5.792716537054275,0.6322449082473373,63.22449082473373,True,18,95.07613576237337
victimization,PC7,7,0.0480912599184775,4.809125991847751,0.6803361681658148,68.03361681658147,True,18,95.07613576237337
victimization,PC8,8,0.0404048365385305,4.040483653853057,0.7207410047043453,72.07410047043453,True,18,95.07613576237337
victimization,PC9,9,0.0334028381096086,3.340283810960861,0.754143842813954,75.4143842813954,True,18,95.07613576237337
victimization,PC10,10,0.0315710013076126,3.157100130761269,0.7857148441215667,78.57148441215666,True,18,95.07613576237337
victimization,PC11,11,0.0294840559837929,2.9484055983792965,0.8151989001053597,81.51989001053596,True,18,95.07613576237337
victimization,PC12,12,0.0246075509486223,2.460755094862238,0.839806451053982,83.9806451053982,True,18,95.07613576237337
victimization,PC13,13,0.0228402714114577,2.2840271411457747,0.8626467224654397,86.26467224654397,True,18,95.07613576237337
victimization,PC14,14,0.0207591430553942,2.075914305539429,0.883405865520834,88.3405865520834,True,18,95.07613576237337
victimization,PC15,15,0.0194959182245428,1.949591822454285,0.9029017837453768,90.29017837453767,True,18,95.07613576237337
victimization,PC16,16,0.0176358520949421,1.7635852094942186,0.9205376358403192,92.05376358403193,True,18,95.07613576237337
victimization,PC17,17,0.0159644157769201,1.596441577692017,0.9365020516172392,93.65020516172392,True,18,95.07613576237337
victimization,PC18,18,0.0142593060064944,1.4259306006494423,0.9507613576237336,95.07613576237335,True,18,95.07613576237337
perpetration,PC1,1,0.2191432019421942,21.91432019421942,0.2191432019421942,21.91432019421942,True,22,99.0877488909471
perpetration,PC2,2,0.1095874230207428,10.958742302074288,0.3287306249629371,32.873062496293706,True,22,99.0877488909471
perpetration,PC3,3,0.0920272117911863,9.202721179118631,0.4207578367541234,42.075783675412346,True,22,99.0877488909471
perpetration,PC4,4,0.0854207194140527,8.542071941405275,0.5061785561681762,50.61785561681762,True,22,99.0877488909471
perpetration,PC5,5,0.0680691446944227,6.806914469442275,0.5742477008625989,57.42477008625989,True,22,99.0877488909471
perpetration,PC6,6,0.0584078584332468,5.84078584332468,0.6326555592958457,63.26555592958457,True,22,99.0877488909471
perpetration,PC7,7,0.0486875321076055,4.86875321076055,0.6813430914034512,68.13430914034512,True,22,99.0877488909471
perpetration,PC8,8,0.0406321749293311,4.063217492933117,0.7219752663327823,72.19752663327823,True,22,99.0877488909471
perpetration,PC9,9,0.0332551898939954,3.3255189893995474,0.7552304562267778,75.52304562267777,True,22,99.0877488909471
perpetration,PC10,10,0.031094762106588,3.109476210658803,0.7863252183333658,78.63252183333658,True,22,99.0877488909471
perpetration,PC11,11,0.0278581174931001,2.7858117493100103,0.8141833358264658,81.41833358264658,True,22,99.0877488909471
perpetration,PC12,12,0.0247863796356174,2.4786379635617477,0.8389697154620833,83.89697154620833,True,22,99.0877488909471
perpetration,PC13,13,0.0229928630669617,2.299286306696171,0.861962578529045,86.1962578529045,True,22,99.0877488909471
perpetration,PC14,14,0.0206182327434375,2.0618232743437557,0.8825808112724826,88.25808112724826,True,22,99.0877488909471
perpetration,PC15,15,0.0197766075737324,1.977660757373244,0.902357418846215,90.2357418846215,True,22,99.0877488909471
perpetration,PC16,16,0.0174831871902341,1.7483187190234115,0.9198406060364492,91.9840606036449,True,22,99.0877488909471
perpetration,PC17,17,0.0166260571517707,1.6626057151770763,0.93646666318822,93.646666318822,True,22,99.0877488909471
perpetration,PC18,18,0.0139855933708412,1.398559337084129,0.9504522565590612,95.04522565590612,True,22,99.0877488909471
perpetration,PC19,19,0.0134045696909048,1.3404569690904822,0.963856826249966,96.3856826249966,True,22,99.0877488909471
