outcome,model_name,predictor,predictor_domain,features,repeat,random_state,n_test,threshold,baseline_balanced_accuracy,permuted_balanced_accuracy,delta_balanced_accuracy,delta_balanced_accuracy_pp,baseline_roc_auc,permuted_roc_auc,delta_roc_auc,delta_roc_auc_pp,baseline_pr_auc_average_precision,permuted_pr_auc_average_precision,delta_pr_auc_average_precision,delta_pr_auc_average_precision_pp,baseline_recall_sensitivity,permuted_recall_sensitivity,delta_recall_sensitivity,delta_recall_sensitivity_pp,baseline_specificity,permuted_specificity,delta_specificity,delta_specificity_pp,baseline_precision_ppv,permuted_precision_ppv,delta_precision_ppv,delta_precision_ppv_pp,baseline_npv,permuted_npv,delta_npv,delta_npv_pp,baseline_f1_positive,permuted_f1_positive,delta_f1_positive,delta_f1_positive_pp,baseline_accuracy,permuted_accuracy,delta_accuracy,delta_accuracy_pp
victimization,DecisionTreeClassifier,Gender dummy contrast,Gender dummy contrast,GENERO.BN0|GENERO.BN1,1,101123,942,0.5,0.5906201393115574,0.5948400622168121,-0.004219922905254636,-0.4219922905254636,0.6342012127769888,0.6384729830256306,-0.004271770248641782,-0.4271770248641782,0.5880607408346172,0.5909742558242324,-0.002913514989615118,-0.2913514989615118,0.8709677419354839,0.8731182795698925,-0.0021505376344086446,-0.21505376344086446,0.31027253668763105,0.3165618448637317,-0.0062893081761006275,-0.6289308176100628,0.5517711171662125,0.5546448087431693,-0.002873691576956827,-0.2873691576956827,0.7115384615384616,0.719047619047619,-0.0075091575091574825,-0.7509157509157482,0.6755629691409508,0.6783625730994152,-0.0027996039584643473,-0.27996039584643473,0.5870488322717622,0.5912951167728238,-0.00424628450106157,-0.424628450106157
victimization,DecisionTreeClassifier,Gender dummy contrast,Gender dummy contrast,GENERO.BN0|GENERO.BN1,2,101124,942,0.5,0.5906201393115574,0.5969364982755123,-0.006316358963954882,-0.6316358963954882,0.6342012127769888,0.6394197606005275,-0.0052185478235386995,-0.52185478235387,0.5880607408346172,0.5911524100649038,-0.0030916692302865867,-0.30916692302865867,0.8709677419354839,0.8731182795698925,-0.0021505376344086446,-0.21505376344086446,0.31027253668763105,0.32075471698113206,-0.010482180293501009,-1.0482180293501009,0.5517711171662125,0.5561643835616439,-0.004393266395431361,-0.4393266395431361,0.7115384615384616,0.7216981132075472,-0.010159651669085612,-1.0159651669085612,0.6755629691409508,0.6794979079497908,-0.003934938808839994,-0.3934938808839994,0.5870488322717622,0.5934182590233545,-0.006369426751592355,-0.6369426751592355
victimization,DecisionTreeClassifier,Gender dummy contrast,Gender dummy contrast,GENERO.BN0|GENERO.BN1,3,101125,942,0.5,0.5906201393115574,0.5948941637925205,-0.0042740244809630346,-0.42740244809630346,0.6342012127769888,0.6380852550663871,-0.003884042289398315,-0.3884042289398315,0.5880607408346172,0.5901868949221625,-0.00212615408754524,-0.212615408754524,0.8709677419354839,0.8774193548387097,-0.006451612903225823,-0.6451612903225823,0.31027253668763105,0.31236897274633124,-0.0020964360587001907,-0.20964360587001907,0.5517711171662125,0.5543478260869565,-0.0025767089207440197,-0.25767089207440197,0.7115384615384616,0.7233009708737864,-0.011762509335324856,-1.1762509335324856,0.6755629691409508,0.6794338051623647,-0.003870836021413915,-0.3870836021413915,0.5870488322717622,0.5912951167728238,-0.00424628450106157,-0.424628450106157
victimization,DecisionTreeClassifier,Gender dummy contrast,Gender dummy contrast,GENERO.BN0|GENERO.BN1,4,101126,942,0.5,0.5906201393115574,0.5916683573409076,-0.0010482180293501786,-0.10482180293501786,0.6342012127769888,0.6350420414327901,-0.0008408286558012623,-0.08408286558012623,0.5880607408346172,0.5885674355482643,-0.0005066947136470601,-0.05066947136470601,0.8709677419354839,0.8709677419354839,0.0,0.0,0.31027253668763105,0.31236897274633124,-0.0020964360587001907,-0.20964360587001907,0.5517711171662125,0.5525238744884038,-0.0007527573221912665,-0.07527573221912665,0.7115384615384616,0.7129186602870813,-0.001380198748619721,-0.1380198748619721,0.6755629691409508,0.676126878130217,-0.0005639089892661708,-0.056390898926617083,0.5870488322717622,0.5881104033970276,-0.0010615711252653925,-0.10615711252653925
victimization,DecisionTreeClassifier,Gender dummy contrast,Gender dummy contrast,GENERO.BN0|GENERO.BN1,5,101127,942,0.5,0.5906201393115574,0.5916954081287618,-0.0010752688172043223,-0.10752688172043223,0.6342012127769888,0.6352156173215211,-0.001014404544532277,-0.10144045445322769,0.5880607408346172,0.5885975769665445,-0.0005368361319272319,-0.05368361319272319,0.8709677419354839,0.8731182795698925,-0.0021505376344086446,-0.21505376344086446,0.31027253668763105,0.31027253668763105,0.0,0.0,0.5517711171662125,0.5523809523809524,-0.0006098352147398955,-0.060983521473989555,0.7115384615384616,0.714975845410628,-0.0034373838721664107,-0.3437383872166411,0.6755629691409508,0.6766666666666666,-0.0011036975257158188,-0.11036975257158188,0.5870488322717622,0.5881104033970276,-0.0010615711252653925,-0.10615711252653925
victimization,DecisionTreeClassifier,Gender dummy contrast,Gender dummy contrast,GENERO.BN0|GENERO.BN1,6,101128,942,0.5,0.5906201393115574,0.5895719212822074,0.0010482180293500676,0.10482180293500676,0.6342012127769888,0.634104280787178,9.69319898108667e-05,0.00969319898108667,0.5880607408346172,0.5884111865415983,-0.0003504457069810618,-0.03504457069810618,0.8709677419354839,0.8709677419354839,0.0,0.0,0.31027253668763105,0.3081761006289308,0.002096436058700246,0.20964360587002462,0.5517711171662125,0.5510204081632653,0.0007507090029472696,0.07507090029472696,0.7115384615384616,0.7101449275362319,0.001393534002229635,0.1393534002229635,0.6755629691409508,0.675,0.0005629691409507753,0.05629691409507753,0.5870488322717622,0.5859872611464968,0.0010615711252653925,0.10615711252653925
victimization,DecisionTreeClassifier,Gender dummy contrast,Gender dummy contrast,GENERO.BN0|GENERO.BN1,7,101129,942,0.5,0.5906201393115574,0.5937647933996077,-0.0031446540880503138,-0.3144654088050314,0.6342012127769888,0.6367236987443926,-0.002522485967403787,-0.2522485967403787,0.5880607408346172,0.5895849838924967,-0.0015242430578794597,-0.15242430578794597,0.8709677419354839,0.8709677419354839,0.0,0.0,0.31027253668763105,0.3165618448637317,-0.0062893081761006275,-0.6289308176100628,0.5517711171662125,0.5540355677154583,-0.0022644505492457334,-0.22644505492457334,0.7115384615384616,0.7156398104265402,-0.004101348888078671,-0.4101348888078671,0.6755629691409508,0.677257525083612,-0.0016945559426612133,-0.16945559426612133,0.5870488322717622,0.5902335456475584,-0.0031847133757961776,-0.31847133757961776
victimization,DecisionTreeClassifier,Gender dummy contrast,Gender dummy contrast,GENERO.BN0|GENERO.BN1,8,101130,942,0.5,0.5906201393115574,0.5916142557651992,-0.0009941164536417801,-0.09941164536417801,0.6342012127769888,0.6346948896553278,-0.0004936768783390111,-0.04936768783390111,0.5880607408346172,0.5885068820330812,-0.0004461411984639785,-0.04461411984639785,0.8709677419354839,0.8666666666666667,0.004301075268817178,0.4301075268817178,0.31027253668763105,0.3165618448637317,-0.0062893081761006275,-0.6289308176100628,0.5517711171662125,0.5528120713305898,-0.001040954164377328,-0.10409541643773279,0.7115384615384616,0.7089201877934272,0.0026182737450343163,0.26182737450343163,0.6755629691409508,0.6750418760469011,0.000521093094049685,0.052109309404968496,0.5870488322717622,0.5881104033970276,-0.0010615711252653925,-0.10615711252653925
victimization,DecisionTreeClassifier,Gender dummy contrast,Gender dummy contrast,GENERO.BN0|GENERO.BN1,9,101131,942,0.5,0.5906201393115574,0.5917224589166159,-0.001102319605058466,-0.1102319605058466,0.6342012127769888,0.6361330898762427,-0.0019318770992539092,-0.19318770992539092,0.5880607408346172,0.5894807705871711,-0.001420029752553842,-0.1420029752553842,0.8709677419354839,0.875268817204301,-0.004301075268817178,-0.4301075268817178,0.31027253668763105,0.3081761006289308,0.002096436058700246,0.20964360587002462,0.5517711171662125,0.5522388059701493,-0.00046768880393677215,-0.046768880393677215,0.7115384615384616,0.7170731707317073,-0.005534709193245724,-0.5534709193245724,0.6755629691409508,0.6772046589018302,-0.0016416897608794168,-0.16416897608794168,0.5870488322717622,0.5881104033970276,-0.0010615711252653925,-0.10615711252653925
victimization,DecisionTreeClassifier,Gender dummy contrast,Gender dummy contrast,GENERO.BN0|GENERO.BN1,10,101132,942,0.5,0.5906201393115574,0.593791844187462,-0.0031717048759045685,-0.31717048759045685,0.6342012127769888,0.6368972746331237,-0.0026960618561349126,-0.26960618561349126,0.5880607408346172,0.5896153276687558,-0.0015545868341385605,-0.15545868341385605,0.8709677419354839,0.8731182795698925,-0.0021505376344086446,-0.21505376344086446,0.31027253668763105,0.31446540880503143,-0.004192872117400381,-0.41928721174003813,0.5517711171662125,0.5538881309686221,-0.002117013802409584,-0.21170138024095841,0.7115384615384616,0.7177033492822966,-0.006164887743835057,-0.6164887743835057,0.6755629691409508,0.67779632721202,-0.002233358071069169,-0.22333580710691692,0.5870488322717622,0.5902335456475584,-0.0031847133757961776,-0.31847133757961776
