outcome,rank,predictor,predictor_domain,"Δ Balanced accuracy, mean (SD), pp","Δ ROC AUC, mean (SD), pp","Δ PR AUC, mean (SD), pp"
overlap,1,FUGAS.BN,FUGAS.BN,1.93 (0.77),2.79 (0.83),6.25 (1.63)
overlap,2,PORNO.T,PORNO.T,1.6 (1.21),3.31 (0.67),0.83 (1.3)
overlap,3,MORAL.VAR,MORAL.VAR,1.31 (0.47),0.34 (0.26),0.68 (0.32)
overlap,4,ABUSOSUBS1,ABUSOSUBS1,0.78 (0.77),2.17 (0.64),2.92 (1.15)
overlap,5,CONVIVEN.2,CONVIVEN.2,0.77 (0.69),0.71 (0.29),0.28 (0.45)
overlap,6,AUTOEFIC.MEAN,AUTOEFIC.MEAN,0.63 (0.5),0.99 (0.19),0.94 (0.29)
overlap,7,GENERO_BIN_0,GENERO_BIN_0,0.47 (0.71),1.36 (0.27),1.5 (0.52)
overlap,8,ETNIA.BN,ETNIA.BN,0.39 (0.54),0.5 (0.26),0.06 (0.41)
overlap,9,APOYO.MEAN,APOYO.MEAN,0.35 (0.63),0.51 (0.29),0.73 (0.43)
overlap,10,CONVIVEN.3,CONVIVEN.3,0.33 (0.19),0.16 (0.07),0.1 (0.13)
perpetration,1,ABUSOSUBS1,ABUSOSUBS1,2.59 (0.81),1.11 (0.59),0.87 (0.44)
perpetration,2,PORNO.T,PORNO.T,2.19 (0.84),4.0 (0.97),3.56 (1.17)
perpetration,3,FUGAS.BN,FUGAS.BN,1.67 (0.53),2.82 (0.64),3.19 (1.06)
perpetration,4,ETNIA.BN,ETNIA.BN,1.23 (0.43),0.73 (0.23),0.39 (0.28)
perpetration,5,APOYO.MEDIAN,APOYO.MEDIAN,1.18 (0.68),0.64 (0.29),-0.12 (0.49)
perpetration,6,CONVIVEN.2,CONVIVEN.2,1.01 (0.48),-0.04 (0.52),-1.27 (0.85)
perpetration,7,ABUSOSUBS2,ABUSOSUBS2,0.86 (0.58),0.11 (0.41),1.03 (0.3)
perpetration,8,APOYO.MEAN,APOYO.MEAN,0.83 (0.47),0.57 (0.19),0.22 (0.26)
perpetration,9,AUTOEFIC.MEAN,AUTOEFIC.MEAN,0.72 (0.43),0.05 (0.11),0.09 (0.07)
perpetration,10,MORAL.MEAN,MORAL.MEAN,0.72 (0.51),0.7 (0.25),0.58 (0.24)
victimization,1,CONVIVEN.2,CONVIVEN.2,2.53 (0.84),1.65 (0.74),0.93 (0.46)
victimization,2,FUGAS.BN,FUGAS.BN,1.39 (0.48),4.66 (0.96),4.37 (0.73)
victimization,3,ETNIA.BN,ETNIA.BN,1.27 (0.68),0.81 (0.76),0.45 (0.59)
victimization,4,Sexual-orientation dummy contrast,Sexual-orientation dummy contrast,1.15 (0.51),0.59 (0.48),0.02 (0.36)
victimization,5,APOYO.MEDIAN,APOYO.MEDIAN,1.14 (0.35),1.55 (0.56),1.23 (0.52)
victimization,6,CONVIVEN_H,CONVIVEN_H,0.72 (0.82),0.6 (0.76),0.55 (0.51)
victimization,7,APOYO.MEAN,APOYO.MEAN,0.61 (0.3),0.87 (0.4),0.64 (0.39)
victimization,8,PAÍS,PAÍS,0.49 (0.33),0.17 (0.34),0.01 (0.28)
victimization,9,ABUSOSUBS1,ABUSOSUBS1,0.4 (0.4),0.32 (0.4),0.18 (0.28)
victimization,10,APOYO.VAR,APOYO.VAR,0.37 (0.37),0.67 (0.48),0.61 (0.45)
