outcome,rank,predictor,predictor_domain,features,n_repeats,balanced_accuracy_drop_mean_pp,balanced_accuracy_drop_sd_pp,roc_auc_drop_mean_pp,roc_auc_drop_sd_pp,pr_auc_average_precision_drop_mean_pp,pr_auc_average_precision_drop_sd_pp,specificity_drop_mean_pp,precision_ppv_drop_mean_pp,npv_drop_mean_pp
overlap,1,FUGAS.BN,FUGAS.BN,FUGAS.BN,30,1.9301135360903594,0.773222795795032,2.7911935996235107,0.8298882106565697,6.249695357632663,1.632516039887294,3.298429319371732,1.524124370272037,0.6802669123652837
overlap,2,PORNO.T,PORNO.T,PORNO.T,30,1.595289919014846,1.208081630174588,3.306885699158779,0.67435062613563,0.8328375529245858,1.297443840899241,0.2879581151832516,0.8582067583869428,1.1086763747922304
overlap,3,MORAL.VAR,MORAL.VAR,MORAL.VAR,30,1.3123566092123076,0.4709176885212581,0.3382061689903386,0.2567380295279364,0.675594761677756,0.31524083578412754,0.9205933682373524,0.8316001457102399,0.7598833868863465
overlap,4,ABUSOSUBS1,ABUSOSUBS1,ABUSOSUBS1,30,0.7819822734670683,0.7731145469614953,2.1690491597544983,0.6408772240481851,2.9196701222185846,1.1482591481371967,1.4703315881326402,0.6559724643416569,0.23282724751839384
overlap,5,CONVIVEN.2,CONVIVEN.2,CONVIVEN.2,30,0.7683049983332382,0.6922176650471356,0.7054091417142241,0.2917162772279426,0.27747507535914706,0.45025718473568854,0.562827225130896,0.4918787870011484,0.4376437489855222
overlap,6,AUTOEFIC.MEAN,AUTOEFIC.MEAN,AUTOEFIC.MEAN,30,0.6300370610035896,0.4997137900127317,0.9934162793889882,0.1885126678867671,0.9440779690084941,0.29477850940779493,0.5671902268760965,0.42212903261862955,0.33356287798324263
overlap,7,GENERO_BIN_0,GENERO_BIN_0,GENERO_BIN_0,30,0.46863050767692294,0.7067442149673331,1.3562072278761548,0.27008732031618804,1.4955531537626643,0.5216889680766049,-0.20506108202442738,0.19946590957868476,0.39329651347335204
overlap,8,ETNIA.BN,ETNIA.BN,ETNIA.BN,30,0.385267760848678,0.5373363092112764,0.501451065748969,0.2632004819771103,0.0632471282470426,0.41448892065050497,-0.1657940663176224,0.16424444116578027,0.3228329633484772
overlap,9,APOYO.MEAN,APOYO.MEAN,APOYO.MEAN,30,0.34560856520972005,0.6284673885939022,0.5070641410279098,0.28657908673927573,0.7308981373382754,0.4332627258120769,0.2792321116928498,0.2255331693494507,0.189287117971099
overlap,10,CONVIVEN.3,CONVIVEN.3,CONVIVEN.3,30,0.3315145988979766,0.1850161198277525,0.1573376865305883,0.07324575364374222,0.09751043156149627,0.1251491450753871,0.3446771378708609,0.23190689526771854,0.16441242573805012
perpetration,1,ABUSOSUBS1,ABUSOSUBS1,ABUSOSUBS1,30,2.588201822924837,0.8086470760410884,1.1072898165987906,0.5903078947394499,0.8715728876978494,0.4438699777744018,3.4720295885344408,1.3535063622148331,2.5504583664596168
perpetration,2,PORNO.T,PORNO.T,PORNO.T,30,2.1906791095825953,0.8375122565507142,3.996000192459365,0.9675494118296182,3.5584827528831147,1.172951505666839,1.1234396671289872,1.0539477506351589,3.0920129318114515
perpetration,3,FUGAS.BN,FUGAS.BN,FUGAS.BN,30,1.66576712835993,0.53148514271351,2.8175631716465572,0.6397560738362995,3.193168640674268,1.0620885623219134,2.8941285251964852,0.9166340761486658,1.191752474811699
perpetration,4,ETNIA.BN,ETNIA.BN,ETNIA.BN,30,1.2334029952533643,0.43101517510167897,0.7259274135345006,0.2316727872903977,0.38560914827832066,0.28160523248017794,1.1696717521960236,0.6264184475811475,1.436954024343656
perpetration,5,APOYO.MEDIAN,APOYO.MEDIAN,APOYO.MEDIAN,30,1.1759057618566446,0.677601571901907,0.637270591582419,0.291327453973666,-0.1167823689467177,0.48897903335808335,1.50716597318539,0.6200748904864776,1.1453417239116737
perpetration,6,CONVIVEN.2,CONVIVEN.2,CONVIVEN.2,30,1.010516230390585,0.4767769635086373,-0.04499783483220887,0.5163043474536542,-1.2720140673349432,0.8468163401209593,1.840036985668053,0.5675495638641304,0.6377566809902088
