outcome,rank,predictor,predictor_domain,features,n_repeats,balanced_accuracy_drop_mean_pp,balanced_accuracy_drop_sd_pp,roc_auc_drop_mean_pp,roc_auc_drop_sd_pp,pr_auc_average_precision_drop_mean_pp,pr_auc_average_precision_drop_sd_pp,specificity_drop_mean_pp,precision_ppv_drop_mean_pp,npv_drop_mean_pp
overlap,1,PORNO.T,PORNO.T,PORNO.T,30,1.595289919014846,1.208081630174588,3.306885699158779,0.67435062613563,0.8328375529245858,1.297443840899241,0.2879581151832516,0.8582067583869428,1.1086763747922304
overlap,2,FUGAS.BN,FUGAS.BN,FUGAS.BN,30,1.9301135360903594,0.773222795795032,2.7911935996235107,0.8298882106565697,6.249695357632663,1.632516039887294,3.298429319371732,1.524124370272037,0.6802669123652837
overlap,3,ABUSOSUBS1,ABUSOSUBS1,ABUSOSUBS1,30,0.7819822734670683,0.7731145469614953,2.1690491597544983,0.6408772240481851,2.9196701222185846,1.1482591481371967,1.4703315881326402,0.6559724643416569,0.23282724751839384
overlap,4,GENERO_BIN_0,GENERO_BIN_0,GENERO_BIN_0,30,0.46863050767692294,0.7067442149673331,1.3562072278761548,0.27008732031618804,1.4955531537626643,0.5216889680766049,-0.20506108202442738,0.19946590957868476,0.39329651347335204
overlap,5,AUTOEFIC.MEAN,AUTOEFIC.MEAN,AUTOEFIC.MEAN,30,0.6300370610035896,0.4997137900127317,0.9934162793889882,0.1885126678867671,0.9440779690084941,0.29477850940779493,0.5671902268760965,0.42212903261862955,0.33356287798324263
overlap,6,APOYO.VAR,APOYO.VAR,APOYO.VAR,30,0.3185236386454137,0.8079604868546628,0.9123330784163849,0.40982928959095044,1.8822904363672646,0.4042193719029388,0.18760907504363544,0.1949426668000359,0.18980540124974782
overlap,7,APOYO.MEDIAN,APOYO.MEDIAN,APOYO.MEDIAN,30,-0.3213669431535179,0.666578848961047,0.7102378571288563,0.366569246413539,1.4086849652214801,0.7180178871557183,0.27486910994764896,-0.11290963387202145,-0.3074985520339608
overlap,8,CONVIVEN.2,CONVIVEN.2,CONVIVEN.2,30,0.7683049983332382,0.6922176650471356,0.7054091417142241,0.2917162772279426,0.27747507535914706,0.45025718473568854,0.562827225130896,0.4918787870011484,0.4376437489855222
overlap,9,AUTOEFIC.VAR,AUTOEFIC.VAR,AUTOEFIC.VAR,30,0.2795997803792408,0.5155907858868906,0.6908984842245671,0.2021869955031722,0.7517484604015616,0.33141713760887437,0.4842931937172827,0.23019280046727655,0.0923536040384147
overlap,10,EDAD,EDAD,EDAD,30,-0.13380689060140594,0.9337984071308493,0.5585377571229712,0.4680053492804322,1.6453777417811817,0.7133418592223983,-0.1178010471204131,-0.09108673905652102,-0.07513400273003512
