outcome,model,threshold,TP,FP,TN,FN,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,support,positive_support,negative_support,meets_recall_085,meets_recall_090
perpetration,DNN_selected_FINAL,0.5,202,504,217,19,0.9140271493212669,0.30097087378640774,0.28611898016997167,0.9194915254237288,0.6074990115538373,0.43581445523193096,0.4447983014861996,942,221,721,True,True
perpetration,LogisticRegression_SW_pos3.0,0.5,212,585,136,9,0.9592760180995475,0.18862690707350901,0.2659974905897114,0.9379310344827586,0.5739514625865283,0.4165029469548133,0.36942675159235666,942,221,721,True,True
perpetration,LogisticRegression_SW_pos2.0,0.5,194,472,249,27,0.8778280542986425,0.34535367545076284,0.2912912912912913,0.9021739130434783,0.6115908648747027,0.4374295377677564,0.470276008492569,942,221,721,True,False
perpetration,LogisticRegression_balanced,0.5,134,220,501,87,0.6063348416289592,0.694868238557559,0.3785310734463277,0.8520408163265306,0.6506015400932591,0.4660869565217391,0.6740976645435244,942,221,721,False,False
perpetration,LogisticRegression_SW_pos1.5,0.5,171,365,356,50,0.7737556561085973,0.49375866851595007,0.31902985074626866,0.8768472906403941,0.6337571623122737,0.4517833553500661,0.559447983014862,942,221,721,False,False
perpetration,GradientBoosting_SW_pos1.5,0.5,153,324,397,68,0.6923076923076923,0.550624133148405,0.32075471698113206,0.853763440860215,0.6214659127280486,0.4383954154727793,0.583864118895966,942,221,721,False,False
perpetration,GradientBoosting_balancedSW,0.5,110,196,525,111,0.497737556561086,0.7281553398058253,0.35947712418300654,0.8254716981132075,0.6129464481834557,0.4174573055028463,0.6740976645435244,942,221,721,False,False
perpetration,HistGradientBoosting_SW_pos2.0,0.5,102,171,550,119,0.46153846153846156,0.7628294036061026,0.37362637362637363,0.8221225710014948,0.6121839325722821,0.41295546558704455,0.692144373673036,942,221,721,False,False
perpetration,HistGradientBoosting_balancedSW,0.5,81,110,611,140,0.3665158371040724,0.8474341192787794,0.42408376963350786,0.8135818908122503,0.6069749781914259,0.3932038834951456,0.7346072186836518,942,221,721,False,False
perpetration,GradientBoosting_SW_pos2.0,0.5,174,423,298,47,0.7873303167420814,0.4133148404993065,0.2914572864321608,0.863768115942029,0.6003225786206939,0.42542787286063566,0.5010615711252654,942,221,721,False,False
perpetration,HistGradientBoosting_SW_pos3.0,0.5,109,220,501,112,0.49321266968325794,0.694868238557559,0.331306990881459,0.8172920065252854,0.5940404541204085,0.39636363636363636,0.6475583864118896,942,221,721,False,False
perpetration,HistGradientBoosting_SW_pos1.5,0.5,83,150,571,138,0.3755656108597285,0.7919556171983356,0.3562231759656652,0.8053596614950634,0.5837606140290321,0.36563876651982374,0.6942675159235668,942,221,721,False,False
perpetration,GradientBoosting_SW_pos3.0,0.5,187,498,223,34,0.8461538461538461,0.3092926490984743,0.272992700729927,0.867704280155642,0.5777232476261602,0.41280353200882997,0.43524416135881105,942,221,721,False,False
perpetration,DecisionTree_unpruned,0.5,80,156,565,141,0.36199095022624433,0.7836338418862691,0.3389830508474576,0.8002832861189801,0.5728123960562567,0.3501094091903719,0.6847133757961783,942,221,721,False,False
perpetration,HistGradientBoosting,0.5,43,43,678,178,0.19457013574660634,0.9403606102635229,0.5,0.7920560747663551,0.5674653730050646,0.28013029315960913,0.7653927813163482,942,221,721,False,False
perpetration,RandomForest,0.5,29,20,701,192,0.13122171945701358,0.9722607489597781,0.5918367346938775,0.7849944008958567,0.5517412342083958,0.21481481481481482,0.7749469214437368,942,221,721,False,False
perpetration,GradientBoosting,0.5,30,24,697,191,0.13574660633484162,0.9667128987517337,0.5555555555555556,0.7849099099099099,0.5512297525432877,0.21818181818181817,0.7717622080679406,942,221,721,False,False
perpetration,LogisticRegression,0.5,32,33,688,189,0.14479638009049775,0.9542302357836339,0.49230769230769234,0.7844925883694412,0.5495133079370658,0.22377622377622378,0.7643312101910829,942,221,721,False,False
perpetration,DecisionTree_balanced_unpruned,0.5,57,147,574,164,0.2579185520361991,0.7961165048543689,0.27941176470588236,0.7777777777777778,0.527017528445284,0.26823529411764707,0.6698513800424628,942,221,721,False,False
perpetration,RandomForest_balanced,0.5,15,11,710,206,0.06787330316742081,0.984743411927878,0.5769230769230769,0.7751091703056768,0.5263083575476494,0.12145748987854249,0.7696390658174098,942,221,721,False,False
perpetration,Dummy_most_frequent,0.5,0,0,721,221,0.0,1.0,,0.7653927813163482,0.5,,0.7653927813163482,942,221,721,False,False
