PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
-0.85114807,0.5570749,-0.19391531,-0.13816969,0.19258413,-0.05799202,-0.25070214,0.050615128,0.02310834,0.09994519,-0.006499985,-0.2423864,0.04552872,-0.011772129,-0.14295095,-0.13414119,-0.06962025,0.08236801,0.06558998,-0.28475496,-0.008765271,0.0039011692
-0.9550101,-0.03439996,0.12636964,-0.6190333,-0.48423925,-0.067485355,0.11527386,0.3098534,0.08754477,0.49155322,0.19138682,-0.32612637,0.09178598,0.057847556,-0.16660334,0.019143743,-0.15230896,0.07062784,0.20145214,0.07186049,-0.019467484,-0.055678908
-0.7471679,-0.13008185,0.13025983,-0.6660881,-0.123996325,0.17219824,-0.046435297,-0.25103414,-0.10052725,-0.13269165,-0.011823988,0.20901008,0.031259645,0.1165103,-0.50989443,-0.09895098,-0.030874252,0.057816517,-0.017540619,0.018796239,-0.0049471497,0.0015191096
-0.65858525,0.7150282,0.030405473,-0.07018821,-0.39952436,-0.42090937,-0.0040731174,0.38067892,-0.24523745,-0.20183472,-0.034940835,0.1954945,-0.013401539,-0.051800244,-0.07072438,0.2819836,0.121703915,-0.012966833,0.18307234,0.046772067,-0.03819976,0.025533836
-0.9375433,-0.09882632,0.05877641,0.31352726,0.6510518,-0.8594363,-0.019379,0.5158635,0.014526237,0.79908156,0.0095277615,0.36320373,0.17164992,0.2704742,0.020332502,-0.18585148,0.49845994,0.05703831,0.07918507,0.06790638,-0.22459315,-0.038944207
0.90752804,-1.0681671,-0.5636604,-0.48277423,0.09188849,-0.3587553,-0.83283013,0.13790958,-0.35561213,-0.15608893,0.08858428,0.022821568,-0.13842127,-0.085897714,0.030163802,0.0028919687,0.11039165,-0.06326387,0.033352744,0.10017948,0.05093155,0.05101204
0.67462444,0.7342373,0.2033574,-0.1261587,-0.15220506,-0.22578995,-0.16239527,0.24387877,-0.11816596,-0.059567787,-0.040869486,-0.17271836,0.030253118,-0.026972046,-0.12960695,0.11710691,-0.009888259,0.10519333,0.47054815,0.09603707,-0.055837985,0.059160538
-0.7214133,0.48141494,-0.14377165,0.005089135,0.00591511,-0.10463795,0.16076553,-0.11126364,-0.04087321,-0.08931054,0.03425731,0.3212401,-0.06696664,-0.13321137,0.14283337,-0.19494432,0.13550268,-0.20017882,0.16849928,0.012005599,-0.050409883,0.10616547
-0.8391638,0.43574178,0.093097374,0.5542575,-0.3934478,0.23092185,-0.29213867,0.26629338,-0.15134096,0.13817577,-0.0410918,-0.061454985,-0.3958542,0.13085268,-0.111222014,-0.18917869,0.04347976,0.07806143,-0.027883671,0.032435168,-0.03250463,-0.0110022845
0.68879545,0.35876867,0.28085512,0.6960971,-0.47475472,0.26035267,0.19913818,-0.005820215,-0.0016075751,0.19485311,0.06635597,0.1385025,-0.39174214,0.00018168283,0.24654606,-0.7054593,-0.42277333,-0.41979077,0.42555103,-0.37596518,-0.06379559,0.053004485
