outcome,fold_id,model_label,selected_threshold,target_recall,threshold_status,n_components,target_n_components,retained_variance,train_n,test_n,train_positive_prevalence,test_positive_prevalence,TP,FP,TN,FN,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,roc_auc,pr_auc_average_precision,positive_support,negative_support,support,selected_ccp_alpha,class_weight_positive,tune_class_weight_positive,epochs_ran,tune_epochs_ran,tune_TP,tune_FP,tune_TN,tune_FN,tune_recall_sensitivity,tune_specificity,tune_precision_ppv,tune_npv,tune_balanced_accuracy,tune_f1_positive,tune_accuracy,tune_roc_auc,tune_pr_auc_average_precision,tune_positive_support,tune_negative_support,tune_support,positive_class_weight,tune_positive_class_weight
victimization,1,pruned_decision_tree_screening_threshold_fold_internal,0.336,0.85,not_applicable,18,18,0.9506005537924767,3013,754,0.49419183538001993,0.493368700265252,303,228,154,69,0.8145161290322581,0.4031413612565445,0.5706214689265536,0.6905829596412556,0.6088287451444013,0.6710963455149502,0.6061007957559682,0.6944104317964308,0.6613547002514023,372,382,754,0.0023080589587274516,,,,,,,,,,,,,,,,,,,,,,
victimization,2,pruned_decision_tree_screening_threshold_fold_internal,0.329,0.85,not_applicable,18,18,0.9496774208685079,3013,754,0.4938599402588782,0.4946949602122016,332,270,111,41,0.8900804289544236,0.29133858267716534,0.5514950166112956,0.7302631578947368,0.5907095058157945,0.681025641025641,0.5875331564986738,0.7103009576885999,0.6854113643786173,373,381,754,0.001818250424789812,,,,,,,,,,,,,,,,,,,,,,
victimization,3,pruned_decision_tree_screening_threshold_fold_internal,0.304,0.85,not_applicable,18,18,0.9509274861715112,3014,753,0.4940278699402787,0.4940239043824701,336,290,91,36,0.9032258064516129,0.2388451443569554,0.536741214057508,0.7165354330708661,0.5710354754042841,0.6733466933867736,0.5670650730411687,0.7022937656986425,0.6762324133729646,372,381,753,0.0023232524086045365,,,,,,,,,,,,,,,,,,,,,,
victimization,4,pruned_decision_tree_screening_threshold_fold_internal,0.254,0.85,not_applicable,18,18,0.9506455182332728,3014,753,0.4940278699402787,0.4940239043824701,337,277,104,35,0.9059139784946236,0.27296587926509186,0.5488599348534202,0.7482014388489209,0.5894399288798577,0.6835699797160244,0.5856573705179283,0.7012354302486382,0.6631607410657201,372,381,753,0.002275111001783638,,,,,,,,,,,,,,,,,,,,,,
victimization,5,pruned_decision_tree_screening_threshold_fold_internal,0.28300000000000003,0.85,not_applicable,18,18,0.9504983814841542,3014,753,0.4940278699402787,0.4940239043824701,326,257,124,46,0.8763440860215054,0.32545931758530183,0.5591766723842195,0.7294117647058823,0.6009017018034036,0.6827225130890052,0.5976095617529881,0.6583093443964666,0.6441708056334632,372,381,753,0.002554364175939318,,,,,,,,,,,,,,,,,,,,,,
victimization,6,pruned_decision_tree_screening_threshold_fold_internal,0.23500000000000001,0.85,not_applicable,18,18,0.9508783309323343,3013,754,0.49419183538001993,0.493368700265252,341,305,77,31,0.9166666666666666,0.20157068062827224,0.5278637770897833,0.7129629629629629,0.5591186736474695,0.6699410609037327,0.5543766578249337,0.6913105894274616,0.6729975582284822,372,382,754,0.001863221080457547,,,,,,,,,,,,,,,,,,,,,,
victimization,7,pruned_decision_tree_screening_threshold_fold_internal,0.309,0.85,not_applicable,18,18,0.9503595579006796,3013,754,0.4938599402588782,0.4946949602122016,310,258,123,63,0.8310991957104558,0.3228346456692913,0.545774647887324,0.6612903225806451,0.5769669206898735,0.6588735387885228,0.5742705570291777,0.6796809581107991,0.6558020642747063,373,381,754,0.001968395545386584,,,,,,,,,,,,,,,,,,,,,,
victimization,8,pruned_decision_tree_screening_threshold_fold_internal,0.257,0.85,not_applicable,18,18,0.9506314820868385,3014,753,0.4940278699402787,0.4940239043824701,334,286,95,38,0.8978494623655914,0.24934383202099739,0.5387096774193548,0.7142857142857143,0.5735966471932944,0.6733870967741935,0.5697211155378487,0.6544816978522846,0.6163319616507453,372,381,753,0.003525989614900557,,,,,,,,,,,,,,,,,,,,,,
victimization,9,pruned_decision_tree_screening_threshold_fold_internal,0.223,0.85,not_applicable,18,18,0.9505457998495063,3014,753,0.4940278699402787,0.4940239043824701,338,260,121,34,0.9086021505376344,0.31758530183727035,0.5652173913043478,0.7806451612903226,0.6130937261874524,0.6969072164948453,0.6095617529880478,0.7067811080066605,0.6961125224571437,372,381,753,0.0016878196789396102,,,,,,,,,,,,,,,,,,,,,,
victimization,10,pruned_decision_tree_screening_threshold_fold_internal,0.28700000000000003,0.85,not_applicable,18,18,0.9499640195377963,3014,753,0.4940278699402787,0.4940239043824701,323,280,101,49,0.8682795698924731,0.2650918635170604,0.5356550580431177,0.6733333333333333,0.5666857167047668,0.6625641025641026,0.5630810092961488,0.6335196003725341,0.5821407305019921,372,381,753,0.006541976980743918,,,,,,,,,,,,,,,,,,,,,,
victimization,11,pruned_decision_tree_screening_threshold_fold_internal,0.34700000000000003,0.85,not_applicable,18,18,0.950634335992483,3013,754,0.49419183538001993,0.493368700265252,337,271,111,35,0.9059139784946236,0.2905759162303665,0.5542763157894737,0.7602739726027398,0.5982449473624951,0.6877551020408164,0.5941644562334217,0.7072425828970331,0.6947240013475389,372,382,754,0.0030650061589803513,,,,,,,,,,,,,,,,,,,,,,
victimization,12,pruned_decision_tree_screening_threshold_fold_internal,0.219,0.85,not_applicable,18,18,0.9507208067953841,3013,754,0.4938599402588782,0.4946949602122016,336,292,89,37,0.900804289544236,0.2335958005249344,0.535031847133758,0.7063492063492064,0.5672000450345852,0.6713286713286714,0.5636604774535809,0.6572516237078945,0.6288535349393205,373,381,754,0.0017898436280632095,,,,,,,,,,,,,,,,,,,,,,
victimization,13,pruned_decision_tree_screening_threshold_fold_internal,0.226,0.85,not_applicable,18,18,0.9505570409451543,3014,753,0.4940278699402787,0.4940239043824701,339,333,48,33,0.9112903225806451,0.12598425196850394,0.5044642857142857,0.5925925925925926,0.5186372872745746,0.6494252873563219,0.5139442231075697,0.6782131064262129,0.6459997640734054,372,381,753,0.0015192833363787113,,,,,,,,,,,,,,,,,,,,,,
