outcome,metric,n_partitions,mean,sd,median,p2_5,p97_5,min,max
overlap,recall_sensitivity,25,0.8100640204865557,0.05009305521440671,0.8098591549295775,0.7253521126760564,0.895971633999803,0.7253521126760564,0.9300699300699301
overlap,specificity,25,0.5150040514072604,0.07115911023173115,0.5335515548281505,0.3757774140752864,0.6271256472860938,0.37479541734860883,0.6333878887070377
overlap,precision_ppv,25,0.28272267058353984,0.021407301851844203,0.2837528604118993,0.24928058466769865,0.31680147657564733,0.2410358565737052,0.31952662721893493
overlap,npv,25,0.9215639613517159,0.013939634695931655,0.9187279151943463,0.9035688035933034,0.9519592505002729,0.9032258064516129,0.9581589958158996
overlap,balanced_accuracy,25,0.6625340359469081,0.023286487066451967,0.6583412092851709,0.625116777139552,0.6995873769622646,0.6142723773080381,0.704213826329499
overlap,f1_positive,25,0.4180819205331768,0.0213557637887354,0.41600000000000004,0.38483824630262814,0.44980230580230574,0.37577639751552794,0.4509090909090908
overlap,accuracy,25,0.570861382057975,0.05086134030581707,0.5803452855245684,0.4745178437443858,0.649136786188579,0.46613545816733065,0.650730411686587
overlap,roc_auc,25,0.7480922794025419,0.017325600461045174,0.74761081798725,0.7163804430511054,0.7791643500917146,0.7144371960074687,0.7861160415850258
overlap,pr_auc_average_precision,25,0.42198181955479924,0.029568653295032277,0.42304439140059313,0.36326716316606195,0.4769971293944981,0.3628145776524462,0.48130402373678793
overlap,selected_threshold,25,0.48112,0.0361320725487297,0.486,0.40800000000000003,0.5348,0.399,0.536
overlap,n_components,25,18.0,0.0,18.0,18.0,18.0,18.0,18.0
overlap,retained_variance,25,0.9504760128235644,0.0003655394403117331,0.9504351115605704,0.9498743588369772,0.9510385985763,0.9498357053588965,0.9510754463571701
perpetration,recall_sensitivity,25,0.8302824858757063,0.13425738719713842,0.807909604519774,0.6259887005649718,1.0,0.615819209039548,1.0
perpetration,specificity,25,0.3442565713460427,0.26041459066781947,0.4166666666666667,0.0,0.6714038128249566,0.0,0.6724436741767764
perpetration,precision_ppv,25,0.2964044201758219,0.053024634321240036,0.299009900990099,0.2348782252230528,0.38364169261769554,0.23474801061007958,0.3883495145631068
perpetration,npv,19,0.8651563436551808,0.0298622121138062,0.8701298701298701,0.7980769230769231,0.9093093487394958,0.7692307692307693,0.9191176470588235
perpetration,balanced_accuracy,25,0.5872695286108744,0.06516343206249407,0.6122881355932204,0.5,0.6727403577828042,0.5,0.6752048879358459
perpetration,f1_positive,25,0.42752910727632765,0.03838395676106072,0.43597560975609756,0.3788144287689114,0.4908641975308642,0.3766816143497758,0.49382716049382713
perpetration,accuracy,25,0.4584463912695813,0.1682583457667614,0.5086321381142098,0.23493506081773702,0.6681697612732095,0.23474801061007958,0.6737400530503979
perpetration,roc_auc,25,0.6661013943694304,0.05666410746653129,0.686807860646829,0.5433879986748785,0.724765737449696,0.5382310607173282,0.7289016831654084
perpetration,pr_auc_average_precision,25,0.39100920725284594,0.05207379625840597,0.4100388980402906,0.2703780919075658,0.4528280717568546,0.26567670935704,0.4622076062290844
perpetration,selected_threshold,25,0.40792,0.07206242664061024,0.425,0.283,0.4926,0.271,0.498
perpetration,n_components,25,22.0,0.0,22.0,22.0,22.0,22.0,22.0
perpetration,retained_variance,25,0.9908386741397048,0.00012610332830504759,0.9908441880647233,0.9906222706739897,0.9910930040515312,0.9905777979662397,0.9911145535474791
victimization,recall_sensitivity,25,0.8512623598258814,0.07189158052506141,0.8763440860215054,0.6983870967741935,0.9263440860215053,0.6290322580645161,0.9408602150537635
victimization,specificity,25,0.3364197276387572,0.11300218213597961,0.3228346456692913,0.16220472440944883,0.5464566929133856,0.12598425196850394,0.6299212598425197
victimization,precision_ppv,25,0.5588038711739638,0.026384745953025684,0.5557522123893806,0.5185039805395842,0.6118857142857143,0.5044642857142857,0.624
victimization,npv,25,0.7046785596435816,0.0465182594745298,0.7129629629629629,0.617989417989418,0.7715173237753883,0.5925925925925926,0.7806451612903226
victimization,balanced_accuracy,25,0.5938410437323193,0.02842446829931378,0.5935089793390756,0.5429261190983116,0.6418952671238676,0.5186372872745746,0.6531093895521125
victimization,f1_positive,25,0.6721810720774428,0.017467726506551765,0.6718232044198895,0.637114037545531,0.7008645082692595,0.6265060240963856,0.7068004459308808
victimization,accuracy,25,0.5907640173171153,0.029229606035744576,0.5901856763925729,0.5382036839379881,0.6395750332005312,0.5139442231075697,0.650730411686587
victimization,roc_auc,25,0.682754946298781,0.021184744520959232,0.6804250275167216,0.6430086360172721,0.7114203228704342,0.6335196003725341,0.7130993706431856
victimization,pr_auc_average_precision,25,0.6573475584328861,0.02627988340672306,0.6631607410657201,0.602655469191244,0.6952794097913808,0.5821407305019921,0.6961125224571437
victimization,selected_threshold,25,0.29112000000000005,0.053991758630368765,0.291,0.206,0.38839999999999997,0.2,0.401
victimization,n_components,25,18.0,0.0,18.0,18.0,18.0,18.0,18.0
victimization,retained_variance,25,0.9504759186549279,0.00032848803534135467,0.9505457998495063,0.9498493800700809,0.9509921245873776,0.9496774208685079,0.9510684484800797
