outcome,fold_id,model_label,threshold,n_components,retained_variance,train_n,test_n,train_positive_prevalence,test_positive_prevalence,TP,FP,TN,FN,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,roc_auc,pr_auc_average_precision,positive_support,negative_support,support,selected_ccp_alpha,class_weight_positive,epochs_ran,positive_class_weight
victimization,1,pruned_decision_tree_inner_alpha,0.5,18,0.9506005537924767,3013,754,0.49419183538001993,0.493368700265252,241,139,243,131,0.6478494623655914,0.6361256544502618,0.6342105263157894,0.6497326203208557,0.6419875584079267,0.6409574468085106,0.6419098143236074,0.6974469402690987,0.6660793294760256,372,382,754,0.00211729673356393,,,
victimization,2,pruned_decision_tree_inner_alpha,0.5,19,0.9631736328774756,3013,754,0.4938599402588782,0.4946949602122016,269,180,201,104,0.7211796246648794,0.5275590551181102,0.5991091314031181,0.659016393442623,0.6243693398914948,0.6545012165450121,0.623342175066313,0.6764159506871292,0.6463383070002302,373,381,754,0.003085329800961679,,,
victimization,3,pruned_decision_tree_inner_alpha,0.5,18,0.9509274861715112,3014,753,0.4940278699402787,0.4940239043824701,244,130,251,128,0.6559139784946236,0.6587926509186351,0.6524064171122995,0.662269129287599,0.6573533147066294,0.6541554959785523,0.6573705179282868,0.7022937656986425,0.6762324133729646,372,381,753,0.0022518597057616086,,,
victimization,4,pruned_decision_tree_inner_alpha,0.5,18,0.9506455182332728,3014,753,0.4940278699402787,0.4940239043824701,232,131,250,140,0.6236559139784946,0.6561679790026247,0.6391184573002755,0.6410256410256411,0.6399119464905596,0.6312925170068027,0.6401062416998672,0.6900241300482601,0.6524431752300296,372,381,753,0.004881510367333752,,,
victimization,5,pruned_decision_tree_inner_alpha,0.5,18,0.9504983814841542,3014,753,0.4940278699402787,0.4940239043824701,257,188,193,115,0.6908602150537635,0.5065616797900262,0.5775280898876405,0.6266233766233766,0.5987109474218948,0.6291309669522644,0.5976095617529881,0.6426107018880705,0.6355478287835498,372,381,753,0.0029374639489055795,,,
victimization,6,pruned_decision_tree_inner_alpha,0.5,18,0.9508783309323343,3013,754,0.49419183538001993,0.493368700265252,207,142,240,165,0.5564516129032258,0.6282722513089005,0.5931232091690545,0.5925925925925926,0.5923619321060631,0.5742024965325936,0.5928381962864722,0.5999619996622192,0.5753877857524775,372,382,754,0.0006999213139616675,,,
victimization,7,pruned_decision_tree_inner_alpha,0.5,18,0.9503595579006796,3013,754,0.4938599402588782,0.4946949602122016,214,125,256,159,0.5737265415549598,0.6719160104986877,0.6312684365781711,0.6168674698795181,0.6228212760268237,0.601123595505618,0.623342175066313,0.6652171159570202,0.6352516925947412,373,381,754,0.001654694206746383,,,
victimization,8,pruned_decision_tree_inner_alpha,0.5,18,0.9506314820868385,3014,753,0.4940278699402787,0.4940239043824701,196,123,258,176,0.5268817204301075,0.6771653543307087,0.6144200626959248,0.5944700460829493,0.6020235373804081,0.5672937771345875,0.602921646746348,0.6453412073490813,0.6273482066927605,372,381,753,0.0015783418191603418,,,
victimization,9,pruned_decision_tree_inner_alpha,0.5,18,0.9505457998495063,3014,753,0.4940278699402787,0.4940239043824701,228,121,260,144,0.6129032258064516,0.6824146981627297,0.6532951289398281,0.6435643564356436,0.6476589619845907,0.6324549237170597,0.648074369189907,0.7011578189823047,0.676886001522758,372,381,753,0.0013102935276473006,,,
victimization,10,pruned_decision_tree_inner_alpha,0.5,19,0.9633709836305393,3014,753,0.4940278699402787,0.4940239043824701,208,127,254,164,0.5591397849462365,0.6666666666666666,0.6208955223880597,0.6076555023923444,0.6129032258064515,0.5884016973125884,0.6135458167330677,0.6344826856320379,0.6099272196731995,372,381,753,0.0021360330818129022,,,
