outcome,fold_id,ccp_alpha,TP,FP,TN,FN,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,roc_auc,pr_auc_average_precision,positive_support,negative_support,support
victimization,1,0.0,174,116,189,124,0.5838926174496645,0.6196721311475409,0.6,0.6038338658146964,0.6017823742986027,0.5918367346938775,0.6019900497512438,0.6017823742986028,0.5559740447649894,298,305,603
victimization,1,0.0003792690218297806,174,116,189,124,0.5838926174496645,0.6196721311475409,0.6,0.6038338658146964,0.6017823742986027,0.5918367346938775,0.6019900497512438,0.6017823742986026,0.5567299449970582,298,305,603
victimization,1,0.0003909447596465973,177,117,188,121,0.5939597315436241,0.6163934426229508,0.6020408163265306,0.6084142394822006,0.6051765870832875,0.5979729729729729,0.6053067993366501,0.6001320277258224,0.5554913112801548,298,305,603
victimization,1,0.0004014476068322367,177,117,188,121,0.5939597315436241,0.6163934426229508,0.6020408163265306,0.6084142394822006,0.6051765870832875,0.5979729729729729,0.6053067993366501,0.5909561007811639,0.5478191354693649,298,305,603
victimization,1,0.0004131299589629316,179,118,187,119,0.6006711409395973,0.6131147540983607,0.6026936026936027,0.6111111111111112,0.606892947518979,0.6016806722689075,0.6069651741293532,0.5752723071845088,0.527718595633977,298,305,603
victimization,1,0.000529340366852135,179,119,186,119,0.6006711409395973,0.6098360655737705,0.6006711409395973,0.6098360655737705,0.6052536032566839,0.6006711409395973,0.6053067993366501,0.5713829904279899,0.5285723300434986,298,305,603
victimization,1,0.0005920650714346202,180,121,184,118,0.6040268456375839,0.6032786885245902,0.5980066445182725,0.609271523178808,0.6036527670810871,0.6010016694490818,0.603648424543947,0.5731323577951369,0.5287637437389432,298,305,603
victimization,1,0.0006476913854366558,183,119,186,115,0.6140939597315436,0.6098360655737705,0.6059602649006622,0.6179401993355482,0.611965012652657,0.6099999999999999,0.6119402985074627,0.5827098690725052,0.5356454739162373,298,305,603
victimization,1,0.0006703523140139281,183,119,186,115,0.6140939597315436,0.6098360655737705,0.6059602649006622,0.6179401993355482,0.611965012652657,0.6099999999999999,0.6119402985074627,0.5703377709318957,0.5300224155947195,298,305,603
victimization,1,0.0007000805709194937,185,119,186,113,0.6208053691275168,0.6098360655737705,0.6085526315789473,0.6220735785953178,0.6153207173506436,0.6146179401993356,0.615257048092869,0.5711959511497415,0.5294315710818591,298,305,603
victimization,1,0.0007116277740414392,185,118,187,113,0.6208053691275168,0.6131147540983607,0.6105610561056105,0.6233333333333333,0.6169600616129387,0.6156405990016639,0.6169154228855721,0.5795247001870392,0.5397671718767512,298,305,603
