filtered_idx,split,original_idx,V.SUM.TOTAL,P.SUM.TOTAL,y_victim,y_perpetration,y_overlap
0,train,0,0.0,0.0,0,0,0
1,train,1,1.0,1.0,1,1,1
2,train,2,2.0,0.0,1,0,0
4,train,4,0.0,0.0,0,0,0
5,train,5,0.0,0.0,0,0,0
8,train,8,19.0,4.0,1,1,1
9,train,9,0.0,0.0,0,0,0
10,train,10,1.0,0.0,1,0,0
11,train,11,0.0,0.0,0,0,0
12,train,12,0.0,0.0,0,0,0
14,train,14,1.0,0.0,1,0,0
15,train,15,4.0,2.0,1,1,1
16,train,16,1.0,1.0,1,1,1
17,train,17,3.0,2.0,1,1,1
18,train,18,0.0,0.0,0,0,0
19,train,19,7.0,1.0,1,1,1
20,train,20,0.0,0.0,0,0,0
21,train,21,0.0,0.0,0,0,0
22,train,22,2.0,0.0,1,0,0
24,train,24,0.0,0.0,0,0,0
25,train,25,2.0,0.0,1,0,0
26,train,26,2.0,2.0,1,1,1
28,train,28,0.0,1.0,0,1,0
31,train,31,0.0,0.0,0,0,0
32,train,32,3.0,2.0,1,1,1
34,train,34,1.0,0.0,1,0,0
36,train,36,3.0,1.0,1,1,1
37,train,37,0.0,0.0,0,0,0
39,train,39,3.0,0.0,1,0,0
41,train,41,0.0,1.0,0,1,0
44,train,44,4.0,3.0,1,1,1
45,train,45,2.0,0.0,1,0,0
46,train,46,5.0,2.0,1,1,1
47,train,47,0.0,0.0,0,0,0
48,train,48,0.0,0.0,0,0,0
49,train,49,0.0,0.0,0,0,0
51,train,51,4.0,0.0,1,0,0
52,train,52,0.0,0.0,0,0,0
54,train,54,0.0,0.0,0,0,0
55,train,55,2.0,0.0,1,0,0
56,train,56,2.0,0.0,1,0,0
57,train,57,0.0,0.0,0,0,0
58,train,58,1.0,0.0,1,0,0
59,train,59,1.0,1.0,1,1,1
60,train,60,1.0,0.0,1,0,0
61,train,61,2.0,2.0,1,1,1
62,train,62,1.0,0.0,1,0,0
63,train,63,2.0,1.0,1,1,1
64,train,64,0.0,0.0,0,0,0
66,train,66,0.0,0.0,0,0,0
67,train,67,1.0,2.0,1,1,1
68,train,68,1.0,0.0,1,0,0
69,train,69,0.0,0.0,0,0,0
71,train,71,1.0,0.0,1,0,0
72,train,72,5.0,1.0,1,1,1
73,train,73,0.0,0.0,0,0,0
74,train,74,0.0,0.0,0,0,0
75,train,75,0.0,1.0,0,1,0
77,train,77,2.0,0.0,1,0,0
78,train,78,2.0,1.0,1,1,1
80,train,80,1.0,0.0,1,0,0
81,train,81,0.0,0.0,0,0,0
82,train,82,3.0,1.0,1,1,1
85,train,85,0.0,0.0,0,0,0
86,train,86,0.0,0.0,0,0,0
89,train,89,8.0,4.0,1,1,1
90,train,90,1.0,0.0,1,0,0
91,train,91,0.0,0.0,0,0,0
92,train,92,1.0,0.0,1,0,0
93,train,93,2.0,0.0,1,0,0
94,train,94,3.0,0.0,1,0,0
95,train,95,2.0,0.0,1,0,0
96,train,96,1.0,1.0,1,1,1
97,train,97,0.0,0.0,0,0,0
99,train,99,6.0,0.0,1,0,0
100,train,100,4.0,0.0,1,0,0
101,train,101,8.0,0.0,1,0,0
102,train,102,0.0,0.0,0,0,0
103,train,103,9.0,4.0,1,1,1
104,train,104,1.0,0.0,1,0,0
105,train,105,2.0,2.0,1,1,1
106,train,106,1.0,0.0,1,0,0
107,train,107,1.0,0.0,1,0,0
108,train,108,0.0,0.0,0,0,0
109,train,109,2.0,4.0,1,1,1
110,train,110,6.0,3.0,1,1,1
111,train,111,0.0,0.0,0,0,0
112,train,112,0.0,0.0,0,0,0
113,train,113,3.0,1.0,1,1,1
114,train,114,1.0,1.0,1,1,1
115,train,115,0.0,0.0,0,0,0
117,train,117,0.0,0.0,0,0,0
119,train,119,6.0,0.0,1,0,0
120,train,120,0.0,0.0,0,0,0
122,train,122,0.0,0.0,0,0,0
123,train,123,0.0,0.0,0,0,0
126,train,126,0.0,0.0,0,0,0
127,train,127,0.0,0.0,0,0,0
128,train,128,0.0,3.0,0,1,0
129,train,129,4.0,1.0,1,1,1
130,train,130,0.0,0.0,0,0,0
131,train,131,0.0,0.0,0,0,0
132,train,132,0.0,0.0,0,0,0
133,train,133,0.0,0.0,0,0,0
134,train,134,1.0,1.0,1,1,1
135,train,135,0.0,0.0,0,0,0
136,train,136,0.0,0.0,0,0,0
137,train,137,0.0,0.0,0,0,0
138,train,138,1.0,0.0,1,0,0
139,train,139,1.0,0.0,1,0,0
140,train,140,1.0,1.0,1,1,1
141,train,141,5.0,0.0,1,0,0
142,train,142,0.0,0.0,0,0,0
143,train,143,1.0,0.0,1,0,0
147,train,147,3.0,0.0,1,0,0
148,train,148,0.0,0.0,0,0,0
150,train,150,0.0,0.0,0,0,0
151,train,151,0.0,0.0,0,0,0
152,train,152,0.0,0.0,0,0,0
153,train,153,15.0,11.0,1,1,1
154,train,154,0.0,0.0,0,0,0
155,train,155,2.0,0.0,1,0,0
156,train,156,0.0,0.0,0,0,0
157,train,157,0.0,0.0,0,0,0
158,train,158,2.0,1.0,1,1,1
159,train,159,16.0,4.0,1,1,1
160,train,160,0.0,0.0,0,0,0
161,train,161,0.0,0.0,0,0,0
162,train,162,2.0,0.0,1,0,0
163,train,163,1.0,1.0,1,1,1
164,train,164,0.0,0.0,0,0,0
165,train,165,0.0,0.0,0,0,0
166,train,166,2.0,0.0,1,0,0
167,train,167,0.0,0.0,0,0,0
168,train,168,1.0,0.0,1,0,0
169,train,169,0.0,0.0,0,0,0
170,train,170,0.0,1.0,0,1,0
171,train,171,0.0,0.0,0,0,0
172,train,172,0.0,1.0,0,1,0
173,train,173,0.0,0.0,0,0,0
174,train,174,0.0,0.0,0,0,0
175,train,175,2.0,0.0,1,0,0
177,train,177,0.0,0.0,0,0,0
178,train,178,0.0,0.0,0,0,0
179,train,179,1.0,1.0,1,1,1
180,train,180,0.0,0.0,0,0,0
182,train,182,0.0,0.0,0,0,0
183,train,183,0.0,0.0,0,0,0
184,train,184,0.0,0.0,0,0,0
185,train,185,5.0,0.0,1,0,0
186,train,186,2.0,0.0,1,0,0
189,train,189,0.0,0.0,0,0,0
190,train,190,1.0,0.0,1,0,0
192,train,192,4.0,3.0,1,1,1
193,train,193,1.0,0.0,1,0,0
194,train,194,0.0,0.0,0,0,0
195,train,195,0.0,0.0,0,0,0
196,train,196,3.0,0.0,1,0,0
199,train,199,5.0,2.0,1,1,1
200,train,200,0.0,0.0,0,0,0
201,train,201,3.0,0.0,1,0,0
202,train,202,3.0,0.0,1,0,0
203,train,203,8.0,0.0,1,0,0
204,train,204,4.0,0.0,1,0,0
205,train,205,1.0,0.0,1,0,0
206,train,206,1.0,0.0,1,0,0
207,train,207,0.0,0.0,0,0,0
208,train,208,9.0,1.0,1,1,1
209,train,209,0.0,0.0,0,0,0
210,train,210,4.0,0.0,1,0,0
211,train,211,1.0,0.0,1,0,0
213,train,213,0.0,0.0,0,0,0
215,train,215,1.0,0.0,1,0,0
216,train,216,0.0,0.0,0,0,0
217,train,217,2.0,0.0,1,0,0
218,train,218,2.0,1.0,1,1,1
219,train,219,1.0,0.0,1,0,0
220,train,220,1.0,0.0,1,0,0
222,train,222,0.0,0.0,0,0,0
223,train,223,2.0,0.0,1,0,0
224,train,224,3.0,1.0,1,1,1
225,train,225,0.0,0.0,0,0,0
226,train,226,4.0,2.0,1,1,1
230,train,230,0.0,0.0,0,0,0
231,train,231,0.0,0.0,0,0,0
233,train,233,0.0,0.0,0,0,0
234,train,234,1.0,0.0,1,0,0
235,train,235,2.0,0.0,1,0,0
236,train,236,0.0,0.0,0,0,0
237,train,237,1.0,0.0,1,0,0
238,train,238,0.0,0.0,0,0,0
239,train,239,1.0,0.0,1,0,0
240,train,240,0.0,0.0,0,0,0
241,train,241,0.0,0.0,0,0,0
242,train,242,0.0,0.0,0,0,0
243,train,243,1.0,0.0,1,0,0
244,train,244,3.0,1.0,1,1,1
245,train,245,5.0,0.0,1,0,0
246,train,246,1.0,0.0,1,0,0
247,train,247,0.0,0.0,0,0,0
248,train,248,3.0,2.0,1,1,1
249,train,249,1.0,16.0,1,1,1
250,train,250,0.0,0.0,0,0,0
251,train,251,0.0,1.0,0,1,0
252,train,252,2.0,2.0,1,1,1
254,train,254,4.0,1.0,1,1,1
255,train,255,1.0,1.0,1,1,1
256,train,256,0.0,0.0,0,0,0
257,train,257,0.0,0.0,0,0,0
258,train,258,4.0,1.0,1,1,1
259,train,259,0.0,0.0,0,0,0
260,train,260,1.0,0.0,1,0,0
261,train,261,1.0,0.0,1,0,0
262,train,262,2.0,0.0,1,0,0
263,train,263,0.0,1.0,0,1,0
264,train,264,0.0,0.0,0,0,0
265,train,265,0.0,0.0,0,0,0
266,train,266,0.0,0.0,0,0,0
267,train,267,5.0,0.0,1,0,0
269,train,269,13.0,2.0,1,1,1
270,train,270,1.0,2.0,1,1,1
272,train,272,12.0,1.0,1,1,1
273,train,273,3.0,1.0,1,1,1
274,train,274,1.0,0.0,1,0,0
275,train,275,10.0,3.0,1,1,1
276,train,276,1.0,0.0,1,0,0
277,train,277,0.0,0.0,0,0,0
280,train,280,5.0,1.0,1,1,1
281,train,281,2.0,0.0,1,0,0
282,train,282,0.0,0.0,0,0,0
285,train,285,11.0,1.0,1,1,1
286,train,286,5.0,4.0,1,1,1
287,train,287,1.0,0.0,1,0,0
289,train,289,0.0,0.0,0,0,0
290,train,290,1.0,0.0,1,0,0
291,train,291,6.0,0.0,1,0,0
293,train,293,0.0,0.0,0,0,0
295,train,295,0.0,0.0,0,0,0
296,train,296,0.0,0.0,0,0,0
297,train,297,6.0,5.0,1,1,1
299,train,299,8.0,11.0,1,1,1
300,train,300,5.0,0.0,1,0,0
301,train,301,3.0,0.0,1,0,0
302,train,302,1.0,2.0,1,1,1
304,train,304,1.0,0.0,1,0,0
305,train,305,0.0,0.0,0,0,0
306,train,306,0.0,0.0,0,0,0
307,train,307,2.0,0.0,1,0,0
308,train,308,6.0,0.0,1,0,0
310,train,310,0.0,0.0,0,0,0
312,train,312,0.0,0.0,0,0,0
313,train,313,1.0,0.0,1,0,0
314,train,314,4.0,0.0,1,0,0
315,train,315,0.0,0.0,0,0,0
318,train,318,0.0,0.0,0,0,0
319,train,319,0.0,0.0,0,0,0
320,train,320,0.0,0.0,0,0,0
321,train,321,0.0,0.0,0,0,0
322,train,322,0.0,0.0,0,0,0
323,train,323,11.0,1.0,1,1,1
325,train,325,0.0,0.0,0,0,0
326,train,326,0.0,0.0,0,0,0
327,train,327,0.0,2.0,0,1,0
329,train,329,2.0,0.0,1,0,0
330,train,330,0.0,0.0,0,0,0
332,train,332,0.0,0.0,0,0,0
333,train,333,0.0,0.0,0,0,0
335,train,335,0.0,0.0,0,0,0
336,train,336,0.0,0.0,0,0,0
337,train,337,2.0,0.0,1,0,0
341,train,341,15.0,11.0,1,1,1
343,train,343,0.0,0.0,0,0,0
344,train,344,4.0,0.0,1,0,0
347,train,347,0.0,1.0,0,1,0
348,train,348,2.0,0.0,1,0,0
350,train,350,2.0,1.0,1,1,1
351,train,351,5.0,0.0,1,0,0
352,train,352,1.0,0.0,1,0,0
354,train,354,7.0,1.0,1,1,1
355,train,355,3.0,2.0,1,1,1
356,train,356,0.0,0.0,0,0,0
357,train,357,1.0,0.0,1,0,0
358,train,358,0.0,0.0,0,0,0
363,train,363,1.0,1.0,1,1,1
364,train,364,6.0,2.0,1,1,1
365,train,365,0.0,1.0,0,1,0
366,train,366,1.0,1.0,1,1,1
367,train,367,2.0,0.0,1,0,0
368,train,368,1.0,0.0,1,0,0
369,train,369,0.0,0.0,0,0,0
370,train,370,0.0,0.0,0,0,0
373,train,373,0.0,0.0,0,0,0
375,train,375,1.0,0.0,1,0,0
376,train,376,11.0,1.0,1,1,1
377,train,377,0.0,0.0,0,0,0
379,train,379,4.0,3.0,1,1,1
381,train,381,6.0,1.0,1,1,1
382,train,382,3.0,0.0,1,0,0
383,train,383,3.0,1.0,1,1,1
385,train,385,3.0,0.0,1,0,0
386,train,386,1.0,1.0,1,1,1
387,train,387,1.0,0.0,1,0,0
388,train,388,1.0,0.0,1,0,0
389,train,389,10.0,3.0,1,1,1
390,train,390,0.0,0.0,0,0,0
391,train,391,0.0,0.0,0,0,0
392,train,392,2.0,0.0,1,0,0
393,train,393,1.0,0.0,1,0,0
394,train,394,21.0,1.0,1,1,1
395,train,395,5.0,4.0,1,1,1
396,train,396,1.0,0.0,1,0,0
397,train,397,1.0,1.0,1,1,1
398,train,398,2.0,0.0,1,0,0
399,train,399,0.0,2.0,0,1,0
401,train,401,8.0,0.0,1,0,0
402,train,402,0.0,0.0,0,0,0
403,train,403,1.0,0.0,1,0,0
404,train,404,4.0,1.0,1,1,1
405,train,405,0.0,0.0,0,0,0
406,train,406,0.0,0.0,0,0,0
407,train,407,0.0,0.0,0,0,0
408,train,408,3.0,0.0,1,0,0
