outcome,subgroup_variable,level,n,positives,negatives,TP,FP,TN,FN,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,fpr,fnr
overlap,age_group,14-15,513,96,417,79,187,230,17,0.8229166666666666,0.5515587529976019,0.29699248120300753,0.9311740890688259,0.6872377098321343,0.4364640883977901,0.6023391812865497,0.44844124700239807,0.17708333333333334
overlap,age_group,16-17,429,82,347,65,168,179,17,0.7926829268292683,0.515850144092219,0.27896995708154504,0.9132653061224489,0.6542665354607436,0.41269841269841273,0.5687645687645687,0.484149855907781,0.2073170731707317
overlap,country_raw,1,848,158,690,129,315,375,29,0.8164556962025317,0.5434782608695652,0.2905405405405405,0.9282178217821783,0.6799669785360485,0.4285714285714286,0.5943396226415094,0.45652173913043476,0.18354430379746836
overlap,country_raw,2,94,20,74,15,40,34,5,0.75,0.4594594594594595,0.2727272727272727,0.8717948717948718,0.6047297297297297,0.39999999999999997,0.5212765957446809,0.5405405405405406,0.25
overlap,ethnic_minority_raw,0.0,749,146,603,118,278,325,28,0.8082191780821918,0.538971807628524,0.29797979797979796,0.9206798866855525,0.6735954928553579,0.4354243542435425,0.5914552736982643,0.46102819237147596,0.1917808219178082
overlap,ethnic_minority_raw,1.0,193,32,161,26,77,84,6,0.8125,0.5217391304347826,0.2524271844660194,0.9333333333333333,0.6671195652173914,0.3851851851851852,0.5699481865284974,0.4782608695652174,0.1875
overlap,gender_dummy,GENERO_BIN_1=1,484,108,376,86,171,205,22,0.7962962962962963,0.5452127659574468,0.3346303501945525,0.9030837004405287,0.6707545311268716,0.4712328767123288,0.6012396694214877,0.45478723404255317,0.2037037037037037
overlap,gender_dummy,GENERO_BIN_2=1,30,2,28,0,16,12,2,0.0,0.42857142857142855,0.0,0.8571428571428571,0.21428571428571427,,0.4,0.5714285714285714,1.0
overlap,overall,overall,942,178,764,144,355,409,34,0.8089887640449438,0.5353403141361257,0.28857715430861725,0.9232505643340858,0.6721645390905348,0.4254062038404726,0.5870488322717622,0.46465968586387435,0.19101123595505617
overlap,sexual_orientation_dummy,ORIENTSEX.BN_1=1,766,138,628,115,296,332,23,0.8333333333333334,0.5286624203821656,0.2798053527980535,0.9352112676056338,0.6809978768577495,0.418943533697632,0.5835509138381201,0.4713375796178344,0.16666666666666666
overlap,sexual_orientation_dummy,ORIENTSEX.BN_2=1,133,29,104,22,46,58,7,0.7586206896551724,0.5576923076923077,0.3235294117647059,0.8923076923076924,0.65815649867374,0.45360824742268047,0.6015037593984962,0.4423076923076923,0.2413793103448276
overlap,sexual_orientation_dummy,ORIENTSEX.BN_3=1,43,11,32,7,13,19,4,0.6363636363636364,0.59375,0.35,0.8260869565217391,0.6150568181818181,0.45161290322580644,0.6046511627906976,0.40625,0.36363636363636365
perpetration,age_group,14-15,492,112,380,101,255,125,11,0.9017857142857143,0.32894736842105265,0.28370786516853935,0.9191176470588235,0.6153665413533835,0.4316239316239317,0.45934959349593496,0.6710526315789473,0.09821428571428571
perpetration,age_group,16-17,450,109,341,101,249,92,8,0.926605504587156,0.2697947214076246,0.2885714285714286,0.92,0.5982001129973903,0.4400871459694989,0.4288888888888889,0.7302052785923754,0.07339449541284404
perpetration,country_raw,1,854,200,654,181,457,197,19,0.905,0.3012232415902141,0.2836990595611285,0.9120370370370371,0.603111620795107,0.431980906921241,0.4426229508196721,0.6987767584097859,0.095
perpetration,country_raw,2,88,21,67,21,47,20,0,1.0,0.29850746268656714,0.3088235294117647,1.0,0.6492537313432836,0.4719101123595506,0.4659090909090909,0.7014925373134329,0.0
perpetration,ethnic_minority_raw,0.0,737,173,564,157,387,177,16,0.9075144508670521,0.31382978723404253,0.28860294117647056,0.917098445595855,0.6106721190505473,0.43793584379358436,0.4531886024423338,0.6861702127659575,0.09248554913294797
perpetration,ethnic_minority_raw,1.0,205,48,157,45,117,40,3,0.9375,0.25477707006369427,0.2777777777777778,0.9302325581395349,0.5961385350318471,0.42857142857142866,0.4146341463414634,0.7452229299363057,0.0625
perpetration,gender_dummy,GENERO_BIN_1=1,475,115,360,108,241,119,7,0.9391304347826087,0.33055555555555555,0.30945558739255014,0.9444444444444444,0.6348429951690822,0.4655172413793104,0.47789473684210526,0.6694444444444444,0.06086956521739131
perpetration,gender_dummy,GENERO_BIN_2=1,26,5,21,3,16,5,2,0.6,0.23809523809523808,0.15789473684210525,0.7142857142857143,0.419047619047619,0.25,0.3076923076923077,0.7619047619047619,0.4
perpetration,overall,overall,942,221,721,202,504,217,19,0.9140271493212669,0.30097087378640774,0.28611898016997167,0.9194915254237288,0.6074990115538373,0.43581445523193096,0.4447983014861996,0.6990291262135923,0.08597285067873303
perpetration,sexual_orientation_dummy,ORIENTSEX.BN_1=1,744,167,577,156,410,167,11,0.9341317365269461,0.28942807625649913,0.2756183745583039,0.9382022471910112,0.6117799063917226,0.42564802182810374,0.43413978494623656,0.7105719237435009,0.0658682634730539
perpetration,sexual_orientation_dummy,ORIENTSEX.BN_2=1,151,43,108,36,68,40,7,0.8372093023255814,0.37037037037037035,0.34615384615384615,0.851063829787234,0.6037898363479759,0.4897959183673469,0.5033112582781457,0.6296296296296297,0.16279069767441862
perpetration,sexual_orientation_dummy,ORIENTSEX.BN_3=1,47,11,36,10,26,10,1,0.9090909090909091,0.2777777777777778,0.2777777777777778,0.9090909090909091,0.5934343434343434,0.4255319148936171,0.425531914893617,0.7222222222222222,0.09090909090909091
victimization,age_group,14-15,484,244,240,210,162,78,34,0.860655737704918,0.325,0.5645161290322581,0.6964285714285714,0.592827868852459,0.6818181818181819,0.5950413223140496,0.675,0.13934426229508196
victimization,age_group,16-17,458,221,237,195,167,70,26,0.8823529411764706,0.29535864978902954,0.5386740331491713,0.7291666666666666,0.58885579548275,0.6689536878216124,0.5786026200873362,0.7046413502109705,0.11764705882352941
victimization,country_raw,1,867,422,445,369,308,137,53,0.8744075829383886,0.30786516853932583,0.5450516986706057,0.7210526315789474,0.5911363757388572,0.6715195632393085,0.5836216839677048,0.6921348314606741,0.12559241706161137
victimization,country_raw,2,75,43,32,36,21,11,7,0.8372093023255814,0.34375,0.631578947368421,0.6111111111111112,0.5904796511627908,0.72,0.6266666666666667,0.65625,0.16279069767441862
victimization,ethnic_minority_raw,0.0,752,361,391,313,275,116,48,0.8670360110803325,0.2966751918158568,0.532312925170068,0.7073170731707317,0.5818556014480947,0.6596417281348788,0.5704787234042553,0.7033248081841432,0.1329639889196676
victimization,ethnic_minority_raw,1.0,190,104,86,92,54,32,12,0.8846153846153846,0.37209302325581395,0.6301369863013698,0.7272727272727273,0.6283542039355993,0.736,0.6526315789473685,0.627906976744186,0.11538461538461539
victimization,gender_dummy,GENERO_BIN_1=1,471,239,232,207,158,74,32,0.8661087866108786,0.31896551724137934,0.5671232876712329,0.6981132075471698,0.592537151926129,0.685430463576159,0.5966029723991507,0.6810344827586207,0.13389121338912133
victimization,gender_dummy,GENERO_BIN_2=1,24,11,13,10,8,5,1,0.9090909090909091,0.38461538461538464,0.5555555555555556,0.8333333333333334,0.6468531468531469,0.6896551724137931,0.625,0.6153846153846154,0.09090909090909091
victimization,overall,overall,942,465,477,405,329,148,60,0.8709677419354839,0.31027253668763105,0.5517711171662125,0.7115384615384616,0.5906201393115574,0.6755629691409508,0.5870488322717622,0.689727463312369,0.12903225806451613
victimization,sexual_orientation_dummy,ORIENTSEX.BN_1=1,773,375,398,323,279,119,52,0.8613333333333333,0.2989949748743719,0.5365448504983389,0.695906432748538,0.5801641541038526,0.6612077789150461,0.5717981888745148,0.7010050251256281,0.13866666666666666
victimization,sexual_orientation_dummy,ORIENTSEX.BN_2=1,128,66,62,59,40,22,7,0.8939393939393939,0.3548387096774194,0.5959595959595959,0.7586206896551724,0.6243890518084066,0.7151515151515151,0.6328125,0.6451612903225806,0.10606060606060606
victimization,sexual_orientation_dummy,ORIENTSEX.BN_3=1,41,24,17,23,10,7,1,0.9583333333333334,0.4117647058823529,0.696969696969697,0.875,0.6850490196078431,0.8070175438596493,0.7317073170731707,0.5882352941176471,0.041666666666666664
